Class	Carbon	Saturation	Adduct	RT	Class.1	CV	Ctrl_BKS_2202	Ctrl_BKS_2203	Ctrl_BKS_2206	Ctrl_BKS_2211	HF_BKS_2214	HF_BKS_2216	HF_BKS_2217	HF_BKS_2218	Ctrl_BKS_db._2225	Ctrl_BKS_db._2226	Ctrl_BKS_db._2227	Ctrl_BKS_db._2231	HF_BKS_db._2239	HF_BKS_db._2241	HF_BKS_db._2242	HF_BKS_db._2243	Ctrl_BL6_2249	Ctrl_BL6_2250	Ctrl_BL6_2251	Ctrl_BL6_2252	HF_BL6_2260	HF_BL6_2261	HF_BL6_2262	HF_BL6_2266	Ctrl_BL6_db._2273	Ctrl_BL6_db._2274	Ctrl_BL6_db._2275	Ctrl_BL6_db._2279	HF_BL6_db._2286	HF_BL6_db._2287	HF_BL6_db._2288	HF_BL6_db._2289	Ctrl_BTBR_2292	Ctrl_BTBR_2293	Ctrl_BTBR_2297	Ctrl_BTBR_2298	HF_BTBR_2306	HF_BTBR_2307	HF_BTBR_2308	HF_BTBR_2309	Ctrl_BTBR_ob._2316	Ctrl_BTBR_ob._2317	Ctrl_BTBR_ob._2318	Ctrl_BTBR_ob._2320	HF_BTBR_ob._2329	HF_BTBR_ob._2331	HF_BTBR_ob._2333	HF_BTBR_ob._2334
PI	36	4	 [M-H]-	5.3	PI	4.01808378	2135061.48	2557155.982	1591484.024	776531.501	2330668.669	1173807.61	1890670.918	863853.9023	2345142.814	2513033.934	2066789.311	2023735.337	371013.013	2279376.884	1314765.013	1351356.137	1599633.145	2122780.102	1481112.872	1825124.882	1328304.23	1610723.469	488572.1405	1214326.448	1357997.371	2762448.854	4078874.948	737152.5954	1913408.017	2042066.111	1707055.492	1176768.432	2426633.068	1075038.389	1424615.022	2148753.369	2998567.712	2475220.271	3017818.365	1499890.177	2202814.851	2316625.579	1370678.383	1027261.914	1741279.865	2340992.841	2390863.624	1324362.063
PC	32	0	 [M-Ac-H]-	6.57	PC	4.264515597	1670894.228	2202736.364	1708085.074	1502055.494	1472273.012	1355697.273	1564160.708	1658529.638	1707246.75	1853025.867	1958947.909	2155557.731	748849.6495	1499615.634	1180955.35	2010727.95	2469902.505	1893418.521	1812227.882	2245594.255	2115714.519	2190189.662	3352452.874	1802347.943	1946542.906	2017128.385	1851111.292	2214933.953	1619785.291	1689311.996	1450957.741	1652468.171	2215874.765	2090962.066	1927306.398	1964045.662	1587095.307	1573749.178	1778060.674	1922043.581	1990746.689	2267672.784	1543038.656	1841401.216	1349560.423	1596641.14	1540550.843	1283865.295
PE	32	0	 [M-H]-	6.74	PE	4.628475824	153095.8465	235766.1911	235386.7955	557545.6647	100395.3386	95658.30713	143261.4335	238049.9768	149299.0626	125037.0215	171374.9952	244387.3468	173270.3013	102409.4017	255419.608	231413.8739	293314.5564	162883.3717	178685.2712	136893.0973	145083.1948	103493.5389	439066.7101	141291.5453	177254.5499	136207.8349	204912.3092	554993.8477	87480.36871	126286.4555	92624.80553	179346.2461	126984.8385	479274.5546	261172.1413	135773.6937	73305.68249	67844.94267	79025.34159	320388.7881	97592.40659	182225.779	195589.6282	253283.3311	101007.3523	108992.8421	65844.68313	168091.6694
PG	34	0	 [M-H]-	6.46	PG	4.668377948	1420965.977	1527603.978	1619084.474	1164854.573	1418062.554	517920.6879	663029.6414	1970881.021	1430768.541	1904167.808	1637052.375	1909024.798	1381142.456	1994707.359	1485951.509	1729552.864	2183381.018	1683005.148	1799148.608	2465503.675	1894199.122	2136918.327	1317048.804	1489775.647	1996241.858	1928871.125	1493659.607	2008700.166	652603.5531	1650891.223	1562829.623	1793739.507	1649903.296	872426.4239	1909616.186	1887747.027	1199647.306	1403462.96	2025159.64	1893915.888	1631753.259	1947635.593	1734259.775	1774701.165	1495795.771	557274.0955	1845455.271	1676562.863
PS	36	4	 [M-H]-	5.35	PS	4.809517611	694165.9654	1075522.814	591527.0881	359530.1699	545402.2106	345309.3616	927758.4881	303365.0342	1096764.206	926264.9681	732486.8921	1048843.283	330607.6363	688618.2595	283458.0959	344107.1028	517926.6549	642939.6279	492773.52	850259.3985	393305.825	506994.5907	239061.3157	400634.9662	613724.802	1176103.962	480848.332	404672.519	618506.2902	468904.0178	478618.476	318180.1622	768892.4401	433861.1678	406759.6446	634896.9035	543252.0314	546801.9821	637121.5579	462355.6118	433297.7014	539562.3362	420818.778	327201.2568	397912.3801	395145.2852	416838.1381	261919.2576
PS	38	6	 [M-H]-	5.24	PS	5.103730247	623355.3966	886416.5116	552618.8598	322211.4847	592822.0418	275549.7222	838718.2527	293131.5404	800602.2124	772633.611	704414.8428	669014.6958	335931.0804	745719.8056	327083.0106	513865.6027	373537.9447	620748.8553	412881.5604	683717.4909	383306.6804	440217.9248	236312.0508	418042.6721	430784.822	740490.3099	741988.3965	270150.5371	402622.3044	386500.7015	510467.2697	313034.0512	554452.2259	309544.3963	315606.1354	478170.1937	585646.038	628762.4976	582808.7887	319290.4207	586626.0084	464434.4121	317215.0649	319278.4914	364493.3578	439891.0115	421279.1722	229113.8175
PI	40	4	 [M-H]-	6.53	PI	5.156603157	169704.3597	227574.7468	212179.974	173286.0871	88858.90307	58408.61144	84531.4108	92620.13541	234029.1711	238877.3212	210954.1667	245038.5217	99876.3867	113380.4918	128194.3008	137683.4537	269770.3812	265947.2595	260891.1177	119545.9462	198547.1347	181446.0715	315290.5344	238204.7027	218678.0237	176664.7312	162621.2702	330064.9111	157428.849	210822.4361	196331.7511	213006.1329	278745.7726	593931.8602	282238.994	223301.6557	140956.522	135265.3376	133009.0321	323177.1954	133853.8835	318741.4553	407029.2511	228153.5578	145058.4541	108947.4805	162363.1028	170556.853
PE	32	2	 [M-H]-	5.72	PE	5.298531982	198233.5918	211417.3929	248459.9264	134753.7214	79424.53107	187450.7048	235546.4306	111227.2441	148313.0421	169492.5426	173606.6098	190420.0332	39353.46343	81874.80393	76728.24525	95627.27001	123282.1806	146877.7871	161072.3337	148573.0027	48128.75552	41746.3512	19421.36787	49461.092	141939.0368	321940.9674	93540.66321	121958.5078	101207.1026	74463.15169	90668.49637	49777.99042	119917.5203	20889.67767	192116.4638	106330.249	35577.44873	43512.11877	54214.47789	86814.50243	49039.47893	88095.94503	109740.9518	94258.32572	28899.13898	50786.10656	60750.52714	42407.27238
PC	32	2	 [M-Ac-H]-	5.57	PC	5.478820308	637264.3271	603541.365	749689.115	432043.7653	309691.507	491927.7309	596690.8134	426041.84	548591.4592	540414.521	591620.4385	620279.0519	177783.6399	354532.2808	308408.4281	360851.4882	485986.4507	518412.2777	493162.9236	495226.088	219982.1776	226523.2772	112398.6044	194115.956	499473.486	744111.5637	264896.0606	432819.124	375890.9251	309456.6922	393058.1779	236898.4612	382147.4278	115032.626	519422.5651	381433.5069	175266.562	217767.8081	249882.1436	324957.1531	189903.2283	380687.8858	348600.5713	296816.9806	161793.971	240018.2884	257609.5676	216874.586
PA	38	4	 [M-H]-	5.81	PA	5.793704014	486893.6856	1422174.582	523132.8393	478057.214	868066.9516	672623.3638	1391539.512	320837.199	1431358.08	673198.8738	966028.2183	515087.6766	531830.603	879689.572	386513.4492	499097.0179	1414592.299	1053858.254	816034.2858	1075846.665	1329570.046	1069158.713	532542.3588	756983.303	354616.8797	719602.515	431530.3587	602275.9253	1159428.337	491642.0843	679200.4546	1374892.876	895059.293	240503.3541	656952.5955	403187.223	537991.9523	779651.1426	707780.3481	918948.0663	778937.7807	905727.6872	928188.1768	568778.3866	1043723.226	1346583.613	461462.6387	732038.7324
