Lipid	Adduct	RT	Class	CV	Ctrl_BKS_2202	Ctrl_BKS_2203	Ctrl_BKS_2206	Ctrl_BKS_2211	HF_BKS_2214	HF_BKS_2216	HF_BKS_2217	HF_BKS_2218	Ctrl_BKS_db._2225	Ctrl_BKS_db._2226	Ctrl_BKS_db._2227	Ctrl_BKS_db._2231	HF_BKS_db._2239	HF_BKS_db._2241	HF_BKS_db._2242	HF_BKS_db._2243	Ctrl_BL6_2249	Ctrl_BL6_2250	Ctrl_BL6_2251	Ctrl_BL6_2252	HF_BL6_2260	HF_BL6_2261	HF_BL6_2262	HF_BL6_2266	Ctrl_BL6_db._2273	Ctrl_BL6_db._2274	Ctrl_BL6_db._2275	Ctrl_BL6_db._2279	HF_BL6_db._2286	HF_BL6_db._2287	HF_BL6_db._2288	HF_BL6_db._2289	Ctrl_BTBR_2292	Ctrl_BTBR_2293	Ctrl_BTBR_2297	Ctrl_BTBR_2298	HF_BTBR_2306	HF_BTBR_2307	HF_BTBR_2308	HF_BTBR_2309	Ctrl_BTBR_ob._2316	Ctrl_BTBR_ob._2317	Ctrl_BTBR_ob._2318	Ctrl_BTBR_ob._2320	HF_BTBR_ob._2329	HF_BTBR_ob._2331	HF_BTBR_ob._2333	HF_BTBR_ob._2334
SM 40:2	 [M]+	7.23	SM	1.53	4361657.218	6790637.135	5190788.914	3357546.192	3928243.726	3042836.313	5654096.661	5695613.193	4429359.483	5021444.57	5203309.512	5157006.696	2289308.903	5768182.463	4356564.161	4799690.447	5187818.995	4353484.688	4323169.47	5960623.622	3262949.234	2956052.345	3292827.01	3075661.818	3420746.418	5448365.512	1201248.249	2198478.504	3904615.535	3311247.233	4342365.738	2489033.583	4255232.146	2697375.443	3529711.37	3328142.819	5109834.069	7359910.307	5265885.263	2250981.015	5104090.032	2734676.712	1606882.32	1900266.853	2291247.662	4114856.287	4426049.43	2631562.65
plasmenyl-PE 40:6	 [M+H]+	7.18	plasmenyl-PE	1.58	683710.9806	911022.6778	1192896.767	669157.8284	2176607.745	1982252.262	1547294.404	1396941.692	813273.7648	914913.7203	1164180.535	937946.2818	598549.0718	1405305.22	1105226.937	1442523.865	624344.2056	716589.3873	749070.2921	1042306.051	870826.7945	908570.883	661172.4244	752059.1983	865245.366	877258.4527	457687.0745	503964.4764	1196896.701	838223.1532	1012475.221	677569.0771	580185.096	501851.2864	518283.9183	516479.5012	1280742.964	1488166.225	1621074.871	492813.7993	1163561.794	532919.8832	401367.2209	521143.1152	727013.7859	1269798.879	1198614.334	858031.1719
PE 36:3	 [M+H]+	6.58	PE	1.65	4397928.247	5842838.784	6060699.853	3946313.25	6105288.291	4574295.812	2500992.098	4769202.105	4264795.489	4751597.34	4038705.304	3376335.45	3024661.172	3117957.927	3832971.843	7048507.411	2471270.223	3974492.016	3394634.653	2724261.579	3034404.983	2772425.646	2592704.329	5597983.828	2781600.597	5057692.766	4694708.562	2583160.492	3831192.941	4179841.755	5472087.508	5230102.698	3508544.413	4084955.855	4063667.367	3091978.786	6704088.234	3831025.34	4078737.081	3360894.017	4012953.413	3465353.85	2482168.128	2680045.659	3601641.186	3628223.072	3679847.279	3522698.664
PC 40:5	 [M+H]+	7.16	PC	1.93	3539321.228	5697304.532	2831608.603	3659476.671	2822397.983	3228110.126	738110.3492	3040307.396	2738958.47	3270842.833	2585982.155	3269410.778	871693.1582	561062.7121	1285034.401	2314569.176	5893375.54	4978146.53	4690771.047	3276198.475	2440196.153	1480889.864	2938664.384	3053857.281	4318953.728	5210057.773	4286133.76	8072649.568	2094533.524	2479069.222	1510367.202	2386211.498	6864195.436	12770896.17	6218086.478	5964278.309	3944998.112	2628664.67	1961691.65	7380379.053	2901563.159	9428717.263	6333888.975	6972241.434	1649176.85	2236489.899	1984879.099	2745513.726
PE 36:0	 [M+Na]+	7.24	PE	1.93	4811890.743	3906171.857	4531058.937	3784918.751	2788654.027	3587945.991	4375741.528	3950172.953	3878598.952	4095136.984	3720408.661	4447974.159	2667887.447	5092122.084	4842905.341	4865509.521	3304419.697	3490679.103	3396053.64	3757868.521	4823997.468	4769810.52	4891134.915	4821998.897	2950502.691	2812657.295	4371381.151	2472863.247	5044297.969	5399997.1	4831183.806	4502352.22	3621029.189	3012232.933	4346900.822	2829062.637	4975681.104	5493642.671	5366339.926	2370282.607	5467177.563	2557735.242	2367542.925	2212440.077	4546991.819	6378060.461	6277213.014	4707769.689
PC 35:4	 [M+H]+	5.69	PC	1.97	679410.6452	875846.7882	638468.8702	568186.9528	955033.2881	749816.2514	966477.727	984717.8366	603974.3597	569450.4646	657899.5009	711100.3264	434947.0515	660911.1644	613132.4825	629601.6913	747084.6318	577555.7797	565220.7079	1004063.861	817731.9205	725194.6971	744618.702	764285.6982	576750.1593	921996.4151	442284.0132	428622.7232	769138.6923	837592.2543	606423.2028	626772.0569	704340.654	460882.365	550033.0304	628762.5851	1168091.896	1406055.516	1104968.266	428394.571	1030525.971	528139.3954	343795.8633	389793.2022	545571.763	947558.7866	721068.7207	582166.0099
PC 40:8	 [M+H]+	5.74	PC	2.02	12534641.76	15470010.77	9870159.234	13934694.28	5105132.546	6870393.855	15602226.78	14954114.9	11820857.62	14872701.03	11032646.85	15272428.94	8162341.852	11575516.77	12415436.35	7415569.502	15815452.44	12347727.15	16303234.32	15273599.82	11373281.04	11239481.41	9320257.354	11216570.54	16636607.12	12243175.73	3767441.283	14826736.92	17204697.55	14045894.6	11764035.77	9541119.19	21251621.09	18362971.38	13016529.48	17870784.72	13502221.61	15189393.2	16061483.18	17640112.42	16624255.4	18566883.37	17360298.6	18417735.81	14367969.02	14091596.64	15245648.91	13781562.42
SM 41:1	 [M]+	7.91	SM	2.04	16557687.02	17078367.15	12091005.87	9168987.188	12517400.03	18892341.43	16888543.63	20187730.14	13719371.17	18949116.78	14407186.51	12254740.11	4309105.764	19062682.75	17200668.67	25316416.93	13632009.57	19415445.17	17021229.04	15619400.06	15067308.53	17942659.37	15690433.67	22650011.91	14134262	20634535.4	14311956.16	13038553.02	18282871.04	18588610.6	13692809.63	12836017.5	20996119.5	33673072.27	19577933.01	21486060.09	26429577.55	21594233.84	19248078.04	20531310.4	31167673.74	24576249.31	16552990.28	19815820.1	13982262.77	23940827.49	23928895.55	19692788.71
PC 36:3	 [M+H]+	6.37	PC	2.18	41658500.81	47006412.07	35678052.99	33732229.74	38222292.37	28723781.48	15864098.4	32437244.54	39166176.92	46683531.8	32147613.06	35556306.21	25695934.58	23463713.01	25920951.72	44476228.58	39563792.63	42824032.93	45220069.6	30724246.74	38434121.5	37664948.6	38183381.37	62339676.01	35930907.78	59246525.72	41349660.08	51618955.26	34841254.88	34740871.08	38233353.42	51608580.74	45372153.33	73362104.42	46650666.59	42983146.03	49912055.25	30359049.45	32916185.25	60675536.39	35563850.12	70714853.06	50228102.04	59080248.31	31848588.05	29960802.68	27961944.28	31770685.72
plasmenyl-PE 38:6	 [M+H]+	6.58	plasmenyl-PE	2.18	585545.52	813644.6258	741911.6272	613622.9876	1324905.135	842370.4544	449344.8897	807940.8679	807578.1595	880715.2543	788914.5897	630931.1471	353679.9602	569526.715	604386.1733	981766.5523	713381.4126	781423.6833	739251.9153	696374.5301	893342.9345	925038.7704	1030119.455	1255179.92	551636.8606	692422.8089	647712.0521	643281.5143	647985.2774	647279.323	647632.9976	1024499.584	738262.8586	1183835.834	811657.1784	692203.1968	1256822.626	900547.0612	1102516.061	874410.1895	1002873.353	963880.4271	624404.7475	869529.4835	662973.0236	828559.8878	779817.0621	753179.6817
