Name	Class	CV	Ctrl_BKS_2202	Ctrl_BKS_2203	Ctrl_BKS_2206	Ctrl_BKS_2211	HF_BKS_2214	HF_BKS_2216	HF_BKS_2217	HF_BKS_2218	Ctrl_BKS_db+_2225	Ctrl_BKS_db+_2226	Ctrl_BKS_db+_2227	Ctrl_BKS_db+_2231	HF_BKS_db+_2239	HF_BKS_db+_2241	HF_BKS_db+_2242	HF_BKS_db+_2243	Ctrl_BL6_2249	Ctrl_BL6_2250	Ctrl_BL6_2251	Ctrl_BL6_2252	HF_BL6_2260	HF_BL6_2261	HF_BL6_2262	HF_BL6_2266	Ctrl_BL6_db+_2273	Ctrl_BL6_db+_2274	Ctrl_BL6_db+_2275	Ctrl_BL6_db+_2279	HF_BL6_db+_2286	HF_BL6_db+_2287	HF_BL6_db+_2288	HF_BL6_db+_2289	Ctrl_BTBR_2292	Ctrl_BTBR_2293	Ctrl_BTBR_2297	Ctrl_BTBR_2298	HF_BTBR_2306	HF_BTBR_2307	HF_BTBR_2308	HF_BTBR_2309	Ctrl_BTBR_ob+_2316	Ctrl_BTBR_ob+_2317	Ctrl_BTBR_ob+_2318	Ctrl_BTBR_ob+_2320	HF_BTBR_ob+_2329	HF_BTBR_ob+_2331	HF_BTBR_ob+_2333	HF_BTBR_ob+_2334
CerP 32:1; [M-H]-@5.12	CerP	37.76067655	1869.159223	3272.637347	1402.212156	1798.101474	2594.564479	2669.984489	3340.302365	2968.137938	2040.725876	2308.870748	4790.861079	321.3848569	508.2101443	994.7251528	2669.984489	1612.459789	1112.605235	2502.408702	508.2101443	2743.344589	1709.726245	1798.101474	2669.984489	1612.459789	660.59491	872.5539861	321.3848569	2594.564479	1528.246722	2308.870748	2206.036458	1709.726245	3670.896358	2669.984489	2669.984489	3610.242924	1528.246722	1798.101474	3477.6142	1318.901662	1204.566098	2810.839491	2502.408702	2743.344589	1112.605235	2743.344589	2133.291963	1961.546958
CerP 33:1; [M-H]-@5.49	CerP	11.43455967	3200.942951	3751.763771	4022.704967	2669.984489	7643.747137	4599.237322	4659.238366	3111.569587	2133.291963	2391.488578	2391.488578	1204.566098	6590.941923	5763.853168	5046.353291	5904.660592	4599.237322	1402.212156	2040.725876	6066.814405	3670.896358	4485.016056	4300.141829	4924.961599	2502.408702	3050.957672	2594.564479	3050.957672	7361.52257	3670.896358	3200.942951	2391.488578	3340.302365	4229.020773	4867.280489	3050.957672	5391.201967	6283.677562	3200.942951	4416.094306	3540.80682	3404.004171	3610.242924	3959.374609	3340.302365	3610.242924	6358.933265	6358.933265
CerP 34:1; [M-H]-@5.85	CerP	14.72129285	19757.56908	18501.3278	20034.94554	21045.67153	35775.94702	36724.66763	21045.67153	26785.40807	12885.31326	17792.41107	16773.08692	13026.22852	21750.47093	24610.25289	26360.88313	32334.84937	15627.52049	17792.41107	21750.47093	23159.77579	30801.65174	36724.66763	28771.74832	34261.59846	16194.62299	13164.51431	24610.25289	19190.54105	22812.68529	22134.47042	21045.67153	25072.32527	25072.32527	29755.87153	30801.65174	25951.28394	31259.28029	32967.89905	30801.65174	32334.84937	16386.57573	23159.77579	21045.67153	19484.46922	18247.44131	43389.83524	35248.01076	26785.40807
CerP 34:2; [M-H]-@5.29	CerP	19.42025005	8734.681569	9246.632432	8645.201698	8168.724542	7189.423314	8003.751018	9143.624601	9466.940015	4659.238366	7718.022911	7189.423314	6855.172776	7361.52257	8546.652263	11887.79399	11178.68926	5836.569767	8546.652263	8366.496514	11178.68926	9986.738961	9571.54774	7284.649309	9050.873847	10200.2181	7907.055784	10315.73832	5904.660592	10920.29018	8003.751018	9790.349785	8851.796225	9466.940015	12449.79421	8003.751018	9143.624601	11503.46367	12742.94157	8085.25307	16966.47591	7361.52257	9571.54774	9895.472313	8085.25307	7802.9428	8546.652263	10545.31346	11635.38667
CerP 35:1; [M-H]-@6.16	CerP	19.27678603	8455.581121	14724.89567	16773.08692	14395.79471	19757.56908	23159.77579	4229.020773	8949.167845	13730.9193	12885.31326	11749.61957	4549.415695	30801.65174	18501.3278	13288.47583	15820.10437	13859.87196	15078.57384	12596.77551	13859.87196	5536.57158	13397.64806	5984.784631	12885.31326	8734.681569	11402.24045	28218.77216	13164.51431	26360.88313	20034.94554	15820.10437	7907.055784	16194.62299	12885.31326	21045.67153	13730.9193	11025.18956	12024.09727	19484.46922	16011.11228	13288.47583	13730.9193	7189.423314	9571.54774	10417.92803	31259.28029	18702.55963	20714.5404
CerP 42:2; [M-H]-@7.70	CerP	23.03724452	48509.98818	45578.92886	54883.45543	38478.45817	58809.84777	37907.38456	42283.69278	45578.92886	19190.54105	40878.69511	38950.18571	38478.45817	29755.87153	57019.28813	60634.15062	47662.42034	35775.94702	38478.45817	46948.21139	57019.28813	58809.84777	49280.41387	47662.42034	58048.37328	28771.74832	27239.10304	45578.92886	14556.88344	45578.92886	45578.92886	39529.5429	37907.38456	49280.41387	35775.94702	31799.10539	36241.9376	46948.21139	53165.75427	58809.84777	62362.18914	29755.87153	29755.87153	31799.10539	32967.89905	18702.55963	52328.77234	47662.42034	36241.9376
CL 66:1; [M-2H](2-)@6.25	CL	32.3912171	10315.73832	12449.79421	13288.47583	6590.941923	3751.763771	6590.941923	3751.763771	5687.990307	11287.81578	16194.62299	16194.62299	16966.47591	4549.415695	4924.961599	5121.013088	4229.020773	7718.022911	14724.89567	8851.796225	4987.425649	4599.237322	3404.004171	2133.291963	3340.302365	11749.61957	19757.56908	24214.705	6358.933265	7284.649309	6137.358633	7189.423314	4098.627851	9895.472313	6508.896099	10799.50907	6590.941923	3959.374609	2206.036458	2502.408702	3050.957672	7802.9428	6283.677562	5252.923964	7284.649309	2133.291963	2040.725876	3670.896358	2669.984489
CL 70:1; [M-2H](2-)@6.07	CL	20.86960259	35775.94702	21045.67153	20714.5404	9790.349785	28218.77216	32334.84937	40878.69511	40878.69511	29243.00786	23924.28495	43389.83524	30296.39733	10678.13175	21045.67153	40878.69511	29755.87153	17792.41107	28771.74832	27239.10304	31259.28029	9681.432867	18067.9094	16386.57573	18702.55963	27239.10304	38950.18571	34261.59846	34796.6138	16386.57573	31799.10539	34796.6138	29755.87153	26360.88313	27239.10304	35775.94702	18501.3278	22134.47042	25951.28394	20327.14467	29243.00786	20714.5404	27239.10304	34261.59846	30801.65174	3751.763771	30296.39733	30296.39733	23159.77579
CL 70:3; [M-2H](2-)@5.57	CL	66.54443014	4924.961599	4485.016056	2502.408702	2206.036458	1204.566098	1869.159223	7284.649309	3959.374609	4229.020773	3959.374609	1112.605235	1869.159223	5121.013088	5836.569767	7109.191429	3610.242924	7454.880217	1869.159223	3751.763771	2810.839491	4485.016056	2968.137938	2040.725876	3540.80682	1112.605235	5763.853168	2206.036458	1318.901662	4549.415695	1709.726245	2594.564479	3959.374609	5121.013088	5121.013088	5468.678585	7189.423314	6283.677562	3751.763771	1528.246722	4924.961599	4358.274613	5687.990307	7284.649309	7802.9428	2040.725876	7907.055784	3340.302365	5536.57158
CL 70:5; [M-2H](2-)@5.90	CL	21.05642385	78173.57034	49280.41387	60634.15062	42283.69278	18937.57755	38950.18571	39529.5429	56058.815	22134.47042	56058.815	78173.57034	92379.73069	12170.68741	32334.84937	38478.45817	22812.68529	30801.65174	54095.23537	32334.84937	22812.68529	20034.94554	21750.47093	30296.39733	17186.64427	41602.14373	53165.75427	36241.9376	23159.77579	21366.63529	34796.6138	53165.75427	41602.14373	12281.26295	10920.29018	25500.73895	11402.24045	14395.79471	14724.89567	18501.3278	18501.3278	16011.11228	9466.940015	16194.62299	8949.167845	13026.22852	8851.796225	12449.79421	8003.751018
