Name	Class	CV	Ctrl_BKS_2202	Ctrl_BKS_2203	Ctrl_BKS_2206	Ctrl_BKS_2211	HF_BKS_2214	HF_BKS_2216	HF_BKS_2217	HF_BKS_2218	Ctrl_BKS_db+_2225	Ctrl_BKS_db+_2226	Ctrl_BKS_db+_2227	Ctrl_BKS_db+_2231	HF_BKS_db+_2239	HF_BKS_db+_2241	HF_BKS_db+_2242	HF_BKS_db+_2243	Ctrl_BL6_2249	Ctrl_BL6_2250	Ctrl_BL6_2251	Ctrl_BL6_2252	HF_BL6_2260	HF_BL6_2261	HF_BL6_2262	HF_BL6_2266	Ctrl_BL6_db+_2273	Ctrl_BL6_db+_2274	Ctrl_BL6_db+_2275	Ctrl_BL6_db+_2279	HF_BL6_db+_2286	HF_BL6_db+_2287	HF_BL6_db+_2288	HF_BL6_db+_2289	Ctrl_BTBR_2292	Ctrl_BTBR_2293	Ctrl_BTBR_2297	Ctrl_BTBR_2298	HF_BTBR_2306	HF_BTBR_2307	HF_BTBR_2308	HF_BTBR_2309	Ctrl_BTBR_ob+_2316	Ctrl_BTBR_ob+_2317	Ctrl_BTBR_ob+_2318	Ctrl_BTBR_ob+_2320	HF_BTBR_ob+_2329	HF_BTBR_ob+_2331	HF_BTBR_ob+_2333	HF_BTBR_ob+_2334
CL 66:2; [M-2H](2-)@5.94	CL	30.82	3642.198723	1989.733672	8108.611653	2300.172552	1639.859899	5238.432541	1464.335356	3746.444026	5556.012123	3296.356299	3259.793317	5556.012123	2265.828554	2180.398968	3990.845613	3042.824566	2382.78835	3541.594485	4177.829549	1701.847771	1840.255393	4053.532688	2382.78835	3541.594485	6499.679702	3689.455446	2766.383776	1840.255393	10802.26325	2180.398968	3396.023611	2028.244945	2985.761697	3942.354015	3348.903573	3840.340407	12400.01111	4053.532688	2300.172552	2552.893035	6902.875941	3894.910872	3438.718807	2215.271677	2985.761697	1368.68132	1911.356879	3085.005426
CL 66:3; [M-2H](2-)@5.78	CL	16.29	3134.97199	4835.11236	8402.085594	3221.85444	2339.155662	2852.935957	2602.611614	4509.037535	7655.210408	4177.829549	5942.908943	6366.870456	4340.067022	4835.11236	4906.243148	3348.903573	2265.828554	4770.877257	4130.435823	7761.587864	396.7626875	2477.62983	1840.255393	3802.134039	4656.583849	2552.893035	2602.611614	4231.070542	3296.356299	1292.198198	4340.067022	2180.398968	3180.425947	4388.910656	4509.037535	4130.435823	2421.300916	3180.425947	3642.198723	2724.56718	3180.425947	3221.85444	3259.793317	1234.542815	2805.467372	2682.671662	3348.903573	2947.164642
CL 68:1; [M-2H](2-)@7.43	CL	15.39	7129.886098	3541.594485	8307.783025	11257.98178	5238.432541	6020.579793	5793.204586	4970.385172	4177.829549	3221.85444	7761.587864	4591.177158	6435.921628	5868.717403	5174.902787	7655.210408	10018.23195	7129.886098	11257.98178	9768.397726	9392.301939	10274.86699	7413.586297	6499.679702	10396.32643	8963.840462	5718.490174	7973.224024	6128.641088	7413.586297	5174.902787	3259.793317	13145.28056	5369.124661	4835.11236	9768.397726	14473.80476	5942.908943	5174.902787	7973.224024	10274.86699	17711.57012	12400.01111	15159.27264	12516.73734	10547.7422	11257.98178	7761.587864
CL 68:2; [M-2H](2-)@5.86	CL	33.13	19210.44861	22236.78714	20485.6101	9392.301939	6813.508246	20948.5407	21458.56925	23409.20767	16744.28873	19210.44861	24730.10286	37061.64455	12837.49076	8745.586177	14823.47311	9650.397694	11772.42809	29854.63031	9498.854999	19958.86136	5793.204586	14626.29202	15828.01721	8402.085594	7305.733186	11772.42809	8745.586177	16342.99024	10654.64029	9392.301939	17156.03394	13294.54242	11542.13922	33299.66793	23079.49762	24056.3064	14981.10005	16744.28873	19498.78473	22236.78714	23682.2763	10018.23195	24952.29761	9076.462095	16744.28873	27943.93445	10018.23195	17326.17679
CL 68:2; [M-2H](2-)@7.68	CL	15.05	11095.36142	13145.28056	9498.854999	9895.910377	6713.124498	6713.124498	17892.65563	9392.301939	8847.555106	9313.273614	8745.586177	8217.994238	6713.124498	5556.012123	16984.99167	9189.694414	7305.733186	8217.994238	9895.910377	8847.555106	18090.31269	14823.47311	18730.22753	7844.593719	11257.98178	23682.2763	6128.641088	16744.28873	10133.56422	9076.462095	7305.733186	8108.611653	15302.81742	11401.16486	11666.00003	12974.55601	10958.76449	14823.47311	12400.01111	12400.01111	12974.55601	26863.8002	15828.01721	29578.30946	12686.30548	16155.0574	16744.28873	10802.26325
CL 68:3; [M-2H](2-)@6.15	CL	13.5	4388.910656	4970.385172	8610.65656	5868.717403	3495.24462	5868.717403	4906.243148	9650.397694	7057.372112	3894.910872	6435.921628	5475.18425	4177.829549	4970.385172	5942.908943	5793.204586	3495.24462	5238.432541	6128.641088	4053.532688	3802.134039	2766.383776	3396.023611	2682.671662	3042.824566	2518.576101	4835.11236	5556.012123	3348.903573	3840.340407	4770.877257	8217.994238	3942.354015	4288.523782	8497.22091	7057.372112	5718.490174	3348.903573	4509.037535	4440.031475	6499.679702	4970.385172	6267.063725	3438.718807	5050.108395	6902.875941	3802.134039	7844.593719
CL 70:2; [M-2H](2-)@7.60	CL	38.02	1639.859899	2805.467372	3085.005426	3396.023611	2300.172552	2766.383776	2552.893035	2766.383776	2143.849014	2028.244945	1173.391016	3134.97199	1956.707123	1805.990501	1594.746349	4340.067022	1672.737349	2852.935957	3259.793317	2028.244945	3134.97199	1672.737349	1551.946062	4288.523782	1594.746349	3042.824566	2107.988407	2382.78835	1989.733672	904.3590881	1368.68132	1989.733672	3689.455446	4906.243148	2852.935957	989.1593139	3587.544663	2215.271677	2028.244945	2909.987816	3134.97199	2382.78835	3840.340407	6499.679702	1876.016705	2766.383776	1956.707123	3894.910872
CL 70:4; [M-2H](2-)@6.66	CL	33.25	989.1593139	192.4006899	2642.741867	1594.746349	1033.789071	2069.284815	1206.114221	1464.335356	2602.611614	1080.298824	2985.761697	3348.903573	1989.733672	1292.198198	1234.542815	1989.733672	2518.576101	2909.987816	1876.016705	1333.420828	2300.172552	639.5417488	1805.990501	740.4409714	1551.946062	1434.489614	1701.847771	1741.582494	1805.990501	1464.335356	681.231092	1513.273459	989.1593139	577.0105724	1128.906466	2805.467372	1033.789071	460.0428293	1434.489614	1333.420828	1033.789071	2642.741867	2909.987816	2477.62983	639.5417488	2339.155662	1639.859899	1206.114221
CL 70:5; [M-2H](2-)@6.05	CL	20.75	26227.74215	41199.72879	69214.02834	23079.49762	26543.90368	56398.89426	27289.4918	56398.89426	51211.77435	37499.1996	51211.77435	51211.77435	46609.26087	34868.88019	51744.76755	41763.24572	21458.56925	65460.59059	36155.06256	45703.49437	11666.00003	36722.38174	27619.98167	25237.85251	27619.98167	27943.93445	36155.06256	30187.63244	25802.76769	31817.61754	47875.14756	42389.84826	23409.20767	28445.85814	30654.64416	28747.8886	20671.57952	24952.29761	21216.73523	24952.29761	35735.72723	15159.27264	17156.03394	23079.49762	27943.93445	33299.66793	23409.20767	37061.64455
CL 72:0; [M-2H](2-)@7.89	CL	33.55	1741.582494	3259.793317	3689.455446	4656.583849	301.7127325	6189.917315	4656.583849	4388.910656	5112.771744	5793.204586	6713.124498	6267.063725	5112.771744	2642.741867	4340.067022	3438.718807	2909.987816	7239.136214	6020.579793	4388.910656	8745.586177	3942.354015	4288.523782	3396.023611	5238.432541	3221.85444	3438.718807	3942.354015	5369.124661	3348.903573	6020.579793	4906.243148	5868.717403	3642.198723	4288.523782	11666.00003	5293.828801	2552.893035	3746.444026	6435.921628	3296.356299	4713.975163	6128.641088	13294.54242	2180.398968	7761.587864	5293.828801	6713.124498
