Class	Carbon_Chain	Double_Bond	Adduct	RT	CV	Ctrl_BKS_2202	Ctrl_BKS_2203	Ctrl_BKS_2206	Ctrl_BKS_2211	HF_BKS_2214	HF_BKS_2216	HF_BKS_2217	HF_BKS_2218	Ctrl_BKS_db._2225	Ctrl_BKS_db._2226	Ctrl_BKS_db._2227	Ctrl_BKS_db._2231	HF_BKS_db._2239	HF_BKS_db._2241	HF_BKS_db._2242	HF_BKS_db._2243	Ctrl_BL6_2249	Ctrl_BL6_2250	Ctrl_BL6_2251	Ctrl_BL6_2252	HF_BL6_2260	HF_BL6_2261	HF_BL6_2262	HF_BL6_2266	Ctrl_BL6_db._2273	Ctrl_BL6_db._2274	Ctrl_BL6_db._2275	Ctrl_BL6_db._2279	HF_BL6_db._2286	HF_BL6_db._2287	HF_BL6_db._2288	HF_BL6_db._2289	Ctrl_BTBR_2292	Ctrl_BTBR_2293	Ctrl_BTBR_2297	Ctrl_BTBR_2298	HF_BTBR_2306	HF_BTBR_2307	HF_BTBR_2308	HF_BTBR_2309	Ctrl_BTBR_ob._2316	Ctrl_BTBR_ob._2317	Ctrl_BTBR_ob._2318	Ctrl_BTBR_ob._2320	HF_BTBR_ob._2329	HF_BTBR_ob._2331	HF_BTBR_ob._2333	HF_BTBR_ob._2334
lysoPE	20	4	 [M-H]-	1.33	0	1752041.237	1752041.237	868820.4649	1593875.512	667296.8302	1277901.582	1347644.771	631398.3349	1277901.582	868820.4649	973049.2436	1277901.582	631398.3349	868820.4649	915688.7427	726341.4071	1277901.582	1420934.234	1277901.582	1593875.512	813892.8526	1158292.268	1031152.884	1347644.771	915688.7427	915688.7427	631398.3349	1347644.771	1277901.582	868820.4649	1158292.268	868820.4649	1158292.268	1495382.093	1420934.234	1593875.512	1277901.582	1090745.824	1090745.824	1090745.824	1277901.582	1277901.582	1277901.582	1752041.237	1090745.824	1347644.771	1090745.824	1090745.824
PG	36	0	 [M-H]-	6.98	2.739586891	211808.4967	161339.4004	211808.4967	217607.5728	477595.9055	345225.0541	412099.6951	358165.3522	261656.1762	195587.263	231341.561	303721.3261	285331.3856	255064.0148	285331.3856	316590.9526	231341.561	195587.263	285331.3856	277666.6725	285331.3856	255064.0148	231341.561	248047.2672	269209.8003	211808.4967	123246.812	294373.8016	211808.4967	189774.7148	294373.8016	303721.3261	217607.5728	285331.3856	255064.0148	328499.4214	345225.0541	285331.3856	303721.3261	303721.3261	328499.4214	412099.6951	328499.4214	328499.4214	294373.8016	277666.6725	294373.8016	303721.3261
lysoPE	18	2	 [M-H]-	1.35	4.077648343	442053.7089	515303.9817	412099.6951	425329.8557	255064.0148	560118.9824	726341.4071	255064.0148	303721.3261	294373.8016	277666.6725	425329.8557	316590.9526	231341.561	316590.9526	248047.2672	255064.0148	345225.0541	269209.8003	377489.0086	169683.2392	316590.9526	201325.0732	285331.3856	239726.0767	255064.0148	248047.2672	303721.3261	535414.8897	285331.3856	458267.7713	255064.0148	231341.561	358165.3522	394976.0653	303721.3261	285331.3856	294373.8016	328499.4214	269209.8003	195587.263	277666.6725	255064.0148	425329.8557	477595.9055	442053.7089	515303.9817	442053.7089
plasmenyl-PE	34	2	 [M-H]-	6.72	4.171917074	185319.0296	165330.4278	248047.2672	165330.4278	261656.1762	172959.6396	231341.561	161339.4004	248047.2672	269209.8003	255064.0148	239726.0767	165330.4278	206576.1815	176183.5263	211808.4967	181560.6395	154827.4909	195587.263	145092.7703	133052.6389	111669.0779	111669.0779	169683.2392	303721.3261	261656.1762	169683.2392	248047.2672	248047.2672	217607.5728	239726.0767	224565.4536	261656.1762	316590.9526	239726.0767	255064.0148	181560.6395	169683.2392	248047.2672	224565.4536	261656.1762	294373.8016	269209.8003	269209.8003	261656.1762	224565.4536	328499.4214	248047.2672
PE	38	4	 [M-H]-	6.92	4.89434095	1277901.582	726341.4071	915688.7427	773549.1703	868820.4649	1752041.237	1277901.582	1277901.582	915688.7427	1158292.268	1277901.582	1031152.884	868820.4649	1158292.268	1495382.093	1158292.268	973049.2436	1031152.884	915688.7427	1090745.824	1593875.512	1420934.234	1495382.093	1593875.512	1031152.884	726341.4071	2071027.113	973049.2436	1158292.268	1752041.237	1593875.512	1752041.237	915688.7427	868820.4649	1090745.824	915688.7427	1347644.771	1277901.582	1347644.771	1277901.582	973049.2436	868820.4649	868820.4649	868820.4649	1158292.268	1031152.884	1158292.268	1277901.582
plasmenyl-PE	38	6	 [M-H]-	6.51	5.064329867	1457682.959	1457682.959	1124011.768	1457682.959	1975376.206	1124011.768	2136590.923	1543843.548	1543843.548	1457682.959	1816891.897	1671088.156	1457682.959	1383804.39	1383804.39	1816891.897	1383804.39	1216627.931	1457682.959	1457682.959	1457682.959	1312309.943	1383804.39	1457682.959	1671088.156	1457682.959	712721.6774	1543843.548	1383804.39	1543843.548	1457682.959	1543843.548	1312309.943	1816891.897	1312309.943	1312309.943	1671088.156	1457682.959	1457682.959	1671088.156	1457682.959	1543843.548	1543843.548	1543843.548	1975376.206	1457682.959	1457682.959	1671088.156
plasmenyl-PE	36	4	 [M-H]-	6.66	5.655293382	973049.2436	1090745.824	813892.8526	813892.8526	973049.2436	726341.4071	1090745.824	813892.8526	1347644.771	1347644.771	1031152.884	1090745.824	813892.8526	915688.7427	1031152.884	915688.7427	813892.8526	699357.3332	973049.2436	1158292.268	868820.4649	868820.4649	813892.8526	915688.7427	1420934.234	973049.2436	973049.2436	1158292.268	1090745.824	1031152.884	973049.2436	1158292.268	1090745.824	1277901.582	1158292.268	1158292.268	1158292.268	1031152.884	1277901.582	1158292.268	868820.4649	1090745.824	1090745.824	1158292.268	1031152.884	1158292.268	1277901.582	1158292.268
PC	36	4	 [M-Ac-H]-	6	5.736427845	2817836.04	2397282.423	1884142.961	2817836.04	1593875.512	1495382.093	2817836.04	2204230.328	2397282.423	2204230.328	2071027.113	2204230.328	2622599.385	1884142.961	2071027.113	1593875.512	3435953.341	2397282.423	2071027.113	3753959.849	4034855.608	3753959.849	5162995.746	3435953.341	3149082.437	2071027.113	2204230.328	2397282.423	2397282.423	2204230.328	2397282.423	3435953.341	3149082.437	3149082.437	2397282.423	3149082.437	2622599.385	2622599.385	2071027.113	3435953.341	2817836.04	3149082.437	2397282.423	2817836.04	2622599.385	2071027.113	1884142.961	2622599.385
plasmenyl-PE	42	6	 [M-H]-	7.6	6.171286224	258339.0694	221059.1398	258339.0694	192659.0695	386133.5563	203933.7266	336758.4157	386133.5563	198435.4304	243851.1804	299011.0389	214688.4553	235496.507	418662.5179	367700.2634	418662.5179	198435.4304	163322.7237	221059.1398	310089.3806	322490.2243	281472.9408	265406.117	367700.2634	281472.9408	198435.4304	70299.65475	167492.694	227928.3277	235496.507	265406.117	336758.4157	174564.1407	198435.4304	124852.0081	163322.7237	299011.0389	273405.5403	367700.2634	289817.3299	221059.1398	203933.7266	192659.0695	235496.507	273405.5403	310089.3806	243851.1804	209175.9796
PA	36	2	 [M-H]-	6.9	6.172363212	50062.54275	50722.2628	53165.75427	54095.23537	53165.75427	57019.28813	56058.815	53165.75427	65492.33089	58048.37328	50062.54275	36241.9376	59864.47171	46948.21139	43389.83524	49280.41387	47662.42034	46948.21139	45578.92886	47662.42034	39529.5429	44834.81588	40215.51767	52328.77234	75184.02256	78173.57034	62362.18914	72107.91103	69708.07873	64291.4863	58048.37328	44834.81588	69708.07873	60634.15062	72107.91103	50062.54275	47662.42034	50062.54275	69708.07873	42763.40042	67361.61477	79918.06789	64291.4863	61526.44933	44143.85588	73737.41715	82828.79401	67361.61477
PE	38	6	 [M-H]-	6.07	6.28335595	3591438.554	3591438.554	2978858.504	2136590.923	2978858.504	2718465.572	3289392.09	3591438.554	1975376.206	3591438.554	3891874.349	3591438.554	2136590.923	3591438.554	3591438.554	2978858.504	3891874.349	3891874.349	3891874.349	2298730.655	2718465.572	2298730.655	2718465.572	2718465.572	2136590.923	3591438.554	2978858.504	2136590.923	2136590.923	2718465.572	2718465.572	4473967.404	1975376.206	1383804.39	1975376.206	1457682.959	2298730.655	2298730.655	2718465.572	2298730.655	1975376.206	1383804.39	1383804.39	1383804.39	1312309.943	2507411.297	2718465.572	1975376.206
PC	33	2	 [M-Ac-H]-	5.95	6.674639694	111669.0779	145092.7703	181560.6395	161339.4004	217607.5728	185319.0296	217607.5728	135948.5432	185319.0296	224565.4536	135948.5432	135948.5432	224565.4536	138888.4285	172959.6396	189774.7148	100579.0198	103236.3216	123246.812	165330.4278	117019.0448	141947.4305	117019.0448	165330.4278	181560.6395	189774.7148	154827.4909	195587.263	261656.1762	224565.4536	231341.561	154827.4909	141947.4305	165330.4278	154827.4909	176183.5263	206576.1815	195587.263	201325.0732	217607.5728	129736.4263	172959.6396	181560.6395	195587.263	285331.3856	269209.8003	303721.3261	255064.0148
PE	40	6	 [M-H]-	6.9	6.692426703	1158292.268	600135.1464	1347644.771	560118.9824	1158292.268	1420934.234	773549.1703	1752041.237	535414.8897	773549.1703	1158292.268	667296.8302	495623.8736	2071027.113	1593875.512	1495382.093	726341.4071	868820.4649	631398.3349	631398.3349	1031152.884	915688.7427	973049.2436	1031152.884	477595.9055	576225.0459	1277901.582	535414.8897	495623.8736	1090745.824	1090745.824	915688.7427	560118.9824	442053.7089	600135.1464	458267.7713	813892.8526	973049.2436	1158292.268	915688.7427	600135.1464	316590.9526	442053.7089	358165.3522	495623.8736	726341.4071	1031152.884	699357.3332
plasmenyl-PE	36	2	 [M-H]-	7.33	6.778810045	86575.4731	78173.57034	111669.0779	68686.60327	145092.7703	75184.02256	138888.4285	129736.4263	103236.3216	81214.54244	114416.0428	145092.7703	108334.541	114416.0428	126478.1106	108334.541	78173.57034	58048.37328	94540.13303	75184.02256	103236.3216	85084.45278	85084.45278	98648.44982	105403.7718	92379.73069	269209.8003	129736.4263	138888.4285	117019.0448	138888.4285	157863.8492	68686.60327	78173.57034	56058.815	70896.25117	73737.41715	75184.02256	94540.13303	69708.07873	76532.17844	92379.73069	86575.4731	92379.73069	103236.3216	82828.79401	100579.0198	81214.54244
PE	36	2	 [M-H]-	6.98	6.803269124	377489.0086	261656.1762	535414.8897	239726.0767	328499.4214	773549.1703	813892.8526	576225.0459	442053.7089	425329.8557	495623.8736	535414.8897	477595.9055	495623.8736	560118.9824	600135.1464	294373.8016	394976.0653	328499.4214	255064.0148	442053.7089	358165.3522	377489.0086	394976.0653	394976.0653	412099.6951	667296.8302	515303.9817	773549.1703	773549.1703	915688.7427	631398.3349	255064.0148	328499.4214	328499.4214	285331.3856	600135.1464	576225.0459	726341.4071	394976.0653	316590.9526	303721.3261	316590.9526	345225.0541	726341.4071	495623.8736	631398.3349	726341.4071
PC	36	2	 [M-Ac-H]-	6.81	7.06606805	2622599.385	1884142.961	2397282.423	1884142.961	2622599.385	3753959.849	4960867.569	3149082.437	2817836.04	2622599.385	2397282.423	2622599.385	3753959.849	2622599.385	3149082.437	2622599.385	1752041.237	1884142.961	1884142.961	2071027.113	2397282.423	3149082.437	2397282.423	3753959.849	2622599.385	2397282.423	2622599.385	2817836.04	4034855.608	3753959.849	4034855.608	3753959.849	2622599.385	2817836.04	3149082.437	2397282.423	3753959.849	3753959.849	3753959.849	3753959.849	3435953.341	2817836.04	3753959.849	3149082.437	6912224.465	3149082.437	4034855.608	3753959.849
PG	36	2	 [M-H]-	5.92	7.334711128	59334.81667	53628.48116	118491.6847	55468.02209	93453.68922	143511.4836	99609.05775	95556.84185	63774.70681	61942.90976	64889.13078	63774.70681	143511.4836	87485.0069	89306.33203	60248.08208	49669.93886	62810.5236	44487.99445	39238.79505	54487.92012	65996.32571	49669.93886	45903.09812	38713.60344	59334.81667	85826.72517	63774.70681	48893.68358	80563.69726	89306.33203	64889.13078	54487.92012	51971.82425	45903.09812	36974.61656	113034.216	109989.1736	171313.6069	95556.84185	59334.81667	30547.97996	45205.34132	45903.09812	64889.13078	97611.0121	115710.2244	140409.5993
PC	41	6	 [M-Ac-H]-	7.02	7.55399984	6213.553237	5836.569767	11178.68926	9571.54774	17186.64427	7802.9428	11887.79399	15078.57384	10417.92803	9571.54774	14201.88184	6137.358633	21045.67153	19757.56908	12449.79421	13859.87196	8851.796225	7802.9428	9986.738961	13589.32676	14724.89567	12449.79421	9143.624601	14201.88184	6780.993869	10417.92803	15627.52049	7718.022911	14724.89567	18937.57755	16966.47591	14918.67307	12170.68741	11402.24045	10545.31346	15820.10437	18501.3278	14918.67307	12596.77551	22134.47042	10315.73832	7454.880217	14918.67307	14201.88184	19484.46922	23526.17736	14201.88184	7547.911274
lysoPE	18	0	 [M-H]-	2.4	8.150189134	515303.9817	412099.6951	217607.5728	495623.8736	442053.7089	425329.8557	377489.0086	458267.7713	255064.0148	285331.3856	328499.4214	495623.8736	211808.4967	442053.7089	535414.8897	495623.8736	394976.0653	285331.3856	255064.0148	495623.8736	358165.3522	560118.9824	442053.7089	600135.1464	211808.4967	169683.2392	316590.9526	261656.1762	412099.6951	358165.3522	206576.1815	316590.9526	303721.3261	377489.0086	412099.6951	412099.6951	515303.9817	560118.9824	515303.9817	495623.8736	442053.7089	394976.0653	394976.0653	412099.6951	535414.8897	576225.0459	442053.7089	515303.9817
PE	40	8	 [M-H]-	5.94	8.335693181	100579.0198	69708.07873	52328.77234	53165.75427	46948.21139	26360.88313	50062.54275	73737.41715	58048.37328	66504.19901	79918.06789	181560.6395	32334.84937	78173.57034	79918.06789	75184.02256	60634.15062	79918.06789	79918.06789	50722.2628	82828.79401	64291.4863	96584.48461	48509.98818	64291.4863	58048.37328	29755.87153	52328.77234	34261.59846	72107.91103	65492.33089	92379.73069	30801.65174	37907.38456	46948.21139	43389.83524	54095.23537	38950.18571	53165.75427	52328.77234	54883.45543	40215.51767	48509.98818	34796.6138	40878.69511	25951.28394	37226.26664	40215.51767
PC	37	4	 [M-Ac-H]-	6.61	8.392886085	96584.48461	94540.13303	48509.98818	129736.4263	72107.91103	105403.7718	96584.48461	75184.02256	119982.8572	85084.45278	56058.815	57019.28813	151877.4445	85084.45278	92379.73069	85084.45278	123246.812	111669.0779	90217.77615	148818.3361	161339.4004	135948.5432	185319.0296	145092.7703	129736.4263	70896.25117	59864.47171	119982.8572	185319.0296	161339.4004	133052.6389	148818.3361	181560.6395	185319.0296	172959.6396	201325.0732	161339.4004	129736.4263	145092.7703	169683.2392	239726.0767	161339.4004	133052.6389	161339.4004	161339.4004	172959.6396	145092.7703	185319.0296
PC	32	0	 [M-Ac-H]-	6.59	8.440585163	277666.6725	316590.9526	269209.8003	358165.3522	248047.2672	277666.6725	224565.4536	248047.2672	269209.8003	328499.4214	285331.3856	294373.8016	345225.0541	277666.6725	277666.6725	261656.1762	248047.2672	248047.2672	211808.4967	285331.3856	269209.8003	294373.8016	316590.9526	277666.6725	412099.6951	316590.9526	442053.7089	277666.6725	285331.3856	261656.1762	285331.3856	269209.8003	285331.3856	277666.6725	294373.8016	277666.6725	248047.2672	211808.4967	217607.5728	277666.6725	248047.2672	176183.5263	224565.4536	261656.1762	248047.2672	285331.3856	269209.8003	239726.0767
PC	40	6	 [M-Ac-H]-	6.63	8.452993036	425329.8557	425329.8557	442053.7089	477595.9055	699357.3332	631398.3349	495623.8736	667296.8302	600135.1464	458267.7713	477595.9055	377489.0086	1090745.824	667296.8302	726341.4071	631398.3349	515303.9817	425329.8557	477595.9055	576225.0459	773549.1703	813892.8526	868820.4649	868820.4649	560118.9824	345225.0541	328499.4214	560118.9824	726341.4071	667296.8302	576225.0459	667296.8302	813892.8526	726341.4071	576225.0459	726341.4071	973049.2436	667296.8302	973049.2436	868820.4649	813892.8526	699357.3332	667296.8302	773549.1703	973049.2436	973049.2436	915688.7427	813892.8526
PC	40	8	 [M-Ac-H]-	5.76	8.80235761	224565.4536	154827.4909	58809.84777	412099.6951	277666.6725	189774.7148	269209.8003	316590.9526	412099.6951	358165.3522	269209.8003	248047.2672	412099.6951	345225.0541	294373.8016	294373.8016	377489.0086	117019.0448	425329.8557	141947.4305	377489.0086	377489.0086	458267.7713	316590.9526	345225.0541	123246.812	38478.45817	358165.3522	277666.6725	316590.9526	248047.2672	248047.2672	211808.4967	239726.0767	345225.0541	358165.3522	277666.6725	515303.9817	294373.8016	358165.3522	345225.0541	576225.0459	377489.0086	377489.0086	358165.3522	119982.8572	211808.4967	108334.541
plasmenyl-PE	38	4	 [M-H]-	7.11	9.725922151	495623.8736	377489.0086	285331.3856	394976.0653	560118.9824	412099.6951	600135.1464	442053.7089	576225.0459	442053.7089	425329.8557	576225.0459	394976.0653	458267.7713	495623.8736	477595.9055	442053.7089	316590.9526	458267.7713	425329.8557	515303.9817	412099.6951	495623.8736	442053.7089	600135.1464	442053.7089	412099.6951	600135.1464	477595.9055	495623.8736	477595.9055	699357.3332	358165.3522	576225.0459	377489.0086	442053.7089	495623.8736	458267.7713	576225.0459	515303.9817	458267.7713	600135.1464	576225.0459	631398.3349	560118.9824	377489.0086	412099.6951	495623.8736
PC	30	0	 [M-Ac-H]-	5.97	9.870921995	57019.28813	54883.45543	36241.9376	50722.2628	61526.44933	82828.79401	49280.41387	54883.45543	54883.45543	45578.92886	42283.69278	42283.69278	37907.38456	54095.23537	61526.44933	54883.45543	39529.5429	40878.69511	38478.45817	50062.54275	57019.28813	58048.37328	46948.21139	61526.44933	61526.44933	40878.69511	78173.57034	50722.2628	66504.19901	54883.45543	56058.815	59864.47171	44834.81588	45578.92886	58048.37328	54095.23537	52328.77234	44143.85588	75184.02256	56058.815	41602.14373	62362.18914	57019.28813	59864.47171	42283.69278	46948.21139	67361.61477	45578.92886
PC	38	2	 [M-Ac-H]-	7.4	9.926886445	201325.0732	255064.0148	294373.8016	277666.6725	169683.2392	239726.0767	211808.4967	195587.263	277666.6725	316590.9526	377489.0086	269209.8003	458267.7713	224565.4536	239726.0767	224565.4536	239726.0767	277666.6725	294373.8016	269209.8003	303721.3261	328499.4214	277666.6725	303721.3261	255064.0148	277666.6725	145092.7703	285331.3856	358165.3522	345225.0541	358165.3522	231341.561	206576.1815	172959.6396	261656.1762	231341.561	217607.5728	217607.5728	224565.4536	189774.7148	294373.8016	269209.8003	261656.1762	217607.5728	394976.0653	231341.561	255064.0148	201325.0732
plasmenyl-PE	40	4	 [M-H]-	7.75	9.953835276	108334.541	58809.84777	76532.17844	46229.57295	141947.4305	31259.28029	165330.4278	103236.3216	117019.0448	94540.13303	111669.0779	157863.8492	138888.4285	133052.6389	145092.7703	176183.5263	50722.2628	41602.14373	117019.0448	123246.812	129736.4263	94540.13303	195587.263	111669.0779	169683.2392	90217.77615	206576.1815	133052.6389	189774.7148	165330.4278	172959.6396	261656.1762	96584.48461	117019.0448	69708.07873	105403.7718	165330.4278	151877.4445	185319.0296	148818.3361	78173.57034	126478.1106	138888.4285	117019.0448	165330.4278	151877.4445	92379.73069	154827.4909
lysoPE	16	0	 [M-H]-	1.66	9.983508805	813892.8526	813892.8526	358165.3522	868820.4649	345225.0541	394976.0653	442053.7089	412099.6951	394976.0653	600135.1464	560118.9824	699357.3332	201325.0732	477595.9055	515303.9817	377489.0086	600135.1464	600135.1464	515303.9817	600135.1464	345225.0541	535414.8897	425329.8557	425329.8557	316590.9526	377489.0086	458267.7713	394976.0653	269209.8003	277666.6725	217607.5728	277666.6725	394976.0653	458267.7713	515303.9817	600135.1464	377489.0086	303721.3261	285331.3856	316590.9526	535414.8897	535414.8897	495623.8736	560118.9824	255064.0148	345225.0541	277666.6725	345225.0541
PC	37	6	 [M-Ac-H]-	5.8	10.32271478	157863.8492	114416.0428	67361.61477	133052.6389	172959.6396	114416.0428	161339.4004	185319.0296	189774.7148	103236.3216	105403.7718	148818.3361	114416.0428	129736.4263	211808.4967	169683.2392	206576.1815	141947.4305	172959.6396	189774.7148	294373.8016	217607.5728	328499.4214	206576.1815	217607.5728	129736.4263	65492.33089	181560.6395	135948.5432	135948.5432	161339.4004	211808.4967	129736.4263	217607.5728	135948.5432	224565.4536	224565.4536	126478.1106	176183.5263	239726.0767	161339.4004	224565.4536	239726.0767	224565.4536	201325.0732	123246.812	103236.3216	123246.812
