Class	Carbon_Chain	Double_Bond	Adduct	RT	CV	Ctrl_BKS_2202	Ctrl_BKS_2203	Ctrl_BKS_2206	Ctrl_BKS_2211	HF_BKS_2214	HF_BKS_2216	HF_BKS_2217	HF_BKS_2218	Ctrl_BKS_db._2225	Ctrl_BKS_db._2226	Ctrl_BKS_db._2227	Ctrl_BKS_db._2231	HF_BKS_db._2239	HF_BKS_db._2241	HF_BKS_db._2242	HF_BKS_db._2243	Ctrl_BL6_2249	Ctrl_BL6_2250	Ctrl_BL6_2251	Ctrl_BL6_2252	HF_BL6_2260	HF_BL6_2261	HF_BL6_2262	HF_BL6_2266	Ctrl_BL6_db._2273	Ctrl_BL6_db._2274	Ctrl_BL6_db._2275	Ctrl_BL6_db._2279	HF_BL6_db._2286	HF_BL6_db._2287	HF_BL6_db._2288	HF_BL6_db._2289	Ctrl_BTBR_2292	Ctrl_BTBR_2293	Ctrl_BTBR_2297	Ctrl_BTBR_2298	HF_BTBR_2306	HF_BTBR_2307	HF_BTBR_2308	HF_BTBR_2309	Ctrl_BTBR_ob._2316	Ctrl_BTBR_ob._2317	Ctrl_BTBR_ob._2318	Ctrl_BTBR_ob._2320	HF_BTBR_ob._2329	HF_BTBR_ob._2331	HF_BTBR_ob._2333	HF_BTBR_ob._2334
PE	36	2	 [M-H]-	7.03	0	1090275.506	867548.3934	1859444.981	867548.3934	1090275.506	1194693.589	999725.7204	1342962.206	1342962.206	999725.7204	1342962.206	1342962.206	1342962.206	1342962.206	1342962.206	1090275.506	1342962.206	1342962.206	1342962.206	1342962.206	1090275.506	951566.1115	1090275.506	867548.3934	1194693.589	999725.7204	999725.7204	1194693.589	792403.55	1194693.589	1342962.206	1194693.589	1090275.506	1194693.589	999725.7204	999725.7204	462469.0345	677220.2516	792403.55	766043.556	867548.3934	766043.556	867548.3934	951566.1115	716530.6762	999725.7204	867548.3934	766043.556
plasmenyl-PE	38	4	 [M-H]-	7.34	2.78	306650.4245	362930.2648	384811.8202	399193.1837	349028.5987	428828.1276	428828.1276	384811.8202	349028.5987	428828.1276	399193.1837	428828.1276	340419.6561	349028.5987	349028.5987	462469.0345	340419.6561	399193.1837	384811.8202	330687.3162	598637.3348	462469.0345	462469.0345	295198.1686	557575.5473	428828.1276	384811.8202	462469.0345	399193.1837	462469.0345	399193.1837	399193.1837	557575.5473	462469.0345	428828.1276	557575.5473	330687.3162	384811.8202	462469.0345	557575.5473	462469.0345	557575.5473	462469.0345	557575.5473	462469.0345	646703.7742	557575.5473	557575.5473
PC	34	2	 [M-Ac-H]-	6.46	3.43	187271.3489	243562.944	237615.0777	179418.1977	187271.3489	208064.0869	249459.2657	237615.0777	219359.9415	219359.9415	219359.9415	249459.2657	262780.6788	231277.8511	231277.8511	243562.944	160744.0402	193314.5815	154573.2128	179418.1977	249459.2657	183135.0713	169145.9357	148509.7191	183135.0713	158299.2645	198076.619	158299.2645	224415.4907	173075.2555	173075.2555	198076.619	173075.2555	169145.9357	169145.9357	183135.0713	349028.5987	340419.6561	193314.5815	193314.5815	173075.2555	151459.0678	198076.619	151459.0678	224415.4907	269827.2102	219359.9415	208064.0869
plasmenyl-PE	40	2	 [M-H]-	8.39	3.74	73270.37003	46609.26087	131769.7383	33299.66793	65460.59059	58633.9278	31817.61754	110425.424	103196.0064	60222.51596	69214.02834	96106.53588	99870.77939	56398.89426	87289.82942	47253.25167	97755.68716	91635.1864	93246.11415	103196.0064	63251.252	36155.06256	57853.41224	40538.17571	80034.70033	49543.08057	62239.19593	74038.55448	45093.57603	59405.41907	99870.77939	61080.5871	82659.53858	82659.53858	72026.48717	87289.82942	33698.88921	44257.25187	57853.41224	57853.41224	77176.67139	72026.48717	64218.04209	52917.41117	44257.25187	65460.59059	49543.08057	65460.59059
PC	38	6	 [M-Ac-H]-	6.24	4.03	112271.0412	137699.8923	85754.42052	126585.2327	104720.9588	74897.30045	114703.9856	108647.9956	148509.7191	114703.9856	144407.7677	129203.9691	124468.6574	110425.424	108647.9956	103196.0064	148509.7191	134108.776	142172.3174	164736.2904	94865.32867	164736.2904	131769.7383	126585.2327	144407.7677	94865.32867	108647.9956	142172.3174	158299.2645	117467.8653	148509.7191	160744.0402	119586.3293	126585.2327	134108.776	104720.9588	104720.9588	90112.14407	117467.8653	103196.0064	134108.776	78597.97508	90112.14407	88440.59246	91635.1864	114703.9856	74038.55448	99870.77939
PE	42	2	 [M-H]-	8.56	4.44	99870.77939	108647.9956	144407.7677	119586.3293	108647.9956	144407.7677	93246.11415	131769.7383	142172.3174	131769.7383	129203.9691	144407.7677	110425.424	129203.9691	124468.6574	117467.8653	119586.3293	137699.8923	137699.8923	129203.9691	104720.9588	80034.70033	119586.3293	99870.77939	129203.9691	104720.9588	121966.2598	108647.9956	104720.9588	137699.8923	126585.2327	110425.424	126585.2327	144407.7677	108647.9956	134108.776	76051.81674	88440.59246	88440.59246	101952.9651	108647.9956	114703.9856	117467.8653	70766.09793	82659.53858	94865.32867	81197.12197	119586.3293
lysoPE	22	6	 [M-H]-	1.31	4.94	41199.72879	29187.5893	35735.72723	31817.61754	41199.72879	22019.2577	21216.73523	41763.24572	43684.48164	26863.8002	37499.1996	46609.26087	63251.252	31444.32881	52917.41117	25548.00069	43684.48164	38487.4435	36722.38174	41199.72879	24443.49166	43684.48164	28445.85814	37499.1996	20671.57952	16547.37591	19746.18393	41763.24572	35735.72723	35281.92007	51744.76755	50301.80924	29187.5893	34082.40142	36155.06256	25548.00069	23409.20767	25237.85251	24443.49166	22823.52205	70766.09793	23409.20767	25548.00069	25802.76769	19210.44861	26227.74215	16155.0574	30654.64416
plasmenyl-PE	40	4	 [M-H]-	7.78	5.28	295198.1686	183135.0713	399193.1837	224415.4907	295198.1686	340419.6561	243562.944	362930.2648	317345.8279	269827.2102	384811.8202	362930.2648	384811.8202	362930.2648	399193.1837	237615.0777	428828.1276	462469.0345	428828.1276	384811.8202	349028.5987	330687.3162	362930.2648	340419.6561	428828.1276	399193.1837	428828.1276	306650.4245	349028.5987	428828.1276	462469.0345	384811.8202	349028.5987	362930.2648	317345.8279	384811.8202	198076.619	208064.0869	349028.5987	462469.0345	255977.5241	349028.5987	295198.1686	306650.4245	340419.6561	399193.1837	384811.8202	362930.2648
PE	40	6	 [M-H]-	7.01	5.73	121966.2598	187271.3489	179418.1977	219359.9415	124468.6574	164736.2904	262780.6788	142172.3174	179418.1977	202237.4007	249459.2657	187271.3489	148509.7191	158299.2645	144407.7677	164736.2904	208064.0869	198076.619	262780.6788	219359.9415	219359.9415	340419.6561	262780.6788	142172.3174	224415.4907	183135.0713	213043.7072	340419.6561	277180.9596	187271.3489	187271.3489	262780.6788	224415.4907	231277.8511	219359.9415	208064.0869	164736.2904	164736.2904	213043.7072	231277.8511	317345.8279	219359.9415	243562.944	208064.0869	208064.0869	249459.2657	198076.619	231277.8511
PC	36	6	 [M-Ac-H]-	5.69	5.75	86522.12497	89276.36826	54624.40499	96931.11152	83222.28894	63734.64704	59019.67343	51478.27095	53860.28537	62745.22396	60651.55153	42076.54699	53223.57087	58243.67002	50756.7918	66043.59774	58243.67002	53860.28537	57126.15325	52331.08936	46931.25627	75474.5586	33085.61606	45398.5352	49922.44491	71396.29255	57126.15325	57126.15325	61659.89151	57126.15325	57126.15325	53223.57087	60651.55153	49922.44491	84769.72991	49154.41595	81928.33027	74467.92747	63734.64704	55728.43204	62745.22396	39228.54746	44675.41395	43459.12881	53860.28537	43459.12881	46931.25627	50756.7918
