"Sample","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218"
"CE 16_2",254.771202212389,178.754791908948,229.267379420074,274.601658013218,1202.8325934515,411.857620228863,468.636942619916,528.195474843724
"CE 22_6",6376.40094562033,4266.05355737087,7921.04733750395,3871.3772013047,5597.29459016579,4014.82300635148,2349.87217094041,5499.30928878379
"CE 16_0",2711.87506641911,2954.96209743807,2366.94818681383,2412.99157743283,2990.93669150468,2549.09651182585,2038.85933672195,2651.01698708592
"CE 18_2",20110.2922438145,24440.1162705759,18520.3363245616,15576.6245390726,22368.5936166911,19282.3501521796,20110.2922438145,19282.3501521796
"CE 18_1",35029.180799929,46168.3328830869,36831.9509883591,27466.5295318216,54129.4581072229,35029.180799929,30343.1142901674,35029.180799929
"DG 42_9",7347.37161177832,20917.2201021667,9503.48399080236,7921.04733750395,11052.2513510666,5450.01206490267,10234.0226500262,10713.8014338532
"DG 40_3",19282.3501521796,16398.9150415773,31044.5978948227,13933.4216065439,9003.97914838529,20917.2201021667,60851.666002477,36018.5583491844
"DG 44_10",11389.5918535874,28820.2915305852,12617.9747302927,9235.46056029495,15290.4228561396,10042.6537131761,12185.5819323399,14136.5796460737
"DG 36_5",117680.956754378,62976.8967742018,149913.812541413,161088.750012994,137574.586366284,130875.367426132,130875.367426132,104304.520528438
"DG 34_4",25140.6987545294,12859.732335181,32856.9614001071,32856.9614001071,26384.9106305458,32856.9614001071,24440.1162705759,18520.3363245616
"DG 38_1",31044.5978948227,21955.3065881794,28820.2915305852,16923.0401716664,13933.4216065439,30343.1142901674,49734.025777868,23285.0086005339
"DG 42_6",9235.46056029495,22806.8163709131,13439.3075427741,5078.54572133119,9929.8943000495,10114.6473977691,16137.634013348,12859.732335181
"DG 26_2",2855.25124036555,1099.35468823432,1448.70921663382,2819.37281518542,982.897086953587,1422.03743606239,1129.8513077015,2463.72976106722
"DG 30_0",16137.634013348,8651.41735427099,13573.8301418147,9632.81766929046,13013.8554366387,13265.0160448372,13933.4216065439,9116.96634196858
