"Sample","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266"
"CE 16_2",568.856072751554,2038.85933672195,3124.45974486288,2216.95286968574,1558.90651857971,274.601658013218,2133.5277537567,4606.09519097871
"CE 22_6",2412.99157743283,5113.24138632024,4071.23124662213,6481.37711101783,5234.7527711077,6568.74646067273,3461.41157137891,4690.18976199036
"CE 16_0",3263.31706892546,3340.27121100111,19058.258001601,5734.19565769063,8253.97862949947,9929.8943000495,3825.95664015282,5553.65304921028
"CE 18_2",5256.26325178087,17931.284221945,17931.284221945,22368.5936166911,12371.1538903283,84833.5770545398,10234.0226500262,12859.732335181
"CE 18_1",32856.9614001071,41464.3178917538,223228.131089919,69043.8616110691,114985.666182594,130875.367426132,84833.5770545398,84833.5770545398
"DG 42_9",15576.6245390726,5499.30928878379,8031.41988129279,4809.58357481659,4431.89536826276,25140.6987545294,6944.29567652905,4033.57837199241
"DG 40_3",38237.6486797862,22368.5936166911,19565.0653679824,9235.46056029495,9430.7525966114,14953.6999839701,20110.2922438145,10234.0226500262
"DG 44_10",16923.0401716664,12185.5819323399,11746.80878921,11514.8733047935,10441.8264587194,29098.7429507766,12859.732335181,11286.2522497817
"DG 36_5",84833.5770545398,47939.3302360704,60851.666002477,51163.9308922764,57656.0640663599,46168.3328830869,51163.9308922764,45075.3780566745
"DG 34_4",15763.3687217144,6212.89145658457,7588.59786689119,10940.7823372663,10940.7823372663,10940.7823372663,9807.58199609661,11514.8733047935
"DG 38_1",97796.0749756159,35356.0511854785,34344.8502303868,25840.7899752339,23994.8989578161,21359.6461597065,59201.6588274221,30343.1142901674
"DG 42_6",60851.666002477,8881.26991652829,10441.8264587194,5553.65304921028,5806.58241784265,15290.4228561396,6986.65352454895,7446.47496056903
"DG 26_2",2990.93669150468,756.675442748719,982.897086953587,835.146637849803,967.493285690812,756.675442748719,698.43541324027,1202.8325934515
"DG 30_0",29098.7429507766,8461.29006782076,22368.5936166911,16398.9150415773,17289.7904010003,5256.26325178087,27466.5295318216,22806.8163709131
"DG 42_5",12859.732335181,4387.32715422547,4851.37058862409,1841.90731019952,3548.58298124476,6827.72317715027,4690.18976199036,3055.71176991106
"DG 40_1",9929.8943000495,6376.40094562033,7099.42489676729,2165.41334899486,4523.81938229584,3381.53356686189,9929.8943000495,6986.65352454895
"DG 42_2",7181.06267139208,3178.84755895613,2763.26955216501,2651.01698708592,2599.2538413481,2082.10089015757,5351.22997895585,2914.5716884683
"DG 40_2",55951.1004690342,21955.3065881794,21955.3065881794,16638.9186889241,11746.80878921,6481.37711101783,28820.2915305852,20110.2922438145
"DG 30_1",10828.7381983571,4431.89536826276,7181.06267139208,7248.00547219934,7717.57215669645,1008.0225270837,9003.97914838529,11633.1525248554
"DG 36_0",14953.6999839701,6568.74646067273,11286.2522497817,5256.26325178087,6271.41537921545,9003.97914838529,17674.5104604884,7248.00547219934
"DG 30_2",2819.37281518542,1376.14463056216,2274.48627613108,3148.91292249763,2631.50820672498,2349.87217094041,2349.87217094041,4523.81938229584
"DG 34_0",3021.7095752333,3204.28483972103,3234.7581157626,2412.99157743283,3757.47925791549,2121.38240169709,3757.47925791549,3442.63663383301
"DG 44_9",6018.64947411107,1992.79957348893,1992.79957348893,1409.42199173385,1214.09548181217,6737.60235618507,1640.88491618403,3124.45974486288
"DG 36_6",3968.82427597725,3757.47925791549,4431.89536826276,4014.82300635148,2497.42925529389,5894.31053216795,4523.81938229584,3606.73631201073
"DG 30_3",865.405251708266,816.88161587436,388.959228370039,625.945831006615,899.044413759908,1448.70921663382,1008.0225270837,625.945831006615
"DG 38_0",1784.75471519342,2349.87217094041,2954.96209743807,1333.1413460065,1275.09920477369,1578.23701615733,3263.31706892546,1517.57027202074
"DG 32_6",544.221336627261,411.857620228863,865.405251708266,608.179116249848,544.221336627261,1160.54267482823,229.267379420074,348.253380980336
"DG 42_3",3073.38796754991,1578.23701615733,1610.30246045259,1897.22557948763,680.550564802879,1659.52222452611,2178.01478957907,1897.22557948763
"DG 44_6",1333.1413460065,967.493285690812,1593.08427456051,492.551333941507,1470.78612428839,1823.57856873329,1409.42199173385,608.179116249848
"DG 40_9",2310.38919436557,1129.8513077015,1823.57856873329,730.332756594138,1659.52222452611,3488.07484525728,671.690912655492,698.43541324027
"DG 44_8",3381.53356686189,1236.73503590444,1202.8325934515,1517.57027202074,1711.36237044589,3442.63663383301,2384.9094953177,1558.90651857971
"DG 28_2",1310.71857019807,1032.09039381935,1295.87866096083,1535.07870355577,1066.27728321814,982.897086953587,951.55816296729,1744.8986397575
"DG 42_1",1356.2504283063,1925.48406474703,2349.87217094041,1578.23701615733,1535.07870355577,1181.43716573132,2746.29622424888,2296.18709518999
"DG 26_1",46.2231406157872,348.253380980336,229.267379420074,178.754791908948,274.601658013218,440.860440874608,85.7070415368658,411.857620228863
"lysoPC 18_2",27466.5295318216,31044.5978948227,21359.6461597065,31780.529422496,35029.180799929,18166.6226030207,32856.9614001071,31044.5978948227
"lysoPC 22_4",12371.1538903283,8806.42203184084,9315.48313178483,12185.5819323399,15763.3687217144,7521.65635821746,11970.1854289872,19282.3501521796
"lysoPC 20_1",67001.4355209511,57656.0640663599,55951.1004690342,49734.025777868,54129.4581072229,13013.8554366387,67001.4355209511,60851.666002477
"lysoPC 24_1",2933.8102000047,3791.74057775684,2933.8102000047,2599.2538413481,3055.71176991106,1967.98764251771,3791.74057775684,3234.7581157626
"lysoPC 22_0",411.857620228863,926.677194824214,835.146637849803,899.044413759908,1295.87866096083,835.146637849803,1202.8325934515,899.044413759908
"lysoPC 16_0",4809.58357481659,3933.98877819309,3640.97872960073,2933.8102000047,6615.97621860381,3724.27361308008,5677.53512080746,5078.54572133119
"lysoPC 20_0",2651.01698708592,4156.4876883499,2576.24005045038,2819.37281518542,2888.20130516259,3178.84755895613,4156.4876883499,2063.34429872961
"lysoPC 16_1",5499.30928878379,2763.26955216501,2178.01478957907,4481.91145131831,4809.58357481659,1099.35468823432,3871.3772013047,5003.92710488384
"lysoPC 26_1",1275.09920477369,1066.27728321814,899.044413759908,1008.0225270837,1409.42199173385,899.044413759908,625.945831006615,967.493285690812
"lysoPC 22_1",2711.87506641911,3307.77124437562,2549.09651182585,2253.41289796525,3606.73631201073,2253.41289796525,2526.69052478253,2576.24005045038
"lysoPC 24_0",1236.73503590444,1310.71857019807,1275.09920477369,1744.8986397575,2038.85933672195,1535.07870355577,1558.90651857971,1659.52222452611
"lysoPC 18_0",1659.52222452611,1784.75471519342,1008.0225270837,1640.88491618403,1610.30246045259,1517.57027202074,1376.14463056216,2746.29622424888
"lysoPC 18_3",1032.09039381935,730.332756594138,1214.09548181217,1181.43716573132,951.55816296729,1032.09039381935,652.014498258233,1448.70921663382
"lysoPC 24_4",440.860440874608,792.668621563319,492.551333941507,951.55816296729,835.146637849803,625.945831006615,865.405251708266,568.856072751554
"lysoPE 18_1",142201.058983506,149913.812541413,127606.714026263,134895.775914482,165485.017869633,97796.0749756159,137574.586366284,134895.775914482
"lysoPE 20_4",223228.131089919,177440.178067119,106785.324186153,117680.956754378,155894.155542305,73104.0557603158,122669.923299236,147512.648350628
"lysoPE 16_1",5597.29459016579,6944.29567652905,4658.99882366799,7921.04733750395,9116.96634196858,2711.87506641911,5597.29459016579,5734.19565769063
"lysoPE 18_3",625.945831006615,608.179116249848,652.014498258233,772.591738737534,652.014498258233,792.668621563319,492.551333941507,1032.09039381935
"lysoPE 22_4",2366.94818681383,2576.24005045038,2324.59129354116,2668.93604567935,2954.96209743807,2133.5277537567,1578.23701615733,2349.87217094041
"lysoPE 20_1",6568.74646067273,7248.00547219934,6376.40094562033,6018.64947411107,7521.65635821746,3606.73631201073,8352.8966901949,7099.42489676729
"lysoPE 22_6",1823.57856873329,2384.9094953177,3461.41157137891,2497.42925529389,2746.29622424888,2746.29622424888,2711.87506641911,3414.40905155836
"lysoPE 16_0",4917.30150840707,6415.46529542456,4757.69518913288,6827.72317715027,4363.53746106577,4523.81938229584,5234.7527711077,6018.64947411107
"lysoPE 18_0",3055.71176991106,3148.91292249763,6568.74646067273,4566.45164615393,3178.84755895613,7588.59786689119,7446.47496056903,6944.29567652905
"lysoPE 20_2",2107.3595663576,2324.59129354116,2121.38240169709,2763.26955216501,3307.77124437562,1992.79957348893,1275.09920477369,3461.41157137891
"lysoPE 20_0",652.014498258233,440.860440874608,951.55816296729,652.014498258233,865.405251708266,528.195474843724,1129.8513077015,1295.87866096083
"MG 18_1",79213.7221080975,35029.180799929,28220.663034298,29098.7429507766,39263.3205847908,14421.4546845661,39263.3205847908,34344.8502303868
"MG 18_0",2178.01478957907,1409.42199173385,1181.43716573132,1448.70921663382,1897.22557948763,2194.55021318974,2082.10089015757,2238.01365217653
"MG 22_4",1160.54267482823,951.55816296729,792.668621563319,756.675442748719,671.690912655492,1640.88491618403,568.856072751554,504.415032282568
"MG 18_4",1925.48406474703,1275.09920477369,1470.78612428839,1275.09920477369,1181.43716573132,2165.41334899486,1841.90731019952,1310.71857019807
"MG 20_2",951.55816296729,492.551333941507,625.945831006615,440.860440874608,816.88161587436,926.677194824214,608.179116249848,951.55816296729
"MG 16_1",3488.07484525728,1967.98764251771,2526.69052478253,1593.08427456051,2549.09651182585,951.55816296729,2631.50820672498,2526.69052478253
"PC 34_3",7322307.06177037,7322307.06177037,3825174.81132648,7322307.06177037,7322307.06177037,7322307.06177037,7322307.06177037,7322307.06177037
"PC 38_7",3825174.81132648,3118936.40300598,3118936.40300598,2312439.64183552,3118936.40300598,1868490.06904269,3118936.40300598,1868490.06904269
"PC 32_2",707691.054467675,617832.694707222,781553.073521248,839560.346929273,707691.054467675,261622.123674963,640563.219152152,640563.219152152
"PC 44_12",31044.5978948227,36831.9509883591,32856.9614001071,23994.8989578161,36831.9509883591,22368.5936166911,71392.0823432206,65411.1871387707
"PC 40_5",932760.278094542,932760.278094542,932760.278094542,781553.073521248,932760.278094542,288542.857786893,932760.278094542,932760.278094542
"PC 34_4",602758.534037015,572746.335508999,640563.219152152,552068.08035453,617832.694707222,333527.230997889,572746.335508999,572746.335508999
"PC 40_8",1624404.53028459,2312439.64183552,1868490.06904269,1624404.53028459,2085781.36793071,3118936.40300598,2085781.36793071,1624404.53028459
"PC 36_5",65411.1871387707,60851.666002477,57656.0640663599,42603.1113185256,74711.6316580016,40473.1871602372,54129.4581072229,39263.3205847908
"PC 40_4",7446.47496056903,6827.72317715027,4690.18976199036,7099.42489676729,6737.60235618507,4809.58357481659,8098.19161660726,4851.37058862409
"PC 38_0",4851.37058862409,10234.0226500262,6481.37711101783,5806.58241784265,5894.31053216795,3968.82427597725,6737.60235618507,5499.30928878379
"PC 44_7",4955.23892055682,5734.19565769063,3684.63961635496,5113.24138632024,3381.53356686189,2651.01698708592,5734.19565769063,3073.38796754991
"PC 30_3",671.690912655492,229.267379420074,544.221336627261,528.195474843724,730.332756594138,388.959228370039,440.860440874608,680.550564802879
"PC 36_4",3871.3772013047,3124.45974486288,3933.98877819309,7181.06267139208,5078.54572133119,6271.41537921545,3640.97872960073,5234.7527711077
"PC 40_9",4481.91145131831,3640.97872960073,2855.25124036555,3757.47925791549,4606.09519097871,2631.50820672498,5450.01206490267,5450.01206490267
"PC 30_2",3204.28483972103,1593.08427456051,1422.03743606239,1610.30246045259,2296.18709518999,967.493285690812,2121.38240169709,1214.09548181217
"PC 42_5",71392.0823432206,67001.4355209511,54129.4581072229,55951.1004690342,67001.4355209511,67001.4355209511,62976.8967742018,41464.3178917538
"PC 18_0",4108.57150185707,2914.5716884683,5499.30928878379,3968.82427597725,4014.82300635148,3098.33124903292,3606.73631201073,3021.7095752333
"PC 40_7",552068.08035453,640563.219152152,617832.694707222,617832.694707222,781553.073521248,230578.728667732,617832.694707222,781553.073521248
"PC 42_11",4156.4876883499,5169.20242420531,4266.05355737087,4108.57150185707,6112.19420364619,4156.4876883499,9235.46056029495,6568.74646067273
"PC 42_10",2855.25124036555,3488.07484525728,4033.57837199241,2792.16641440127,3968.82427597725,3021.7095752333,4809.58357481659,6112.19420364619
"PC 32_4",4658.99882366799,2792.16641440127,2631.50820672498,3073.38796754991,7099.42489676729,1897.22557948763,3488.07484525728,2133.5277537567
"PC 28_0",5894.31053216795,2775.60599579203,2775.60599579203,3684.63961635496,3461.41157137891,2038.85933672195,4014.82300635148,2274.48627613108
"PC 42_6",102385.887161319,119302.448996594,94786.4015421169,76962.6768830495,72248.0690517682,116333.311468486,116333.311468486,72248.0690517682
"PC 38_6",11970.1854289872,9632.81766929046,9632.81766929046,14421.4546845661,13573.8301418147,5597.29459016579,11746.80878921,16638.9186889241
"PC 34_5",11633.1525248554,11286.2522497817,7717.57215669645,17289.7904010003,12859.732335181,10042.6537131761,11514.8733047935,11883.0535993216
"PC 26_1",274.601658013218,46.2231406157872,178.754791908948,274.601658013218,348.253380980336,229.267379420074,274.601658013218,229.267379420074
"PC 40_10",2121.38240169709,2819.37281518542,1967.98764251771,2549.09651182585,4071.23124662213,2216.95286968574,1711.36237044589,2631.50820672498
"PC 32_1",2746.29622424888,1659.52222452611,1310.71857019807,3021.7095752333,2107.3595663576,544.221336627261,3724.27361308008,2792.16641440127
"PC 38_4",2631.50820672498,4108.57150185707,4523.81938229584,3381.53356686189,4917.30150840707,2990.93669150468,6568.74646067273,9807.58199609661
"PC 32_3",2349.87217094041,1841.90731019952,1841.90731019952,3055.71176991106,2651.01698708592,1376.14463056216,1356.2504283063,1925.48406474703
"PC 42_7",7248.00547219934,6481.37711101783,5169.20242420531,6415.46529542456,5734.19565769063,3757.47925791549,6415.46529542456,5113.24138632024
"PC 32_5",3307.77124437562,1422.03743606239,1558.90651857971,1992.79957348893,2668.93604567935,816.88161587436,1784.75471519342,1181.43716573132
"PC 32_0",5234.7527711077,7921.04733750395,6212.89145658457,13439.3075427741,10828.7381983571,4955.23892055682,7588.59786689119,10441.8264587194
"PC 40_1",18166.6226030207,11052.2513510666,13933.4216065439,8651.41735427099,8651.41735427099,7921.04733750395,17931.284221945,10617.2889325545
"PC 20_2",3178.84755895613,1181.43716573132,1861.51048336748,1489.26020830246,1683.81788655123,1558.90651857971,1992.79957348893,1008.0225270837
