"Sample","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309"
"CE 16_2",492.551333941507,46.2231406157872,85.7070415368658,46.2231406157872,85.7070415368658,254.771202212389,178.754791908948,504.415032282568
"CE 22_6",6827.72317715027,2914.5716884683,2914.5716884683,1610.30246045259,1610.30246045259,2651.01698708592,3414.40905155836,3204.28483972103
"CE 16_0",11633.1525248554,3606.73631201073,3825.95664015282,4566.45164615393,6481.37711101783,2631.50820672498,2775.60599579203,3968.82427597725
"CE 18_2",88449.4122228755,10617.2889325545,20110.2922438145,10617.2889325545,17674.5104604884,31780.529422496,17931.284221945,28220.663034298
"CE 18_1",142201.058983506,39263.3205847908,46168.3328830869,35029.180799929,54129.4581072229,46168.3328830869,27466.5295318216,40473.1871602372
"DG 42_9",10828.7381983571,37606.8448428336,36018.5583491844,30343.1142901674,57656.0640663599,11514.8733047935,14781.3594675502,17674.5104604884
"DG 40_3",21359.6461597065,21955.3065881794,31780.529422496,22368.5936166911,33432.963019786,31044.5978948227,20110.2922438145,29098.7429507766
"DG 44_10",13265.0160448372,30343.1142901674,35356.0511854785,31780.529422496,35029.180799929,15576.6245390726,16398.9150415773,16398.9150415773
"DG 36_5",127606.714026263,161088.750012994,149913.812541413,127606.714026263,216947.980412317,67001.4355209511,59201.6588274221,127606.714026263
"DG 34_4",17289.7904010003,19058.258001601,17931.284221945,20110.2922438145,24440.1162705759,8590.10472840768,16137.634013348,27466.5295318216
"DG 38_1",20917.2201021667,36018.5583491844,34344.8502303868,36018.5583491844,55951.1004690342,25840.7899752339,35356.0511854785,34344.8502303868
"DG 42_6",11746.80878921,33432.963019786,37606.8448428336,26384.9106305458,32856.9614001071,14421.4546845661,8253.97862949947,16923.0401716664
"DG 26_2",816.88161587436,556.009742992647,982.897086953587,1008.0225270837,1310.71857019807,967.493285690812,556.009742992647,2954.96209743807
"DG 30_0",6212.89145658457,11883.0535993216,11389.5918535874,16398.9150415773,12859.732335181,3757.47925791549,6112.19420364619,4658.99882366799
"DG 42_5",4851.37058862409,11286.2522497817,12617.9747302927,10940.7823372663,11389.5918535874,6376.40094562033,3757.47925791549,7347.37161177832
"DG 40_1",4566.45164615393,4071.23124662213,5003.92710488384,3442.63663383301,4658.99882366799,7446.47496056903,6212.89145658457,6568.74646067273
"DG 42_2",2349.87217094041,1992.79957348893,2775.60599579203,1593.08427456051,3148.91292249763,4156.4876883499,3442.63663383301,3442.63663383301
"DG 40_2",12617.9747302927,16398.9150415773,16398.9150415773,15290.4228561396,22368.5936166911,20110.2922438145,18520.3363245616,19565.0653679824
"DG 30_1",1356.2504283063,2526.69052478253,2888.20130516259,4690.18976199036,3512.76359261794,625.945831006615,1275.09920477369,2990.93669150468
"DG 36_0",5553.65304921028,10114.6473977691,7521.65635821746,10441.8264587194,9929.8943000495,6615.97621860381,7347.37161177832,5677.53512080746
"DG 30_2",4033.57837199241,2746.29622424888,1711.36237044589,2296.18709518999,3825.95664015282,1711.36237044589,1517.57027202074,4690.18976199036
"DG 34_0",2150.65085523474,3488.07484525728,3307.77124437562,3640.97872960073,3098.33124903292,2238.01365217653,1784.75471519342,3488.07484525728
"DG 44_9",4523.81938229584,5806.58241784265,10042.6537131761,8461.29006782076,9116.96634196858,2324.59129354116,1967.98764251771,1925.48406474703
"DG 36_6",16923.0401716664,10042.6537131761,13439.3075427741,8881.26991652829,16638.9186889241,4851.37058862409,10828.7381983571,14953.6999839701
"DG 30_3",2914.5716884683,816.88161587436,1640.88491618403,1032.09039381935,1992.79957348893,1202.8325934515,772.591738737534,2324.59129354116
