"Sample","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243"
"CE 16_2",229.267379420074,556.009742992647,388.959228370039,440.860440874608,544.221336627261,178.754791908948,792.668621563319,411.857620228863
"CE 22_6",4757.69518913288,2165.41334899486,3073.38796754991,2855.25124036555,3825.95664015282,1310.71857019807,1610.30246045259,7181.06267139208
"CE 16_0",2150.65085523474,2668.93604567935,2366.94818681383,3488.07484525728,2775.60599579203,2668.93604567935,3234.7581157626,5597.29459016579
"CE 18_2",21955.3065881794,9632.81766929046,12185.5819323399,12617.9747302927,15763.3687217144,11883.0535993216,11970.1854289872,35356.0511854785
"CE 18_1",31780.529422496,54129.4581072229,49734.025777868,55951.1004690342,55951.1004690342,36018.5583491844,38237.6486797862,192407.087625631
"DG 42_9",3684.63961635496,33432.963019786,18166.6226030207,16638.9186889241,18166.6226030207,14953.6999839701,8590.10472840768,11286.2522497817
"DG 40_3",21359.6461597065,36018.5583491844,30343.1142901674,26954.2584921167,26384.9106305458,25140.6987545294,19282.3501521796,9315.48313178483
"DG 44_10",11389.5918535874,23994.8989578161,16398.9150415773,18520.3363245616,21955.3065881794,19058.258001601,11883.0535993216,15576.6245390726
"DG 36_5",88449.4122228755,130875.367426132,223228.131089919,106785.324186153,130875.367426132,120923.941238811,69043.8616110691,97796.0749756159
"DG 34_4",17674.5104604884,32856.9614001071,35029.180799929,19565.0653679824,22368.5936166911,20917.2201021667,20110.2922438145,16398.9150415773
"DG 38_1",20917.2201021667,73104.0557603158,34344.8502303868,49734.025777868,31780.529422496,32856.9614001071,16923.0401716664,9929.8943000495
"DG 42_6",8253.97862949947,42603.1113185256,15290.4228561396,19058.258001601,17931.284221945,30343.1142901674,12617.9747302927,11633.1525248554
"DG 26_2",1310.71857019807,1610.30246045259,1517.57027202074,1160.54267482823,2178.01478957907,6944.29567652905,1578.23701615733,2194.55021318974
"DG 30_0",10617.2889325545,19565.0653679824,11883.0535993216,11389.5918535874,9929.8943000495,9929.8943000495,7830.0347096027,17289.7904010003
