"Sample","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289"
"CE 16_2",4431.89536826276,178.754791908948,178.754791908948,85.7070415368658,528.195474843724,85.7070415368658,440.860440874608,306.09485313677
"CE 22_6",8352.8966901949,7588.59786689119,3512.76359261794,9929.8943000495,4363.53746106577,4014.82300635148,4955.23892055682,2990.93669150468
"CE 16_0",9503.48399080236,3021.7095752333,3055.71176991106,2253.41289796525,2238.01365217653,3757.47925791549,2775.60599579203,2775.60599579203
"CE 18_2",18520.3363245616,29098.7429507766,36831.9509883591,30343.1142901674,31044.5978948227,37606.8448428336,28820.2915305852,18166.6226030207
"CE 18_1",130875.367426132,34344.8502303868,40473.1871602372,18166.6226030207,37606.8448428336,36018.5583491844,41464.3178917538,30343.1142901674
"DG 42_9",6271.41537921545,8352.8966901949,9503.48399080236,12859.732335181,23285.0086005339,10114.6473977691,12859.732335181,23994.8989578161
"DG 40_3",13265.0160448372,4917.30150840707,6986.65352454895,24440.1162705759,9116.96634196858,11389.5918535874,20489.9222612137,21359.6461597065
"DG 44_10",11286.2522497817,8098.19161660726,13573.8301418147,14953.6999839701,15763.3687217144,5894.31053216795,11970.1854289872,18520.3363245616
"DG 36_5",65411.1871387707,155894.155542305,112487.691855353,147512.648350628,114985.666182594,114985.666182594,172072.500201358,208716.393441901
"DG 34_4",14136.5796460737,30343.1142901674,27466.5295318216,23994.8989578161,17931.284221945,20917.2201021667,21955.3065881794,26384.9106305458
"DG 38_1",31044.5978948227,6827.72317715027,9003.97914838529,39263.3205847908,16923.0401716664,23285.0086005339,26384.9106305458,35356.0511854785
"DG 42_6",10042.6537131761,4156.4876883499,5450.01206490267,9430.7525966114,14781.3594675502,9503.48399080236,10713.8014338532,16398.9150415773
"DG 26_2",1640.88491618403,816.88161587436,2914.5716884683,5078.54572133119,1032.09039381935,1356.2504283063,1376.14463056216,1181.43716573132
"DG 30_0",18166.6226030207,5677.53512080746,8031.41988129279,10617.2889325545,9315.48313178483,8253.97862949947,7717.57215669645,8352.8966901949
"DG 42_5",4690.18976199036,2216.95286968574,3640.97872960073,5450.01206490267,4809.58357481659,3512.76359261794,4363.53746106577,5597.29459016579
"DG 40_1",4315.69286789868,951.55816296729,1744.8986397575,7588.59786689119,2933.8102000047,4523.81938229584,5597.29459016579,5169.20242420531
"DG 42_2",3340.27121100111,1578.23701615733,2384.9094953177,6481.37711101783,1517.57027202074,1659.52222452611,1823.57856873329,1967.98764251771
"DG 40_2",20110.2922438145,3234.7581157626,2599.2538413481,17674.5104604884,5450.01206490267,10234.0226500262,9929.8943000495,14781.3594675502
"DG 30_1",10828.7381983571,5078.54572133119,2855.25124036555,2526.69052478253,1744.8986397575,2133.5277537567,2165.41334899486,2723.50919798186
"DG 36_0",7099.42489676729,2819.37281518542,4108.57150185707,14136.5796460737,3968.82427597725,6271.41537921545,5113.24138632024,8031.41988129279
"DG 30_2",2366.94818681383,9235.46056029495,10234.0226500262,6212.89145658457,3512.76359261794,5677.53512080746,3871.3772013047,4523.81938229584
"DG 34_0",3968.82427597725,4809.58357481659,4266.05355737087,3055.71176991106,3582.78283814596,3968.82427597725,2954.96209743807,3307.77124437562
"DG 44_9",2775.60599579203,2384.9094953177,3442.63663383301,3548.58298124476,3724.27361308008,2711.87506641911,1356.2504283063,6827.72317715027
"DG 36_6",4566.45164615393,28220.663034298,14953.6999839701,15290.4228561396,10940.7823372663,12859.732335181,16638.9186889241,25840.7899752339
"DG 30_3",792.668621563319,3968.82427597725,6112.19420364619,5597.29459016579,2763.26955216501,899.044413759908,2576.24005045038,2384.9094953177
"DG 38_0",1032.09039381935,698.43541324027,608.179116249848,1784.75471519342,1295.87866096083,2384.9094953177,1181.43716573132,2121.38240169709
"DG 32_6",388.959228370039,2723.50919798186,3791.74057775684,3791.74057775684,951.55816296729,698.43541324027,1008.0225270837,1376.14463056216
"DG 42_3",1099.35468823432,865.405251708266,1861.51048336748,2497.42925529389,2497.42925529389,2324.59129354116,1593.08427456051,2549.09651182585
"DG 44_6",1823.57856873329,1376.14463056216,1008.0225270837,229.267379420074,1535.07870355577,1099.35468823432,698.43541324027,1310.71857019807
"DG 40_9",1310.71857019807,4606.09519097871,2990.93669150468,1683.81788655123,3488.07484525728,5351.22997895585,4071.23124662213,5256.26325178087
"DG 44_8",1489.26020830246,1448.70921663382,772.591738737534,2016.78089022534,3414.40905155836,2107.3595663576,2194.55021318974,3488.07484525728
"DG 28_2",1066.27728321814,4431.89536826276,5234.7527711077,5734.19565769063,2121.38240169709,2194.55021318974,2082.10089015757,1841.90731019952
"DG 42_1",1711.36237044589,348.253380980336,411.857620228863,2165.41334899486,348.253380980336,1008.0225270837,1099.35468823432,951.55816296729
"DG 26_1",178.754791908948,274.601658013218,388.959228370039,254.771202212389,178.754791908948,306.09485313677,608.179116249848,440.860440874608
"lysoPC 18_2",26954.2584921167,37606.8448428336,62976.8967742018,69043.8616110691,32856.9614001071,17289.7904010003,39263.3205847908,37606.8448428336
"lysoPC 22_4",9430.7525966114,8461.29006782076,11052.2513510666,31044.5978948227,10114.6473977691,3204.28483972103,6737.60235618507,7830.0347096027
"lysoPC 20_1",41464.3178917538,14136.5796460737,24440.1162705759,45075.3780566745,14421.4546845661,6568.74646067273,17674.5104604884,15576.6245390726
"lysoPC 24_1",3204.28483972103,2497.42925529389,3871.3772013047,3414.40905155836,1489.26020830246,2016.78089022534,2668.93604567935,1409.42199173385
"lysoPC 22_0",926.677194824214,528.195474843724,1236.73503590444,865.405251708266,652.014498258233,468.636942619916,1310.71857019807,556.009742992647
"lysoPC 16_0",5113.24138632024,8651.41735427099,33432.963019786,35356.0511854785,8806.42203184084,2121.38240169709,17289.7904010003,10828.7381983571
"lysoPC 20_0",1897.22557948763,1422.03743606239,1784.75471519342,8590.10472840768,1784.75471519342,2038.85933672195,2855.25124036555,2711.87506641911
"lysoPC 16_1",3098.33124903292,3073.38796754991,2775.60599579203,2133.5277537567,3640.97872960073,1925.48406474703,3178.84755895613,3340.27121100111
"lysoPC 26_1",1160.54267482823,568.856072751554,1202.8325934515,1032.09039381935,544.221336627261,792.668621563319,816.88161587436,680.550564802879
"lysoPC 22_1",2444.07630078938,2324.59129354116,3073.38796754991,2349.87217094041,1683.81788655123,2063.34429872961,1558.90651857971,1823.57856873329
"lysoPC 24_0",1517.57027202074,1744.8986397575,2444.07630078938,1610.30246045259,1236.73503590444,1448.70921663382,1683.81788655123,1593.08427456051
