"Lipid","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334"
"CE 16_2",85.7070415368658,440.860440874608,274.601658013218,306.09485313677,2723.50919798186,274.601658013218,504.415032282568,46.2231406157872
"CE 22_6",2274.48627613108,5553.65304921028,3724.27361308008,7521.65635821746,4014.82300635148,6481.37711101783,6112.19420364619,4523.81938229584
"CE 16_0",2888.20130516259,3148.91292249763,3234.7581157626,4014.82300635148,5078.54572133119,3606.73631201073,4851.37058862409,4266.05355737087
"CE 18_2",17289.7904010003,31044.5978948227,19058.258001601,45075.3780566745,10617.2889325545,36831.9509883591,49734.025777868,25140.6987545294
"CE 18_1",30343.1142901674,36831.9509883591,36831.9509883591,57656.0640663599,47939.3302360704,62976.8967742018,69043.8616110691,49734.025777868
"DG 42_9",29098.7429507766,21359.6461597065,13265.0160448372,14136.5796460737,5597.29459016579,24440.1162705759,19565.0653679824,31780.529422496
"DG 40_3",28220.663034298,10940.7823372663,10940.7823372663,9235.46056029495,15763.3687217144,22806.8163709131,16638.9186889241,35356.0511854785
"DG 44_10",17931.284221945,23285.0086005339,20489.9222612137,20489.9222612137,13013.8554366387,21955.3065881794,22806.8163709131,28220.663034298
"DG 36_5",172072.500201358,84833.5770545398,40473.1871602372,51163.9308922764,51163.9308922764,67001.4355209511,62976.8967742018,88449.4122228755
"DG 34_4",26954.2584921167,10828.7381983571,3640.97872960073,7921.04733750395,19282.3501521796,10114.6473977691,7717.57215669645,13573.8301418147
"DG 38_1",36018.5583491844,19282.3501521796,24440.1162705759,9929.8943000495,31780.529422496,35356.0511854785,16923.0401716664,51163.9308922764
"DG 42_6",15576.6245390726,14136.5796460737,7830.0347096027,12859.732335181,9929.8943000495,17289.7904010003,20917.2201021667,24440.1162705759
"DG 26_2",1310.71857019807,1066.27728321814,680.550564802879,835.146637849803,1784.75471519342,1356.2504283063,1558.90651857971,1659.52222452611
"DG 30_0",11514.8733047935,5734.19565769063,4851.37058862409,4033.57837199241,17289.7904010003,7446.47496056903,5734.19565769063,4917.30150840707
"DG 42_5",6568.74646067273,3933.98877819309,3757.47925791549,2855.25124036555,4690.18976199036,4851.37058862409,4315.69286789868,10828.7381983571
"DG 40_1",5234.7527711077,2746.29622424888,4156.4876883499,2324.59129354116,4071.23124662213,5450.01206490267,3825.95664015282,14136.5796460737
"DG 42_2",3098.33124903292,2253.41289796525,1861.51048336748,1422.03743606239,2296.18709518999,2819.37281518542,2933.8102000047,4033.57837199241
"DG 40_2",20110.2922438145,6615.97621860381,8253.97862949947,5553.65304921028,20917.2201021667,13933.4216065439,8352.8966901949,25840.7899752339
"DG 30_1",2412.99157743283,1181.43716573132,556.009742992647,1066.27728321814,11052.2513510666,926.677194824214,1310.71857019807,951.55816296729
"DG 36_0",9807.58199609661,7347.37161177832,6415.46529542456,4606.09519097871,7446.47496056903,8031.41988129279,5113.24138632024,11970.1854289872
"DG 30_2",2723.50919798186,2412.99157743283,1409.42199173385,2888.20130516259,4363.53746106577,2274.48627613108,2412.99157743283,3021.7095752333
"DG 34_0",2194.55021318974,2990.93669150468,2296.18709518999,2349.87217094041,3178.84755895613,2763.26955216501,2296.18709518999,2238.01365217653
"DG 44_9",4917.30150840707,3582.78283814596,2178.01478957907,2792.16641440127,2238.01365217653,3098.33124903292,4523.81938229584,7347.37161177832
"DG 36_6",14781.3594675502,10042.6537131761,5499.30928878379,7248.00547219934,3968.82427597725,7717.57215669645,7588.59786689119,13439.3075427741
"DG 30_3",1925.48406474703,1925.48406474703,756.675442748719,1295.87866096083,440.860440874608,1214.09548181217,1640.88491618403,2711.87506641911
