"Sample","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218"
"CE 18_2",740974.119267857,1140505.35982143,1455147.53910714,2172575.53660714,1961062.5375,2801262.88214286,1565259.17232143,2172575.53660714
"CE 20_4",1238585.74196429,2502717.17142857,1961062.5375,3653398.16071429,3206715.1125,3653398.16071429,1768669.68571429,3206715.1125
"CE 18_1",187605.219642857,263434.931428571,254837.76625,376836.891214286,376836.891214286,424657.462660714,296685.858607143,305691.987410714
"CE 20_2",22098.5183035714,27253.9484821429,23579.0024642857,22746.1475357143,16998.0356178571,36431.7635982143,26892.403625,40865.2268607143
"CE 18_3",40242.4034642857,57766.9555892857,65292.6203571429,48079.1544821429,71082.6420714286,88055.5859285714,68793.4987857143,55074.1213928571
"CE 22_4",38668.3322857143,43244.4308214286,29205.3635535714,69792.1983392857,37003.3471071429,42558.8972821429,31635.0711428571,65292.6203571429
"CE 16_1",30472.3221589286,24825.9185928571,28012.4682160714,84414.4910535714,40865.2268607143,33679.5103964286,39590.5449357143,53310.7435107143
"CE 20_3",315138.221821429,389615.907053571,234177.565178571,691980.601357143,438294.818267857,537086.656732143,275623.213214286,557535.656428571
"CE 16_0",20362.7371928571,21368.9445339286,24489.6108803571,30472.3221589286,38668.3322857143,16998.0356178571,18178.1888875,25146.6001785714
"DG 36_2",109260.486,81470.3392857143,86236.0747321428,37003.3471071429,60719.3389107143,40865.2268607143,86236.0747321428,63853.8299321429
"DG 36_1",8816.23721785714,5934.35367571429,6922.36611035714,4314.71070089286,5724.02211196429,7597.96034285714,9295.57433928571,4099.36693267857
"DG 36_4",50324.3570714286,24489.6108803571,63853.8299321429,10133.1685892857,21368.9445339286,13253.6211178571,53310.7435107143,18639.4317696429
"DG 36_3",61688.1022857143,67612.5251964286,72376.8640464286,17936.5455178571,28788.7575339286,25881.2709928571,66389.0885178571,28012.4682160714
"DG 34_1",10294.1983232143,19427.3070232143,20605.481,26555.1806428571,26555.1806428571,22417.2371946429,14739.9143785714,11700.2718053571
"DG 38_5",45078.8297857143,29619.9902357143,26195.5927696429,18943.2163214286,23010.0447678571,23579.0024642857,59633.1933982143,28417.0586892857
"DG 38_6",28788.7575339286,23579.0024642857,27642.1983946429,16072.8131107143,11201.2329928571,10652.7044571429,34705.7523928571,13253.6211178571
"DG 34_3",19149.8252196429,6439.62519160714,8512.3501875,2502.46226125,5934.35367571429,8125.48476017857,13955.8465,9295.57433928571
"DG 36_0",8125.48476017857,11367.4251125,12732.5940125,7050.54476,7186.05634642857,8648.21050196429,7347.25012964286,5167.27360178571
"DG 40_7",29956.5594839286,12103.1438910714,17724.6697839286,8648.21050196429,7597.96034285714,4415.97215875,19427.3070232143,7839.17797125
"DG 32_2",6551.378575,2610.50864875,5724.02211196429,2072.90318839286,2946.67659517857,5088.60001303571,5844.98421946429,2502.46226125
"DG 38_3",7050.54476,2072.90318839286,4758.78730589286,3880.28439107143,2726.94451017857,5270.37840482143,5724.02211196429,3149.46716821429
