"Sample","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266"
"CE 18_2",1768669.68571429,2172575.53660714,2172575.53660714,1961062.5375,1961062.5375,2172575.53660714,1768669.68571429,1768669.68571429
"CE 20_4",4212536.26607143,5078044.01785714,3653398.16071429,4212536.26607143,3653398.16071429,3206715.1125,3206715.1125,3206715.1125
"CE 18_1",466853.517017857,453906.612607143,412194.21525,389615.907053571,502953.747839286,484745.8935,438294.818267857,412194.21525
"CE 20_2",47519.2642660714,35265.7756053571,45819.6608571429,52724.8140535714,55779.1466964286,56709.7669107143,37552.3767678571,33679.5103964286
"CE 18_3",46409.6795535714,39125.4085535714,62766.6365035714,51795.0621428571,77117.3579964286,73784.2439285714,66389.0885178571,63853.8299321429
"CE 22_4",78680.0341964286,73784.2439285714,60719.3389107143,109260.486,50324.3570714286,79935.5262642857,52724.8140535714,58747.1725892857
"CE 16_1",68793.4987857143,55779.1466964286,52724.8140535714,46974.5335535714,59633.1933982143,48807.5821428571,39590.5449357143,48079.1544821429
"CE 20_3",769351.43425,935039.595,740974.119267857,1060267.31625,935039.595,999381.5375,769351.43425,740974.119267857
"CE 16_0",35265.7756053571,28788.7575339286,24825.9185928571,18943.2163214286,30472.3221589286,29619.9902357143,32711.4972857143,39590.5449357143
"DG 36_2",55074.1213928571,48807.5821428571,49582.7215642857,40242.4034642857,71082.6420714286,55074.1213928571,102952.236285714,88055.5859285714
"DG 36_1",7990.22304464286,8961.33935714286,7347.25012964286,5398.0321,7347.25012964286,7701.63170017857,8961.33935714286,7990.22304464286
"DG 36_4",6180.84948053571,4543.34497678571,8648.21050196429,1565.000575,11020.5853321429,6661.72394821428,9978.52117321429,13253.6211178571
"DG 36_3",24489.6108803571,20605.481,21075.5921428571,23010.0447678571,21075.5921428571,15215.9790660714,24489.6108803571,19149.8252196429
"DG 34_1",30871.5082321429,24825.9185928571,26892.403625,22098.5183035714,21368.9445339286,24489.6108803571,20362.7371928571,24123.8243571429
