"Lipid","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309"
"CE 18_2",3206715.1125,3206715.1125,3653398.16071429,3206715.1125,3206715.1125,3206715.1125,2172575.53660714,3653398.16071429
"CE 20_4",7900753.74285714,4212536.26607143,5078044.01785714,5078044.01785714,4212536.26607143,4212536.26607143,3206715.1125,7900753.74285714
"CE 18_1",389615.907053571,424657.462660714,484745.8935,412194.21525,424657.462660714,376836.891214286,402282.127178571,389615.907053571
"CE 20_2",26195.5927696429,61688.1022857143,81470.3392857143,37003.3471071429,13955.8465,26555.1806428571,24825.9185928571,36431.7635982143
"CE 18_3",69792.1983392857,105862.877928571,48807.5821428571,89692.7647232143,114352.266696429,95782.8210714286,124379.788517857,88055.5859285714
"CE 22_4",59633.1933982143,66389.0885178571,78680.0341964286,43244.4308214286,29956.5594839286,23010.0447678571,17492.2355,47519.2642660714
"CE 16_1",19427.3070232143,15453.0258392857,18178.1888875,17206.6745767857,18943.2163214286,12299.3981696429,10837.8805821429,16331.7739839286
"CE 20_3",769351.43425,829835.944821429,881327.144642857,829835.944821429,438294.818267857,502953.747839286,346000.597321429,691980.601357143
"CE 16_0",35265.7756053571,46974.5335535714,50324.3570714286,37552.3767678571,38131.7161321429,28788.7575339286,41996.9177589286,46974.5335535714
"DG 36_2",48079.1544821429,30472.3221589286,56709.7669107143,40865.2268607143,23315.2417571429,58747.1725892857,71082.6420714286,45078.8297857143
"DG 36_1",5088.60001303571,4099.36693267857,8372.5780875,8512.3501875,5631.42895357143,7701.63170017857,5398.0321,4543.34497678571
"DG 36_4",16567.6682892857,10837.8805821429,12299.3981696429,9162.38664107143,21607.3120732143,38668.3322857143,36431.7635982143,13955.8465
"DG 36_3",15453.0258392857,15215.9790660714,31635.0711428571,12732.5940125,21849.6822410714,39125.4085535714,62766.6365035714,19857.4815
"DG 34_1",24123.8243571429,21368.9445339286,16769.8830410714,26555.1806428571,26555.1806428571,35910.3636071429,22098.5183035714,13414.3489392857
"DG 38_5",18639.4317696429,24123.8243571429,32711.4972857143,21849.6822410714,21368.9445339286,44423.4569464286,24123.8243571429,30871.5082321429
"DG 38_6",18943.2163214286,12299.3981696429,15874.1222107143,13253.6211178571,18418.6395375,22746.1475357143,23579.0024642857,16769.8830410714
