"Lipid","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243"
"CE 18_2",2172575.53660714,2172575.53660714,1768669.68571429,1961062.5375,1961062.5375,1344523.83910714,1768669.68571429,1768669.68571429
"CE 20_4",4212536.26607143,5078044.01785714,3653398.16071429,4212536.26607143,2801262.88214286,2172575.53660714,3206715.1125,2502717.17142857
"CE 18_1",630128.590982143,424657.462660714,346000.597321429,376836.891214286,324681.287678571,356514.397125,402282.127178571,424657.462660714
"CE 20_2",86236.0747321428,37003.3471071429,43779.5852857143,23315.2417571429,37552.3767678571,23315.2417571429,27642.1983946429,39590.5449357143
"CE 18_3",77117.3579964286,120659.397669643,95782.8210714286,68793.4987857143,73784.2439285714,91582.2723821429,52724.8140535714,124379.788517857
"CE 22_4",109260.486,67612.5251964286,58747.1725892857,73784.2439285714,86236.0747321428,35265.7756053571,33258.4630142857,52724.8140535714
"CE 16_1",98095.1422857143,53310.7435107143,51035.1771285714,62766.6365035714,40242.4034642857,57766.9555892857,41996.9177589286,55074.1213928571
"CE 20_3",1455147.53910714,1140505.35982143,630128.590982143,691980.601357143,537086.656732143,466853.517017857,424657.462660714,691980.601357143
"CE 16_0",39590.5449357143,35265.7756053571,21075.5921428571,15215.9790660714,26195.5927696429,18639.4317696429,26555.1806428571,26555.1806428571
"DG 36_2",45078.8297857143,65292.6203571429,105862.877928571,45819.6608571429,91582.2723821429,84414.4910535714,69792.1983392857,68793.4987857143
"DG 36_1",3579.30554910714,4665.46998178571,5724.02211196429,5844.98421946429,14556.9376785714,6180.84948053571,22098.5183035714,5934.35367571429
"DG 36_4",9978.52117321429,11700.2718053571,45078.8297857143,11555.0169464286,29205.3635535714,23860.7347321429,13253.6211178571,10133.1685892857
"DG 36_3",13098.9696714286,15874.1222107143,65292.6203571429,9978.52117321429,61688.1022857143,60719.3389107143,24123.8243571429,30871.5082321429
"DG 34_1",25505.1708607143,25146.6001785714,18418.6395375,20815.1330178571,20362.7371928571,21075.5921428571,37552.3767678571,25146.6001785714
"DG 38_5",26195.5927696429,20605.481,51795.0621428571,12732.5940125,46974.5335535714,14944.7673089286,30472.3221589286,21368.9445339286
"DG 38_6",8816.23721785714,11201.2329928571,45819.6608571429,10294.1983232143,29619.9902357143,9978.52117321429,11555.0169464286,6078.22740089286
"DG 34_3",3880.28439107143,6439.62519160714,13955.8465,2388.13856553571,7347.25012964286,12525.6698714286,656.591134821429,6922.36611035714
"DG 36_0",12888.5737714286,19149.8252196429,11700.2718053571,15673.4276482143,12299.3981696429,8125.48476017857,10837.8805821429,8512.3501875
"DG 40_7",7497.03831660714,8251.11858571429,35910.3636071429,6315.46978571429,23579.0024642857,13955.8465,5724.02211196429,15215.9790660714
"DG 32_2",4665.46998178571,3880.28439107143,5088.60001303571,3688.59157071429,3149.46716821429,6922.36611035714,3047.14357803571,3688.59157071429
"DG 38_3",3047.14357803571,3047.14357803571,3688.59157071429,2502.46226125,8125.48476017857,5088.60001303571,5270.37840482143,6315.46978571429
"lysoPC 18_1",7900753.74285714,10375737.5071429,10375737.5071429,10375737.5071429,7900753.74285714,7900753.74285714,7900753.74285714,7900753.74285714
"lysoPC 20_5",691980.601357143,656382.538178571,519282.5495,537086.656732143,519282.5495,580827.072089286,630128.590982143,519282.5495
"lysoPC 20_3",3206715.1125,3206715.1125,3206715.1125,5078044.01785714,3653398.16071429,2801262.88214286,2801262.88214286,3653398.16071429
"lysoPC 20_2",157279.283625,234177.565178571,244054.326071429,234177.565178571,157279.283625,167816.821428571,111762.082482143,218579.666142857
"lysoPC 16_1",61688.1022857143,62766.6365035714,49582.7215642857,41996.9177589286,20152.4907142857,38668.3322857143,35265.7756053571,37003.3471071429
"lysoPC 18_2",881327.144642857,502953.747839286,580827.072089286,935039.595,606468.134892857,630128.590982143,769351.43425,580827.072089286
"lysoPC 20_0",22098.5183035714,20362.7371928571,22417.2371946429,20152.4907142857,11555.0169464286,13797.1867678571,6315.46978571429,15673.4276482143
"lysoPC 24_0",127822.838035714,131122.470535714,100624.498053571,195603.946214286,109260.486,81470.3392857143,66389.0885178571,89692.7647232143
"lysoPC 22_4",51035.1771285714,55779.1466964286,31635.0711428571,69792.1983392857,57766.9555892857,48807.5821428571,60719.3389107143,65292.6203571429
"lysoPC 18_3",17724.6697839286,22417.2371946429,18178.1888875,17206.6745767857,12525.6698714286,13253.6211178571,14556.9376785714,9978.52117321429
"lysoPC 20_1",57238.36125,47799.2093741071,47799.2093741071,55426.6340446429,21974.1002723214,37842.04645,11110.9091625,40553.8151625
"lysoPC 16_0",50324.3570714286,44423.4569464286,33679.5103964286,43779.5852857143,32236.8801964286,10837.8805821429,33679.5103964286,38131.7161321429
"lysoPC 22_5",13253.6211178571,27253.9484821429,5398.0321,13253.6211178571,10294.1983232143,15673.4276482143,18639.4317696429,24489.6108803571
"lysoPC 26_1",5520.08360160714,6661.72394821428,4314.71070089286,7186.05634642857,4758.78730589286,4758.78730589286,4217.19304410714,4543.34497678571
"lysoPC 22_2",4099.36693267857,3786.05885392857,4855.38819928571,5520.08360160714,5631.42895357143,5844.98421946429,6439.62519160714,8372.5780875
"lysoPC 22_0",5934.35367571429,3990.92321571429,5631.42895357143,5088.60001303571,4543.34497678571,3456.08772910714,5844.98421946429,3990.92321571429
"lysoPC 14_0",4543.34497678571,2946.67659517857,4217.19304410714,3990.92321571429,3880.28439107143,2072.90318839286,3880.28439107143,3260.58485017857
"lysoPE 20_0",8251.11858571429,4981.35488607143,4758.78730589286,7990.22304464286,4981.35488607143,5724.02211196429,7990.22304464286,6439.62519160714
"lysoPE 22_5",55074.1213928571,81470.3392857143,46974.5335535714,48807.5821428571,15453.0258392857,30871.5082321429,42558.8972821429,41435.4854071429
