"Sample","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289"
"CE 18_2",2801262.88214286,1344523.83910714,1961062.5375,1961062.5375,3653398.16071429,2801262.88214286,3653398.16071429,2172575.53660714
"CE 20_4",4212536.26607143,1565259.17232143,5078044.01785714,4212536.26607143,5078044.01785714,3206715.1125,7900753.74285714,3653398.16071429
"CE 18_1",412194.21525,376836.891214286,296685.858607143,244054.326071429,356514.397125,356514.397125,484745.8935,324681.287678571
"CE 20_2",26195.5927696429,7497.03831660714,29956.5594839286,26195.5927696429,24123.8243571429,25505.1708607143,66389.0885178571,28788.7575339286
"CE 18_3",77117.3579964286,56709.7669107143,79935.5262642857,59633.1933982143,139107.900982143,43779.5852857143,79935.5262642857,81470.3392857143
"CE 22_4",41996.9177589286,20152.4907142857,40865.2268607143,40242.4034642857,19149.8252196429,31635.0711428571,43244.4308214286,38668.3322857143
"CE 16_1",11919.7666446429,12888.5737714286,10294.1983232143,12103.1438910714,21849.6822410714,18178.1888875,17206.6745767857,19857.4815
"CE 20_3",376836.891214286,162160.035892857,376836.891214286,336896.543375,537086.656732143,453906.612607143,580827.072089286,356514.397125
"CE 16_0",40242.4034642857,24489.6108803571,45819.6608571429,30472.3221589286,29956.5594839286,48079.1544821429,38131.7161321429,35910.3636071429
"DG 36_2",43244.4308214286,59633.1933982143,38131.7161321429,41996.9177589286,45819.6608571429,45819.6608571429,43779.5852857143,44423.4569464286
"DG 36_1",5088.60001303571,10487.4956032143,5724.02211196429,2502.46226125,6078.22740089286,7347.25012964286,6078.22740089286,7497.03831660714
"DG 36_4",15215.9790660714,50324.3570714286,36431.7635982143,37003.3471071429,22746.1475357143,32236.8801964286,23860.7347321429,28417.0586892857
"DG 36_3",14739.9143785714,77117.3579964286,41996.9177589286,45078.8297857143,41435.4854071429,41435.4854071429,28788.7575339286,43779.5852857143
"DG 34_1",27642.1983946429,31635.0711428571,8961.33935714286,14161.2389589286,38131.7161321429,18418.6395375,22746.1475357143,16998.0356178571
"DG 38_5",18178.1888875,34705.7523928571,35265.7756053571,23010.0447678571,24825.9185928571,24825.9185928571,21607.3120732143,15874.1222107143
"DG 38_6",16998.0356178571,24123.8243571429,33258.4630142857,25881.2709928571,24489.6108803571,19149.8252196429,21368.9445339286,16331.7739839286
"DG 34_3",3880.28439107143,12103.1438910714,6078.22740089286,6315.46978571429,3359.53925410714,6661.72394821428,5631.42895357143,6439.62519160714
"DG 36_0",15453.0258392857,11919.7666446429,8648.21050196429,4855.38819928571,10294.1983232143,9978.52117321429,9772.53663392857,9295.57433928571
"DG 40_7",3149.46716821429,9632.68153035714,7347.25012964286,8816.23721785714,8961.33935714286,7497.03831660714,9464.67715821428,8372.5780875
"DG 32_2",3990.92321571429,4415.97215875,4665.46998178571,1932.36239017857,1932.36239017857,3260.58485017857,2840.1576325,2840.1576325
"DG 38_3",2610.50864875,5724.02211196429,2610.50864875,3047.14357803571,2726.94451017857,5520.08360160714,3688.59157071429,3359.53925410714
"lysoPC 18_1",7900753.74285714,3653398.16071429,7900753.74285714,5078044.01785714,4212536.26607143,4212536.26607143,5078044.01785714,7900753.74285714
"lysoPC 20_5",537086.656732143,502953.747839286,519282.5495,296685.858607143,484745.8935,285735.851553571,366483.281767857,366483.281767857
"lysoPC 20_3",3653398.16071429,2172575.53660714,4212536.26607143,2172575.53660714,2502717.17142857,2502717.17142857,2801262.88214286,2801262.88214286
"lysoPC 20_2",114352.266696429,102952.236285714,175201.353928571,79935.5262642857,134815.647321429,105862.877928571,117295.894107143,100624.498053571
"lysoPC 16_1",20152.4907142857,14739.9143785714,13098.9696714286,13414.3489392857,10837.8805821429,15874.1222107143,16072.8131107143,13955.8465
"lysoPC 18_2",557535.656428571,453906.612607143,438294.818267857,275623.213214286,580827.072089286,296685.858607143,356514.397125,389615.907053571
"lysoPC 20_0",17936.5455178571,6922.36611035714,20152.4907142857,15453.0258392857,17936.5455178571,19427.3070232143,17724.6697839286,20815.1330178571
"lysoPC 24_0",147937.73625,73784.2439285714,131122.470535714,66389.0885178571,67612.5251964286,88055.5859285714,111762.082482143,84414.4910535714
"lysoPC 22_4",48807.5821428571,46409.6795535714,68793.4987857143,35910.3636071429,28417.0586892857,31204.8584232143,50324.3570714286,32711.4972857143
"lysoPC 18_3",19652.5736517857,9464.67715821428,14161.2389589286,9295.57433928571,8512.3501875,14400.1318625,8372.5780875,10652.7044571429
"lysoPC 20_1",36171.0636026786,13333.9850285714,16883.9593294643,19288.5661214286,12201.2710303571,12993.7717214286,24306.71761875,30214.4408214286
"lysoPC 16_0",48079.1544821429,35265.7756053571,27642.1983946429,16331.7739839286,16567.6682892857,26195.5927696429,33679.5103964286,40865.2268607143
"lysoPC 22_5",15673.4276482143,11555.0169464286,13955.8465,11201.2329928571,12888.5737714286,6180.84948053571,7347.25012964286,11201.2329928571
"lysoPC 26_1",4855.38819928571,2388.13856553571,6180.84948053571,3786.05885392857,3990.92321571429,3359.53925410714,3359.53925410714,3579.30554910714
"lysoPC 22_2",2946.67659517857,6315.46978571429,4543.34497678571,2388.13856553571,4665.46998178571,5088.60001303571,4217.19304410714,3688.59157071429
"lysoPC 22_0",6922.36611035714,5088.60001303571,6922.36611035714,5934.35367571429,3456.08772910714,4981.35488607143,5270.37840482143,4758.78730589286
"lysoPC 14_0",3688.59157071429,2181.38010482143,3047.14357803571,3359.53925410714,2283.52759196429,3688.59157071429,3579.30554910714,2946.67659517857
