"Sample","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334"
"CE 18_2",2801262.88214286,2172575.53660714,2801262.88214286,3206715.1125,2172575.53660714,2502717.17142857,3206715.1125,3206715.1125
"CE 20_4",4212536.26607143,5078044.01785714,4212536.26607143,7900753.74285714,4212536.26607143,3653398.16071429,5078044.01785714,4212536.26607143
"CE 18_1",366483.281767857,296685.858607143,324681.287678571,389615.907053571,366483.281767857,324681.287678571,438294.818267857,366483.281767857
"CE 20_2",33679.5103964286,19652.5736517857,30472.3221589286,36431.7635982143,17492.2355,24825.9185928571,21607.3120732143,28417.0586892857
"CE 18_3",43244.4308214286,41435.4854071429,56709.7669107143,45819.6608571429,61688.1022857143,55779.1466964286,93647.1940357143,41996.9177589286
"CE 22_4",25881.2709928571,37552.3767678571,29956.5594839286,22417.2371946429,25146.6001785714,18943.2163214286,22417.2371946429,16331.7739839286
"CE 16_1",15673.4276482143,9772.53663392857,11700.2718053571,11700.2718053571,21368.9445339286,15453.0258392857,11367.4251125,15874.1222107143
"CE 20_3",484745.8935,466853.517017857,424657.462660714,606468.134892857,466853.517017857,285735.851553571,502953.747839286,424657.462660714
"CE 16_0",43779.5852857143,42558.8972821429,42558.8972821429,34054.3606964286,34054.3606964286,31635.0711428571,45819.6608571429,44423.4569464286
"DG 36_2",34705.7523928571,38131.7161321429,31635.0711428571,44423.4569464286,35910.3636071429,44423.4569464286,34705.7523928571,30871.5082321429
"DG 36_1",3990.92321571429,7597.96034285714,4665.46998178571,5844.98421946429,8251.11858571429,8372.5780875,3149.46716821429,4217.19304410714
"DG 36_4",16769.8830410714,21368.9445339286,19652.5736517857,21607.3120732143,12732.5940125,17206.6745767857,15673.4276482143,19149.8252196429
"DG 36_3",18639.4317696429,23010.0447678571,25505.1708607143,33679.5103964286,33679.5103964286,29956.5594839286,25146.6001785714,25505.1708607143
"DG 34_1",13955.8465,19857.4815,15215.9790660714,25505.1708607143,21607.3120732143,23579.0024642857,23315.2417571429,31635.0711428571
"DG 38_5",23010.0447678571,28788.7575339286,20152.4907142857,17936.5455178571,19857.4815,24123.8243571429,29619.9902357143,29956.5594839286
"DG 38_6",18943.2163214286,19149.8252196429,27642.1983946429,18418.6395375,16072.8131107143,18418.6395375,16331.7739839286,21849.6822410714
"DG 34_3",2840.1576325,1410.84707142857,4855.38819928571,3880.28439107143,2946.67659517857,3579.30554910714,3047.14357803571,2840.1576325
"DG 36_0",12732.5940125,12888.5737714286,20605.481,13098.9696714286,4099.36693267857,10487.4956032143,11201.2329928571,11201.2329928571
"DG 40_7",7701.63170017857,11020.5853321429,12103.1438910714,7186.05634642857,7839.17797125,7050.54476,9632.68153035714,6922.36611035714
"DG 32_2",656.591134821429,984.342505357143,656.591134821429,2610.50864875,3456.08772910714,2072.90318839286,1932.36239017857,1195.77037946429
"DG 38_3",1565.000575,2726.94451017857,2283.52759196429,2502.46226125,2840.1576325,3260.58485017857,2181.38010482143,8816.23721785714
"lysoPC 18_1",7900753.74285714,7900753.74285714,5078044.01785714,4212536.26607143,7900753.74285714,5078044.01785714,4212536.26607143,5078044.01785714
"lysoPC 20_5",356514.397125,305691.987410714,438294.818267857,315138.221821429,484745.8935,502953.747839286,580827.072089286,580827.072089286
"lysoPC 20_3",5078044.01785714,4212536.26607143,3653398.16071429,5078044.01785714,5078044.01785714,4212536.26607143,3653398.16071429,3653398.16071429
"lysoPC 20_2",167816.821428571,134815.647321429,147937.73625,147937.73625,218579.666142857,152912.219,143503.426964286,175201.353928571
"lysoPC 16_1",9632.68153035714,6078.22740089286,6180.84948053571,6551.378575,5520.08360160714,7347.25012964286,11555.0169464286,10133.1685892857
"lysoPC 18_2",296685.858607143,254837.76625,519282.5495,402282.127178571,424657.462660714,484745.8935,656382.538178571,537086.656732143
"lysoPC 20_0",14739.9143785714,24489.6108803571,19857.4815,15673.4276482143,27642.1983946429,21368.9445339286,20605.481,19857.4815
