"Sample","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334"
"DG 36_2",382729.005273053,262934.409024127,212232.660522217,527378.320838548,483347.455908846,460567.265636538,527378.320838548,527378.320838548
"DG 38_4",790483.825317275,501264.134936585,738451.164603208,738451.164603208,738451.164603208,501264.134936585,643967.830815935,643967.830815935
"DG 40_2",7521.44196042592,6031.35248547829,6932.73372785614,4681.73387176678,8414.57584326696,4812.19203976419,4176.99837683462,6692.01843259977
"DG 36_0",5699105.41038844,5699105.41038844,5699105.41038844,5699105.41038844,4554541.67677882,5699105.41038844,5699105.41038844,4554541.67677882
"DG 36_4",55093.0072476975,41438.2234282091,60911.4337591323,73860.6129032848,57697.3600365239,39141.4854023907,60911.4337591323,64255.024265003
"DG 34_0",738451.164603208,2113876.57185155,1506748.41479677,2113876.57185155,1112769.86069723,790483.825317275,2113876.57185155,1112769.86069723
"DG 32_1",44618.4280694884,27642.6323399554,23633.1281659734,50349.9660036893,21701.6136049083,22426.4691104843,20266.5189456207,26756.59928707
"DG 42_2",13764.0908345176,11669.9680819941,17160.2916295025,10871.1086945871,20499.2304299225,12191.6102211143,14273.0395612304,17392.416406866
"DG 40_5",7650.31919781937,4812.19203976419,12765.0149216246,7147.95040523972,6303.51102655984,7650.31919781937,7147.95040523972,11220.6903621017
"DG 40_1",30098.7967820094,26756.59928707,39141.4854023907,20499.2304299225,29551.3434109173,23964.2018715607,25827.3562636203,28171.2457107318
"DG 36_1",262934.409024127,249349.9543385,349336.505786575,301137.914916468,262934.409024127,212232.660522217,382729.005273053,281192.863652447
"DG 38_7",830.629705806644,467.979926103747,830.629705806644,2433.2690594929,946.715805137213,664.964195031568,1012.87486111436,1366.40082076778
"DG 32_0",33855.2150065753,89738.1247179249,50349.9660036893,71534.9288025654,44618.4280694884,40723.3977358019,81449.0277045762,35687.5315995651
"DG 38_3",57697.3600365239,43848.29694985,71534.9288025654,75897.8002485659,69576.7601220614,59352.6711444856,73860.6129032848,96361.5720936196
"DG 38_2",15283.1046805948,8628.29676237836,14779.9017017912,21130.2726736133,15027.1406563997,11400.689235685,25566.3418233348,23252.0507061844
