"Lipid","Adduct","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334","QC","QC.1","QC.2","QC.3","QC.4","QC.5","QC.6"
"CerP 34:1"," [M-H]-@5.85",1338.71237844698,3004.01763718004,1391.55056011297,898.761494922817,2037.93291603604,1182.89941520448,1034.92573100347,2127.30970585188,898.761494922817,1118.64210972396,1538.63447488684,1464.39194596958,1391.55056011297,1626.69860289342,782.807801679076,2233.72773737846,2488.25166447273,1118.64210972396,3612.42450746274,1712.03191162717,2086.86468213465,3514.42337190523,2037.93291603604,2258.812670135,1818.09326329959,3371.24020338599,5314.72626670759,3004.01763718004,2968.72173068754,3991.3748774096,2377.92415703998,2348.23663247028,3719.73096664114,3719.73096664114,2834.86178398825,4130.83029362121,2690.35120325713,2744.74108536457,3944.63350248391,2459.38728185783,2530.81557511034,3241.97360008065,2834.86178398825,2530.81557511034,1712.03191162717,3820.181791235,2377.92415703998,5444.24300290601,2405.41617633785,1626.69860289342,1538.63447488684,1789.32580262947,1918.79593092549,1118.64210972396,1503.80374201632
"CerP 40:1"," [M-H]-@7.69",15403.1035120041,13767.4155586639,9827.58516510342,8868.25204713259,12362.8544060816,12362.8544060816,17295.4484780253,12796.5625080866,13525.5969603434,9652.2881630867,15924.7504294567,13222.5141074643,12570.5021574445,8868.25204713259,8868.25204713259,6289.33066001893,17653.0468328609,10390.2614376092,18546.9651133156,14364.0936677753,14364.0936677753,14364.0936677753,9652.2881630867,9250.64966236269,7958.68099521296,19551.2850426047,5936.64649159397,9098.52542038267,14994.1933742864,29833.3524965028,17295.4484780253,37335.188332672,26975.7613843969,17653.0468328609,13942.5319546468,28562.8753300234,19551.2850426047,12964.3948766442,19551.2850426047,17653.0468328609,21875.7054352157,20960.3514526219,20694.7584137579,18227.3106571733,10390.2614376092,17295.4484780253,10390.2614376092,12964.3948766442,16977.7126066437,11976.4592245101,17653.0468328609,16511.7738776391,12570.5021574445,11106.5995383829,11692.1262614862
"CL 68:0"," [M-2H](2-)@7.60",3190.93733642942,6820.23597199196,3190.93733642942,3264.9740364125,3719.73096664114,2258.812670135,2690.35120325713,2405.41617633785,1221.38577054771,4835.83974370954,4282.32971112297,4989.00768591836,4456.48694168206,5936.64649159397,2530.81557511034,10213.8036292411,5370.91325114622,1918.79593092549,6030.59166744479,3241.97360008065,3944.63350248391,6458.12179229517,3190.93733642942,3371.24020338599,5722.81358738548,3298.74597581063,2744.74108536457,2459.38728185783,4835.83974370954,3820.181791235,3190.93733642942,4748.28122391277,3944.63350248391,6220.53409162898,9389.09614175612,45678.3541423267,9250.64966236269,1626.69860289342,3464.91457629439,2834.86178398825,6369.13933549184,6369.13933549184,3660.25599297855,3660.25599297855,6220.53409162898,7175.47660733322,3885.65596384799,5081.82969265839,3004.01763718004,3991.3748774096,4213.9000763739,6369.13933549184,4342.12542272719,3551.14758813268,5868.92201781126
"CL 68:1"," [M-2H](2-)@5.86",2622.88783787293,2405.41617633785,4078.29456265301,1789.32580262947,5153.13534799435,2834.86178398825,1960.74246301565,3514.42337190523,1060.89075349743,2744.74108536457,2086.86468213465,1338.71237844698,2086.86468213465,1182.89941520448,941.024114215905,2584.65283142539,2127.30970585188,1789.32580262947,2233.72773737846,2233.72773737846,1789.32580262947,2488.25166447273,2233.72773737846,3241.97360008065,2459.38728185783,6543.25764471686,3075.91575654467,3241.97360008065,4078.29456265301,2921.18181952142,3551.14758813268,3820.181791235,4684.86472175451,3551.14758813268,3190.93733642942,3660.25599297855,1538.63447488684,2690.35120325713,1918.79593092549,4167.15954181807,3514.42337190523,2037.93291603604,3075.91575654467,2348.23663247028,2086.86468213465,4282.32971112297,3660.25599297855,2258.812670135,1789.32580262947,2459.38728185783,2187.9540251399,2584.65283142539,3719.73096664114,3514.42337190523,3612.42450746274
"CL 68:2"," [M-2H](2-)@7.38",8674.60542344305,33712.1593854565,14364.0936677753,16266.6007322848,17653.0468328609,10213.8036292411,11976.4592245101,8674.60542344305,4130.83029362121,26154.9063350395,15403.1035120041,17295.4484780253,25359.4961376173,24359.1009633871,13525.5969603434,23275.8576896441,26386.6191432758,13525.5969603434,36175.8079706462,11106.5995383829,16266.6007322848,22339.1385149186,20960.3514526219,16511.7738776391,35604.7529681929,20090.3062441553,14541.282991194,7468.91020537391,25359.4961376173,22339.1385149186,11270.4635228106,22339.1385149186,14364.0936677753,26975.7613843969,20090.3062441553,29833.3524965028,25359.4961376173,7243.7404663457,12796.5625080866,14541.282991194,26386.6191432758,26975.7613843969,14856.5922293296,14856.5922293296,28036.3954852253,36175.8079706462,18546.9651133156,14159.4172870317,22765.2892577217,20960.3514526219,29833.3524965028,33712.1593854565,26386.6191432758,23275.8576896441,25359.4961376173
"CL 68:6"," [M-2H](2-)@5.51",2968.72173068754,2921.18181952142,5722.81358738548,5484.76882944373,2921.18181952142,11106.5995383829,2834.86178398825,8420.87075083541,3885.65596384799,4621.09206757743,5658.69577603727,4748.28122391277,3944.63350248391,2834.86178398825,4748.28122391277,2037.93291603604,1391.55056011297,2809.51919385145,1221.38577054771,4456.48694168206,1918.79593092549,5081.82969265839,2187.9540251399,2744.74108536457,2258.812670135,3241.97360008065,3991.3748774096,5484.76882944373,3075.91575654467,2809.51919385145,7045.24217979703,4213.9000763739,2405.41617633785,1918.79593092549,1918.79593092549,1464.39194596958,2086.86468213465,3004.01763718004,2187.9540251399,4568.04361430066,5583.55899821461,1818.09326329959,3719.73096664114,3464.91457629439,2233.72773737846,2690.35120325713,3719.73096664114,3298.74597581063,3241.97360008065,2921.18181952142,3514.42337190523,2187.9540251399,2187.9540251399,4502.5501483236,3885.65596384799
"CL 70:1"," [M-2H](2-)@6.08",6820.23597199196,3371.24020338599,7662.26575393545,10081.7855588267,18227.3106571733,12570.5021574445,9827.58516510342,13525.5969603434,11106.5995383829,10213.8036292411,6289.33066001893,6893.99101869691,7243.7404663457,10390.2614376092,7342.00216429879,14364.0936677753,11692.1262614862,6030.59166744479,58724.6142706174,8674.60542344305,6220.53409162898,2968.72173068754,7045.24217979703,10213.8036292411,42899.5234995226,4130.83029362121,4835.83974370954,3719.73096664114,4621.09206757743,96213.6882275837,3464.91457629439,2921.18181952142,6692.07812720161,2921.18181952142,44573.6204245312,43832.3602661799,48136.539803773,3464.91457629439,3612.42450746274,4078.29456265301,3371.24020338599,2968.72173068754,1034.92573100347,3612.42450746274,11106.5995383829,3612.42450746274,3190.93733642942,3719.73096664114,5936.64649159397,7045.24217979703,6543.25764471686,2921.18181952142,4568.04361430066,6893.99101869691,8201.64304747211
"CL 70:3"," [M-2H](2-)@5.58",4282.32971112297,1626.69860289342,4835.83974370954,9827.58516510342,7958.68099521296,5444.24300290601,5252.24897141774,6124.59842367946,7243.7404663457,3241.97360008065,4989.00768591836,4928.67225282779,5658.69577603727,4684.86472175451,26154.9063350395,3464.91457629439,4130.83029362121,3660.25599297855,3298.74597581063,18546.9651133156,9389.09614175612,2127.30970585188,8058.29143969921,4282.32971112297,3464.91457629439,3551.14758813268,6612.71816521373,8674.60542344305,6458.12179229517,3371.24020338599,4167.15954181807,4928.67225282779,10081.7855588267,2086.86468213465,3004.01763718004,2809.51919385145,3464.91457629439,4989.00768591836,3264.9740364125,4621.09206757743,4342.12542272719,2584.65283142539,2377.92415703998,4568.04361430066,12570.5021574445,2744.74108536457,5583.55899821461,3944.63350248391,4684.86472175451,5252.24897141774,3371.24020338599,3298.74597581063,5658.69577603727,5153.13534799435,3719.73096664114
"CL 70:5"," [M-2H](2-)@9.31",34816.2292933379,16266.6007322848,26975.7613843969,17295.4484780253,7842.77379494768,23275.8576896441,33288.4448987544,20694.7584137579,35604.7529681929,24927.793808888,26975.7613843969,26975.7613843969,24927.793808888,39833.3047734115,39833.3047734115,18996.1980238552,24086.534067023,29833.3524965028,20960.3514526219,26386.6191432758,33712.1593854565,18996.1980238552,24359.1009633871,22339.1385149186,14856.5922293296,14994.1933742864,8868.25204713259,13525.5969603434,10081.7855588267,6692.07812720161,24927.793808888,20090.3062441553,12964.3948766442,12796.5625080866,12184.9155840296,6612.71816521373,16977.7126066437,14541.282991194,14856.5922293296,14364.0936677753,7581.25015341629,13222.5141074643,20960.3514526219,15924.7504294567,24359.1009633871,7342.00216429879,16266.6007322848,15403.1035120041,23275.8576896441,20397.3985975092,18546.9651133156,20960.3514526219,16977.7126066437,12964.3948766442,14541.282991194
"CL 70:6"," [M-2H](2-)@5.77",20397.3985975092,3241.97360008065,16266.6007322848,28562.8753300234,24359.1009633871,14364.0936677753,14159.4172870317,14541.282991194,21875.7054352157,10390.2614376092,14994.1933742864,11692.1262614862,13525.5969603434,10807.0903027805,12362.8544060816,5583.55899821461,7243.7404663457,8580.54116734748,4213.9000763739,10560.0202811424,4989.00768591836,5370.91325114622,5936.64649159397,5936.64649159397,5370.91325114622,11106.5995383829,16511.7738776391,12570.5021574445,17653.0468328609,10390.2614376092,7175.47660733322,10560.0202811424,15403.1035120041,5658.69577603727,6124.59842367946,4282.32971112297,6124.59842367946,10807.0903027805,7045.24217979703,8868.25204713259,6543.25764471686,4684.86472175451,4456.48694168206,6458.12179229517,5484.76882944373,4456.48694168206,6030.59166744479,3464.91457629439,8201.64304747211,9389.09614175612,10213.8036292411,11469.547672019,10213.8036292411,12362.8544060816,12362.8544060816
