"Lipid","Adduct","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334","QC","QC.1","QC.2","QC.3","QC.4","QC.5","QC.6","CV"
"PC 38:6"," [M-Ac-H]-@6.00",1275642.44385173,1809158.7219565,1809158.7219565,1335413.27963846,1809158.7219565,1502387.29254284,1402081.73811368,1809158.7219565,1809158.7219565,1502387.29254284,1502387.29254284,1502387.29254284,1809158.7219565,1809158.7219565,1809158.7219565,1191863.94024692,1402081.73811368,1809158.7219565,1809158.7219565,1809158.7219565,1809158.7219565,1809158.7219565,1809158.7219565,1809158.7219565,1809158.7219565,1502387.29254284,1275642.44385173,1335413.27963846,1809158.7219565,1809158.7219565,1502387.29254284,1809158.7219565,1502387.29254284,1809158.7219565,1809158.7219565,1502387.29254284,1402081.73811368,1809158.7219565,1335413.27963846,1502387.29254284,1809158.7219565,1809158.7219565,1502387.29254284,1809158.7219565,1809158.7219565,1809158.7219565,1502387.29254284,1191863.94024692,1809158.7219565,1809158.7219565,1809158.7219565,1809158.7219565,1809158.7219565,1809158.7219565,1809158.7219565,0
"PE 36:4"," [M-H]-@6.25",3846506.03054789,2981965.03603535,4657575.21988667,2981965.03603535,2981965.03603535,2981965.03603535,4657575.21988667,3846506.03054789,4657575.21988667,2981965.03603535,1809158.7219565,2981965.03603535,2981965.03603535,4657575.21988667,4657575.21988667,3846506.03054789,3846506.03054789,2981965.03603535,3846506.03054789,2981965.03603535,2981965.03603535,2981965.03603535,2981965.03603535,2981965.03603535,2981965.03603535,2981965.03603535,2981965.03603535,3846506.03054789,3846506.03054789,2981965.03603535,2981965.03603535,2981965.03603535,1809158.7219565,2981965.03603535,2981965.03603535,2981965.03603535,2981965.03603535,2981965.03603535,2981965.03603535,2981965.03603535,2981965.03603535,2981965.03603535,3846506.03054789,2981965.03603535,2981965.03603535,2981965.03603535,2981965.03603535,3846506.03054789,2981965.03603535,2981965.03603535,2981965.03603535,2981965.03603535,2981965.03603535,2981965.03603535,2981965.03603535,0
"PE 38:5"," [M-H]-@6.53",5362269.2356172,3846506.03054789,5362269.2356172,4657575.21988667,6652040.89899764,4657575.21988667,5362269.2356172,5362269.2356172,5362269.2356172,5362269.2356172,5362269.2356172,5362269.2356172,5362269.2356172,5362269.2356172,5362269.2356172,5362269.2356172,6652040.89899764,6652040.89899764,6652040.89899764,6652040.89899764,5362269.2356172,5362269.2356172,5362269.2356172,6652040.89899764,6652040.89899764,3846506.03054789,3846506.03054789,4657575.21988667,5362269.2356172,4657575.21988667,4657575.21988667,4657575.21988667,4657575.21988667,5362269.2356172,4657575.21988667,5362269.2356172,4657575.21988667,5362269.2356172,4657575.21988667,5362269.2356172,5362269.2356172,4657575.21988667,4657575.21988667,5362269.2356172,6652040.89899764,4657575.21988667,4657575.21988667,4657575.21988667,5362269.2356172,5362269.2356172,5362269.2356172,5362269.2356172,5362269.2356172,5362269.2356172,5362269.2356172,0
"PI 38:4"," [M-H]-@5.86",6652040.89899764,6652040.89899764,6652040.89899764,6652040.89899764,5362269.2356172,6652040.89899764,6652040.89899764,6652040.89899764,6652040.89899764,6652040.89899764,6652040.89899764,6652040.89899764,6652040.89899764,6652040.89899764,6652040.89899764,8934617.09875884,5362269.2356172,5362269.2356172,4657575.21988667,5362269.2356172,8175193.11088066,8175193.11088066,6652040.89899764,5362269.2356172,5362269.2356172,6652040.89899764,6652040.89899764,5362269.2356172,6652040.89899764,3846506.03054789,6652040.89899764,6652040.89899764,6652040.89899764,6652040.89899764,8175193.11088066,6652040.89899764,5362269.2356172,6652040.89899764,8175193.11088066,6652040.89899764,6652040.89899764,6652040.89899764,6652040.89899764,6652040.89899764,5362269.2356172,6652040.89899764,6652040.89899764,6652040.89899764,6652040.89899764,6652040.89899764,6652040.89899764,6652040.89899764,6652040.89899764,6652040.89899764,6652040.89899764,0
"PE 42:5"," [M-H]-@7.59",132036.420915596,166169.787073282,129151.795798432,113885.939588216,101591.649877395,101591.649877395,166169.787073282,139579.628641828,129151.795798432,182128.323351054,182128.323351054,166169.787073282,145525.564021415,139579.628641828,199872.206548552,151836.85010263,182128.323351054,126004.307551344,32818.1265976948,151836.85010263,139579.628641828,145525.564021415,145525.564021415,104314.230063418,145525.564021415,40898.1228379609,87717.4768339602,113885.939588216,91346.6549742346,47292.6383602812,93754.3318697047,121044.482007913,77856.7261190995,139579.628641828,151836.85010263,174821.754738674,174821.754738674,96213.6882275837,109331.860803225,96213.6882275837,166169.787073282,126004.307551344,129151.795798432,113885.939588216,139579.628641828,129151.795798432,151836.85010263,174821.754738674,129151.795798432,126004.307551344,126004.307551344,126004.307551344,126004.307551344,126004.307551344,132036.420915596,1.87674715371567
"PC 38:4"," [M-Ac-H]-@6.59",805773.21285585,1368747.50887607,982259.195138377,638528.606326206,1156646.24146446,982259.195138377,894580.635254134,805773.21285585,1060553.37811782,1305527.86174509,1060553.37811782,1103530.61191762,1103530.61191762,894580.635254134,805773.21285585,982259.195138377,1103530.61191762,1368747.50887607,1452234.51532826,1368747.50887607,1368747.50887607,1368747.50887607,1368747.50887607,1368747.50887607,1368747.50887607,1103530.61191762,982259.195138377,894580.635254134,1305527.86174509,1368747.50887607,894580.635254134,982259.195138377,805773.21285585,1368747.50887607,1103530.61191762,982259.195138377,1233753.19204932,1156646.24146446,1060553.37811782,894580.635254134,1368747.50887607,1452234.51532826,1305527.86174509,1368747.50887607,1368747.50887607,1452234.51532826,1233753.19204932,1060553.37811782,1103530.61191762,1103530.61191762,1060553.37811782,1103530.61191762,1103530.61191762,1156646.24146446,1103530.61191762,2.52038125250365
"PE 38:2"," [M-H]-@7.51",512788.22308561,860116.9553139,512788.22308561,751429.470397799,296763.152977115,512788.22308561,617257.682346834,702224.346138206,563651.214799404,860116.9553139,860116.9553139,860116.9553139,472144.840490419,617257.682346834,702224.346138206,617257.682346834,860116.9553139,702224.346138206,296763.152977115,702224.346138206,659799.530305578,860116.9553139,929044.315194367,860116.9553139,1035474.07508239,267537.008867386,328266.746833452,659799.530305578,411292.898500065,352004.975271914,751429.470397799,860116.9553139,702224.346138206,702224.346138206,860116.9553139,512788.22308561,751429.470397799,929044.315194367,1121428.542682,751429.470397799,929044.315194367,702224.346138206,860116.9553139,617257.682346834,860116.9553139,860116.9553139,751429.470397799,1275642.44385173,702224.346138206,751429.470397799,751429.470397799,751429.470397799,751429.470397799,702224.346138206,751429.470397799,3.25611484895355
"PE 34:2"," [M-H]-@6.42",1121428.542682,751429.470397799,1121428.542682,1402081.73811368,1275642.44385173,1121428.542682,1121428.542682,1275642.44385173,1121428.542682,512788.22308561,659799.530305578,563651.214799404,1035474.07508239,702224.346138206,929044.315194367,1121428.542682,362490.366727177,617257.682346834,472144.840490419,751429.470397799,394714.949936202,751429.470397799,394714.949936202,394714.949936202,375529.627625284,1335413.27963846,1809158.7219565,1809158.7219565,1502387.29254284,1035474.07508239,1335413.27963846,1335413.27963846,1335413.27963846,563651.214799404,617257.682346834,375529.627625284,563651.214799404,751429.470397799,1191863.94024692,1402081.73811368,751429.470397799,1035474.07508239,1121428.542682,1035474.07508239,394714.949936202,751429.470397799,1121428.542682,1121428.542682,929044.315194367,929044.315194367,929044.315194367,929044.315194367,929044.315194367,860116.9553139,860116.9553139,3.69858456900476
"PG 36:2"," [M-H]-@6.19",139579.628641828,267537.008867386,104314.230063418,121044.482007913,87717.4768339602,151836.85010263,174821.754738674,145525.564021415,145525.564021415,64793.5896416226,58724.6142706174,85302.2070384946,76887.4647095449,145525.564021415,93754.3318697047,352004.975271914,145525.564021415,96213.6882275837,182128.323351054,93754.3318697047,109331.860803225,166169.787073282,182128.323351054,182128.323351054,101591.649877395,328266.746833452,220351.947479556,166169.787073282,139579.628641828,311795.647667657,220351.947479556,139579.628641828,121044.482007913,174821.754738674,182128.323351054,129151.795798432,199872.206548552,190894.456675333,267537.008867386,211984.842776692,182128.323351054,336573.855192415,267537.008867386,249085.483983685,104314.230063418,267537.008867386,199872.206548552,249085.483983685,145525.564021415,145525.564021415,145525.564021415,132036.420915596,151836.85010263,139579.628641828,145525.564021415,4.33375202949854
"PE 40:4"," [M-H]-@7.52",1502387.29254284,929044.315194367,1191863.94024692,1502387.29254284,702224.346138206,1335413.27963846,1809158.7219565,1335413.27963846,1335413.27963846,1809158.7219565,2981965.03603535,1809158.7219565,1502387.29254284,1402081.73811368,1275642.44385173,512788.22308561,1502387.29254284,1121428.542682,362490.366727177,860116.9553139,751429.470397799,1191863.94024692,1035474.07508239,751429.470397799,659799.530305578,751429.470397799,411292.898500065,1502387.29254284,751429.470397799,659799.530305578,1275642.44385173,1402081.73811368,1121428.542682,1502387.29254284,1502387.29254284,1191863.94024692,1809158.7219565,1335413.27963846,1809158.7219565,1275642.44385173,1502387.29254284,860116.9553139,1035474.07508239,751429.470397799,751429.470397799,929044.315194367,1035474.07508239,1402081.73811368,1502387.29254284,1335413.27963846,1402081.73811368,1335413.27963846,1335413.27963846,1335413.27963846,1402081.73811368,4.57769195486882
