"Sample","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334","Tissue_Test.Pool_Positive_01","Tissue_Test.Pool_Positive_02","Tissue_Test.Pool_Positive_03","Tissue_Test.Pool_Positive_04","Tissue_Test.Pool_Positive_05","Tissue_Test.Pool_Positive_06","Tissue_Test.Pool_Positive_07"
"CE 16:0; [M+NH4]+@10.97",15588.54,20763.11,13231.78,17648.33,13404.6,15460.67,12418.26,17615.3,11029.37,20157.7,17256.47,24222.59,20880.63,20298.28,20966.68,30806.72,22402.63,20477.75,145766.97,32723.43,47246.85,83636.11,19227.42,26936.63,57474.1,11595.53,18400.47,16110.82,12168.86,12475.46,22158.53,20177.24,94340.87,26208.88,31110.07,33799.81,60945.89,19512.99,19758.16,25996.52,17000.9,16609.2,21910.7,23559.42,23373.81,20492.84,31290.83,39489,32057.25,33679.61,20868.64,22838.73,22745.17,20931.61,21201.99
"CE 16:2; [M+NH4]+@10.09",976.6036,230.57389,475.4787,1678.23054,4771.45766,1567.74091,2929.46306,3147.68553,633.41358,4155.10235,1636.28106,3403.12129,3935.78595,975.59166,5899.75367,2434.16888,3358.07399,12836.9392,18672.93781,11465.4179,7519.0382,719.48105,10449.15025,21917.64702,23719.04987,415.30163,546.60391,593.53263,2866.75787,335.44368,2085.65975,921.65695,1803.48885,197.36949,1274.2289,74.64996,372.71287,1388.68162,978.86622,3785.00326,375.38714,1590.30133,776.23608,1251.64749,12429.92697,854.13655,2641.19575,34.32294,5305.75514,3696.3918,5995.28712,4234.74227,5283.45226,3293.8624,4880.31289
"CE 18:1; [M+NH4]+@10.91",188595,290748.2,185988.6,225306.9,271789.7,222353.7,245546,220565.7,189176.6,359705.3,392972.9,348427,354150.4,281630.6,295359,1398251.9,239901.4,288958.5,1405297.7,441311.4,652792.2,1033481.3,450353.6,466067.1,716704.9,172947.9,266081.6,109505.1,249567,133388.9,373743,248929,1307110,312222.7,424940.6,296233.7,571455.4,293526.9,205169.3,266925.4,265814.3,254305.6,240183.9,386048.1,274161.7,354299.9,492776,400104.2,535157.6,517940.5,231785.4,383492.7,310488.1,390323.2,313725.2
"CE 18:2; [M+NH4]+@10.68",127741.59,169472.85,115385.25,111545.08,111851.4,131011,160923.56,149330.24,140995.48,71395.25,99252.7,82757.41,118315.86,90775.8,83122.11,217316.09,36680.75,104072,139675.15,113714.59,66958.9,703126.27,53149.35,67351.22,99578.25,148284.47,235362.85,161152.01,205067.37,156083.13,251445.64,164640.59,846501.35,75476.57,191210.58,79794.15,189604.11,197176.6,129366.49,192328.89,145592.51,198909.03,123660.95,311711.29,54167.69,221770.02,344220.32,240928.36,169865.44,121926.33,91627.86,183805.35,136391.96,147356.42,109643.03
"CE 22:6; [M+NH4]+@10.50",40406.575,29634.36,46740.018,27274.977,28499.04,24757.347,15834.58,38829.764,25550.579,15453.93,24643.375,21105.345,30682.879,11119.483,10431.168,38983.253,14994.713,32433.898,25013.407,37034.874,29277.957,53956.373,17855.712,22399.493,47338.296,31941.915,23462.266,66192.112,27795.217,13295.825,44599.822,22105.168,58024.91,19728.803,24222.655,9149.539,9810.111,19981.353,26110.127,20178.389,11392.722,33460.793,25535.599,41693.064,18809.536,34770.123,37702.099,40174.205,21837.271,24482.188,23015.526,18791.199,21334.485,16539.319,30203.109
"CerP 36:2; [M+H]+@5.84",3547.415,4373.681,3902.823,2792.508,2458.181,3097.813,1954.553,4659.234,5344.24,2375.305,2649.843,3802.507,5428.574,4145.532,2796.694,4187.14,2822.568,2412.308,2534.282,2480.325,1474.628,4822.54,2956.656,3822.383,2230.823,3961.804,9930.915,4978.892,8615.485,3631.288,6631.167,4690.95,2806.149,5000.75,6000.847,8370.005,4861.029,4193.142,4074.311,4464.275,2724.833,5167.594,7416.808,6102.497,5176.155,1669.583,6829.577,4257.693,2963.424,3627.459,2464.71,2426.768,3732.827,4208.4,2897.949
"DG 26:1; [M+NH4]+@3.34",1059.69187,1020.78887,673.72319,1346.38026,220.23269,1237.23159,2699.83396,1136.2435,4610.37804,395.66917,1089.73569,1262.72722,2378.10732,1597.74652,1132.49321,1847.8906,392.12832,1793.47407,541.93603,427.73468,959.90904,2224.93189,139.10127,1085.94995,466.35641,1038.91108,2598.5523,1858.00217,1125.75224,713.73128,4355.17667,2328.37588,4295.1353,1485.19502,3833.93521,1624.90752,2784.78098,8073.90745,6290.57219,1997.4818,855.56696,792.39229,2197.32387,897.28351,99.03333,1883.35405,3971.53419,2381.04517,1829.25868,2005.90376,2470.35999,2384.42441,1538.83623,2156.05785,1390.75255
"DG 26:2; [M+NH4]+@5.06",15795.94,4991.624,6652.257,20817.3,3713.678,6482.145,6986.477,15644.923,6806.123,11255.505,10355.747,6973.388,16406.658,48264.264,10306.286,12068.849,19909.566,4068.877,5092.834,3832.793,4486.945,4525.333,3004.834,5487.516,7903.249,3432.445,17463.241,35272.138,5911.769,3094.558,9817.775,7884.204,3666.951,3602.291,7920.65,5399.72,7646.782,6945.943,4206.296,18296.768,5352.395,4176.492,3569.187,4067.219,7882.501,5670.491,7984.039,11481.859,12773.554,11428.007,9375.359,12110.409,12678.378,10313.613,11224.969
"DG 28:2; [M+NH4]+@5.76",10583.475,7492.835,12970.009,33615.903,4847.55,10776.408,12025.222,19183.569,10300.663,15795.745,12318.813,11295.942,8576.113,30143.113,8812.887,14180.332,8696.545,5541.982,6707.755,7963.788,5159.961,5595.199,3770.139,7881.209,4911.002,19759.208,38098.102,41472.247,11395.526,5655.584,15430.435,12613.45,16894.858,8486.157,9159.157,11426.818,16115.167,4622.535,8756.343,18946.232,9829.962,5251.786,6847.408,10487.73,4982.45,5952.963,6261.582,16743.355,13121.249,15680.66,7926.407,11473.17,13638.002,9414.364,9075.234
"DG 30:0; [M+NH4]+@7.36",94870.71,56610.78,80936.99,67131.42,63119.16,81697.05,106494.07,58537.63,59572.92,153600.59,91617.66,76696.63,73156.56,70059.75,54511.08,89027.43,216920.58,51861.81,161497.29,86623.07,88950.23,45621.27,151199.83,127599.5,98662.62,25342.61,54958.54,71294.76,58503.53,28774.02,66101.29,71108.15,47805.45,88584.17,92079.27,149061.38,126785.36,26130.44,46695.59,30025.14,99346.6,34658.87,32535.24,23595.43,91559.98,38080.47,36344.08,44403.42,56361.57,60897.84,75839.81,62158.34,71215.87,76141.4,70999.32
