"Lipid","Adduct","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334","QC","QC.1","QC.2","QC.3","QC.4","QC.5","QC.6"
"CE 16:0"," [M+NH4]+@10.97",2711.87506641911,2954.96209743807,2366.94818681383,2412.99157743283,2990.93669150468,2549.09651182585,2038.85933672195,2651.01698708592,2150.65085523474,2668.93604567935,2366.94818681383,3488.07484525728,2775.60599579203,2668.93604567935,3234.7581157626,5597.29459016579,3263.31706892546,3340.27121100111,19058.258001601,5734.19565769063,8253.97862949947,9929.8943000495,3825.95664015282,5553.65304921028,9503.48399080236,3021.7095752333,3055.71176991106,2253.41289796525,2238.01365217653,3757.47925791549,2775.60599579203,2775.60599579203,11633.1525248554,3606.73631201073,3825.95664015282,4566.45164615393,6481.37711101783,2631.50820672498,2775.60599579203,3968.82427597725,2888.20130516259,3148.91292249763,3234.7581157626,4014.82300635148,5078.54572133119,3606.73631201073,4851.37058862409,4266.05355737087,4658.99882366799,5169.20242420531,3073.38796754991,3606.73631201073,3381.53356686189,3204.28483972103,3055.71176991106
"CE 16:2"," [M+NH4]+@10.09",254.771202212389,178.754791908948,229.267379420074,274.601658013218,1202.8325934515,411.857620228863,468.636942619916,528.195474843724,229.267379420074,556.009742992647,388.959228370039,440.860440874608,544.221336627261,178.754791908948,792.668621563319,411.857620228863,568.856072751554,2038.85933672195,3124.45974486288,2216.95286968574,1558.90651857971,274.601658013218,2133.5277537567,4606.09519097871,4431.89536826276,178.754791908948,178.754791908948,85.7070415368658,528.195474843724,85.7070415368658,440.860440874608,306.09485313677,492.551333941507,46.2231406157872,85.7070415368658,46.2231406157872,85.7070415368658,254.771202212389,178.754791908948,504.415032282568,85.7070415368658,440.860440874608,274.601658013218,306.09485313677,2723.50919798186,274.601658013218,504.415032282568,46.2231406157872,756.675442748719,568.856072751554,730.332756594138,625.945831006615,756.675442748719,440.860440874608,730.332756594138
"CE 18:1"," [M+NH4]+@10.91",35029.180799929,46168.3328830869,36831.9509883591,27466.5295318216,54129.4581072229,35029.180799929,30343.1142901674,35029.180799929,31780.529422496,54129.4581072229,49734.025777868,55951.1004690342,55951.1004690342,36018.5583491844,38237.6486797862,192407.087625631,32856.9614001071,41464.3178917538,223228.131089919,69043.8616110691,114985.666182594,130875.367426132,84833.5770545398,84833.5770545398,130875.367426132,34344.8502303868,40473.1871602372,18166.6226030207,37606.8448428336,36018.5583491844,41464.3178917538,30343.1142901674,142201.058983506,39263.3205847908,46168.3328830869,35029.180799929,54129.4581072229,46168.3328830869,27466.5295318216,40473.1871602372,30343.1142901674,36831.9509883591,36831.9509883591,57656.0640663599,47939.3302360704,62976.8967742018,69043.8616110691,49734.025777868,79213.7221080975,73104.0557603158,35029.180799929,55951.1004690342,49734.025777868,62976.8967742018,46168.3328830869
"CE 18:2"," [M+NH4]+@10.68",20110.2922438145,24440.1162705759,18520.3363245616,15576.6245390726,22368.5936166911,19282.3501521796,20110.2922438145,19282.3501521796,21955.3065881794,9632.81766929046,12185.5819323399,12617.9747302927,15763.3687217144,11883.0535993216,11970.1854289872,35356.0511854785,5256.26325178087,17931.284221945,17931.284221945,22368.5936166911,12371.1538903283,84833.5770545398,10234.0226500262,12859.732335181,18520.3363245616,29098.7429507766,36831.9509883591,30343.1142901674,31044.5978948227,37606.8448428336,28820.2915305852,18166.6226030207,88449.4122228755,10617.2889325545,20110.2922438145,10617.2889325545,17674.5104604884,31780.529422496,17931.284221945,28220.663034298,17289.7904010003,31044.5978948227,19058.258001601,45075.3780566745,10617.2889325545,36831.9509883591,49734.025777868,25140.6987545294,25840.7899752339,18520.3363245616,13439.3075427741,28220.663034298,21359.6461597065,23285.0086005339,16398.9150415773
"CE 22:6"," [M+NH4]+@10.50",6376.40094562033,4266.05355737087,7921.04733750395,3871.3772013047,5597.29459016579,4014.82300635148,2349.87217094041,5499.30928878379,4757.69518913288,2165.41334899486,3073.38796754991,2855.25124036555,3825.95664015282,1310.71857019807,1610.30246045259,7181.06267139208,2412.99157743283,5113.24138632024,4071.23124662213,6481.37711101783,5234.7527711077,6568.74646067273,3461.41157137891,4690.18976199036,8352.8966901949,7588.59786689119,3512.76359261794,9929.8943000495,4363.53746106577,4014.82300635148,4955.23892055682,2990.93669150468,6827.72317715027,2914.5716884683,2914.5716884683,1610.30246045259,1610.30246045259,2651.01698708592,3414.40905155836,3204.28483972103,2274.48627613108,5553.65304921028,3724.27361308008,7521.65635821746,4014.82300635148,6481.37711101783,6112.19420364619,4523.81938229584,3340.27121100111,3684.63961635496,3381.53356686189,2819.37281518542,3021.7095752333,2412.99157743283,4658.99882366799
"CerP 36:2"," [M+H]+@5.84",792.668621563319,926.677194824214,865.405251708266,528.195474843724,568.856072751554,756.675442748719,274.601658013218,698.43541324027,1066.27728321814,306.09485313677,468.636942619916,504.415032282568,792.668621563319,492.551333941507,504.415032282568,951.55816296729,528.195474843724,468.636942619916,528.195474843724,568.856072751554,411.857620228863,772.591738737534,680.550564802879,982.897086953587,504.415032282568,899.044413759908,1593.08427456051,680.550564802879,1448.70921663382,1610.30246045259,926.677194824214,816.88161587436,625.945831006615,865.405251708266,816.88161587436,1489.26020830246,816.88161587436,680.550564802879,504.415032282568,652.014498258233,625.945831006615,1310.71857019807,1470.78612428839,1409.42199173385,1214.09548181217,544.221336627261,1409.42199173385,671.690912655492,492.551333941507,544.221336627261,348.253380980336,348.253380980336,544.221336627261,671.690912655492,492.551333941507
"DG 26:1"," [M+NH4]+@3.34",306.09485313677,348.253380980336,274.601658013218,254.771202212389,46.2231406157872,306.09485313677,388.959228370039,85.7070415368658,865.405251708266,46.2231406157872,229.267379420074,229.267379420074,274.601658013218,274.601658013218,85.7070415368658,348.253380980336,46.2231406157872,348.253380980336,229.267379420074,178.754791908948,274.601658013218,440.860440874608,85.7070415368658,411.857620228863,178.754791908948,274.601658013218,388.959228370039,254.771202212389,178.754791908948,306.09485313677,608.179116249848,440.860440874608,926.677194824214,306.09485313677,556.009742992647,274.601658013218,492.551333941507,1099.35468823432,835.146637849803,274.601658013218,254.771202212389,254.771202212389,492.551333941507,229.267379420074,46.2231406157872,568.856072751554,865.405251708266,468.636942619916,306.09485313677,306.09485313677,388.959228370039,306.09485313677,274.601658013218,274.601658013218,46.2231406157872
"DG 26:2"," [M+NH4]+@5.06",2855.25124036555,1099.35468823432,1448.70921663382,2819.37281518542,982.897086953587,1422.03743606239,1129.8513077015,2463.72976106722,1310.71857019807,1610.30246045259,1517.57027202074,1160.54267482823,2178.01478957907,6944.29567652905,1578.23701615733,2194.55021318974,2990.93669150468,756.675442748719,982.897086953587,835.146637849803,967.493285690812,756.675442748719,698.43541324027,1202.8325934515,1640.88491618403,816.88161587436,2914.5716884683,5078.54572133119,1032.09039381935,1356.2504283063,1376.14463056216,1181.43716573132,816.88161587436,556.009742992647,982.897086953587,1008.0225270837,1310.71857019807,967.493285690812,556.009742992647,2954.96209743807,1310.71857019807,1066.27728321814,680.550564802879,835.146637849803,1784.75471519342,1356.2504283063,1558.90651857971,1659.52222452611,1823.57856873329,1711.36237044589,1295.87866096083,1841.90731019952,1861.51048336748,1659.52222452611,1535.07870355577
"DG 28:2"," [M+NH4]+@5.76",1925.48406474703,1535.07870355577,2253.41289796525,4658.99882366799,1236.73503590444,2082.10089015757,1897.22557948763,2775.60599579203,1992.79957348893,2194.55021318974,1823.57856873329,1659.52222452611,1310.71857019807,4363.53746106577,1356.2504283063,2549.09651182585,1310.71857019807,1032.09039381935,1295.87866096083,1535.07870355577,1066.27728321814,982.897086953587,951.55816296729,1744.8986397575,1066.27728321814,4431.89536826276,5234.7527711077,5734.19565769063,2121.38240169709,2194.55021318974,2082.10089015757,1841.90731019952,2723.50919798186,1470.78612428839,1181.43716573132,1992.79957348893,2412.99157743283,730.332756594138,1236.73503590444,3073.38796754991,1967.98764251771,1356.2504283063,1310.71857019807,2082.10089015757,1181.43716573132,1422.03743606239,1295.87866096083,2253.41289796525,1925.48406474703,2324.59129354116,1008.0225270837,1711.36237044589,1992.79957348893,1517.57027202074,1236.73503590444
"DG 30:0"," [M+NH4]+@7.36",16137.634013348,8651.41735427099,13573.8301418147,9632.81766929046,13013.8554366387,13265.0160448372,13933.4216065439,9116.96634196858,10617.2889325545,19565.0653679824,11883.0535993216,11389.5918535874,9929.8943000495,9929.8943000495,7830.0347096027,17289.7904010003,29098.7429507766,8461.29006782076,22368.5936166911,16398.9150415773,17289.7904010003,5256.26325178087,27466.5295318216,22806.8163709131,18166.6226030207,5677.53512080746,8031.41988129279,10617.2889325545,9315.48313178483,8253.97862949947,7717.57215669645,8352.8966901949,6212.89145658457,11883.0535993216,11389.5918535874,16398.9150415773,12859.732335181,3757.47925791549,6112.19420364619,4658.99882366799,11514.8733047935,5734.19565769063,4851.37058862409,4033.57837199241,17289.7904010003,7446.47496056903,5734.19565769063,4917.30150840707,8590.10472840768,9430.7525966114,10617.2889325545,9503.48399080236,10828.7381983571,12617.9747302927,10617.2889325545
