"Class","Carbon","Double_bond","Adduct","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334"
"CE","16","2"," [M+NH4]+@10.09",254.771202212389,178.754791908948,229.267379420074,274.601658013218,1202.8325934515,411.857620228863,468.636942619916,528.195474843724,229.267379420074,556.009742992647,388.959228370039,440.860440874608,544.221336627261,178.754791908948,792.668621563319,411.857620228863,568.856072751554,2038.85933672195,3124.45974486288,2216.95286968574,1558.90651857971,274.601658013218,2133.5277537567,4606.09519097871,4431.89536826276,178.754791908948,178.754791908948,85.7070415368658,528.195474843724,85.7070415368658,440.860440874608,306.09485313677,492.551333941507,46.2231406157872,85.7070415368658,46.2231406157872,85.7070415368658,254.771202212389,178.754791908948,504.415032282568,85.7070415368658,440.860440874608,274.601658013218,306.09485313677,2723.50919798186,274.601658013218,504.415032282568,46.2231406157872
"CE","22","6"," [M+NH4]+@10.50",6376.40094562033,4266.05355737087,7921.04733750395,3871.3772013047,5597.29459016579,4014.82300635148,2349.87217094041,5499.30928878379,4757.69518913288,2165.41334899486,3073.38796754991,2855.25124036555,3825.95664015282,1310.71857019807,1610.30246045259,7181.06267139208,2412.99157743283,5113.24138632024,4071.23124662213,6481.37711101783,5234.7527711077,6568.74646067273,3461.41157137891,4690.18976199036,8352.8966901949,7588.59786689119,3512.76359261794,9929.8943000495,4363.53746106577,4014.82300635148,4955.23892055682,2990.93669150468,6827.72317715027,2914.5716884683,2914.5716884683,1610.30246045259,1610.30246045259,2651.01698708592,3414.40905155836,3204.28483972103,2274.48627613108,5553.65304921028,3724.27361308008,7521.65635821746,4014.82300635148,6481.37711101783,6112.19420364619,4523.81938229584
"CE","16","0"," [M+NH4]+@10.97",2711.87506641911,2954.96209743807,2366.94818681383,2412.99157743283,2990.93669150468,2549.09651182585,2038.85933672195,2651.01698708592,2150.65085523474,2668.93604567935,2366.94818681383,3488.07484525728,2775.60599579203,2668.93604567935,3234.7581157626,5597.29459016579,3263.31706892546,3340.27121100111,19058.258001601,5734.19565769063,8253.97862949947,9929.8943000495,3825.95664015282,5553.65304921028,9503.48399080236,3021.7095752333,3055.71176991106,2253.41289796525,2238.01365217653,3757.47925791549,2775.60599579203,2775.60599579203,11633.1525248554,3606.73631201073,3825.95664015282,4566.45164615393,6481.37711101783,2631.50820672498,2775.60599579203,3968.82427597725,2888.20130516259,3148.91292249763,3234.7581157626,4014.82300635148,5078.54572133119,3606.73631201073,4851.37058862409,4266.05355737087
"CE","18","2"," [M+NH4]+@10.68",20110.2922438145,24440.1162705759,18520.3363245616,15576.6245390726,22368.5936166911,19282.3501521796,20110.2922438145,19282.3501521796,21955.3065881794,9632.81766929046,12185.5819323399,12617.9747302927,15763.3687217144,11883.0535993216,11970.1854289872,35356.0511854785,5256.26325178087,17931.284221945,17931.284221945,22368.5936166911,12371.1538903283,84833.5770545398,10234.0226500262,12859.732335181,18520.3363245616,29098.7429507766,36831.9509883591,30343.1142901674,31044.5978948227,37606.8448428336,28820.2915305852,18166.6226030207,88449.4122228755,10617.2889325545,20110.2922438145,10617.2889325545,17674.5104604884,31780.529422496,17931.284221945,28220.663034298,17289.7904010003,31044.5978948227,19058.258001601,45075.3780566745,10617.2889325545,36831.9509883591,49734.025777868,25140.6987545294
"CE","18","1"," [M+NH4]+@10.91",35029.180799929,46168.3328830869,36831.9509883591,27466.5295318216,54129.4581072229,35029.180799929,30343.1142901674,35029.180799929,31780.529422496,54129.4581072229,49734.025777868,55951.1004690342,55951.1004690342,36018.5583491844,38237.6486797862,192407.087625631,32856.9614001071,41464.3178917538,223228.131089919,69043.8616110691,114985.666182594,130875.367426132,84833.5770545398,84833.5770545398,130875.367426132,34344.8502303868,40473.1871602372,18166.6226030207,37606.8448428336,36018.5583491844,41464.3178917538,30343.1142901674,142201.058983506,39263.3205847908,46168.3328830869,35029.180799929,54129.4581072229,46168.3328830869,27466.5295318216,40473.1871602372,30343.1142901674,36831.9509883591,36831.9509883591,57656.0640663599,47939.3302360704,62976.8967742018,69043.8616110691,49734.025777868
"DG","42","9"," [M+NH4]+@7.29",7347.37161177832,20917.2201021667,9503.48399080236,7921.04733750395,11052.2513510666,5450.01206490267,10234.0226500262,10713.8014338532,3684.63961635496,33432.963019786,18166.6226030207,16638.9186889241,18166.6226030207,14953.6999839701,8590.10472840768,11286.2522497817,15576.6245390726,5499.30928878379,8031.41988129279,4809.58357481659,4431.89536826276,25140.6987545294,6944.29567652905,4033.57837199241,6271.41537921545,8352.8966901949,9503.48399080236,12859.732335181,23285.0086005339,10114.6473977691,12859.732335181,23994.8989578161,10828.7381983571,37606.8448428336,36018.5583491844,30343.1142901674,57656.0640663599,11514.8733047935,14781.3594675502,17674.5104604884,29098.7429507766,21359.6461597065,13265.0160448372,14136.5796460737,5597.29459016579,24440.1162705759,19565.0653679824,31780.529422496
"DG","35","3"," [M+NH4]+@7.41",65411.1871387707,57656.0640663599,60851.666002477,35356.0511854785,45075.3780566745,73104.0557603158,74711.6316580016,54129.4581072229,36018.5583491844,71392.0823432206,73104.0557603158,60851.666002477,69043.8616110691,41464.3178917538,40473.1871602372,32856.9614001071,45075.3780566745,45075.3780566745,35029.180799929,46168.3328830869,42603.1113185256,35356.0511854785,37606.8448428336,37606.8448428336,62976.8967742018,35029.180799929,35356.0511854785,40473.1871602372,39263.3205847908,34344.8502303868,71392.0823432206,88449.4122228755,41464.3178917538,62976.8967742018,79213.7221080975,57656.0640663599,112487.691855353,27466.5295318216,38237.6486797862,49734.025777868,59201.6588274221,33432.963019786,28220.663034298,24440.1162705759,49734.025777868,55951.1004690342,41464.3178917538,33432.963019786
"DG","40","3"," [M+NH4]+@8.64",19282.3501521796,16398.9150415773,31044.5978948227,13933.4216065439,9003.97914838529,20917.2201021667,60851.666002477,36018.5583491844,21359.6461597065,36018.5583491844,30343.1142901674,26954.2584921167,26384.9106305458,25140.6987545294,19282.3501521796,9315.48313178483,38237.6486797862,22368.5936166911,19565.0653679824,9235.46056029495,9430.7525966114,14953.6999839701,20110.2922438145,10234.0226500262,13265.0160448372,4917.30150840707,6986.65352454895,24440.1162705759,9116.96634196858,11389.5918535874,20489.9222612137,21359.6461597065,21359.6461597065,21955.3065881794,31780.529422496,22368.5936166911,33432.963019786,31044.5978948227,20110.2922438145,29098.7429507766,28220.663034298,10940.7823372663,10940.7823372663,9235.46056029495,15763.3687217144,22806.8163709131,16638.9186889241,35356.0511854785
"DG","44","10"," [M+NH4]+@7.52",11389.5918535874,28820.2915305852,12617.9747302927,9235.46056029495,15290.4228561396,10042.6537131761,12185.5819323399,14136.5796460737,11389.5918535874,23994.8989578161,16398.9150415773,18520.3363245616,21955.3065881794,19058.258001601,11883.0535993216,15576.6245390726,16923.0401716664,12185.5819323399,11746.80878921,11514.8733047935,10441.8264587194,29098.7429507766,12859.732335181,11286.2522497817,11286.2522497817,8098.19161660726,13573.8301418147,14953.6999839701,15763.3687217144,5894.31053216795,11970.1854289872,18520.3363245616,13265.0160448372,30343.1142901674,35356.0511854785,31780.529422496,35029.180799929,15576.6245390726,16398.9150415773,16398.9150415773,17931.284221945,23285.0086005339,20489.9222612137,20489.9222612137,13013.8554366387,21955.3065881794,22806.8163709131,28220.663034298
"DG","36","5"," [M+NH4]+@6.99",117680.956754378,62976.8967742018,149913.812541413,161088.750012994,137574.586366284,130875.367426132,130875.367426132,104304.520528438,88449.4122228755,130875.367426132,223228.131089919,106785.324186153,130875.367426132,120923.941238811,69043.8616110691,97796.0749756159,84833.5770545398,47939.3302360704,60851.666002477,51163.9308922764,57656.0640663599,46168.3328830869,51163.9308922764,45075.3780566745,65411.1871387707,155894.155542305,112487.691855353,147512.648350628,114985.666182594,114985.666182594,172072.500201358,208716.393441901,127606.714026263,161088.750012994,149913.812541413,127606.714026263,216947.980412317,67001.4355209511,59201.6588274221,127606.714026263,172072.500201358,84833.5770545398,40473.1871602372,51163.9308922764,51163.9308922764,67001.4355209511,62976.8967742018,88449.4122228755
