"Class","N","Ctrl.Sum","Ctrl.Mean","Ctrl.SD","Ctrl.SE","Case.Sum","Case.Mean","Case.SD","Case.SE","FC","log2FC"
"CE",5,63371.5600425699,12674.312008514,14965.260641341,6692.66801900812,62581.0411036814,12516.2082207363,14674.3792651896,6562.58191291546,0.987525651280204,-0.0181098717795202
"CerP",2,13162.6318311636,6581.31591558182,7376.79878779966,5216.18444630184,14190.1246227044,7095.06231135218,7756.4609641114,5484.64614573192,1.07806134857529,0.108439278987431
"CL",48,933117.973089094,19439.9577726895,28709.1126879499,4143.8034846458,869801.224137479,18120.8588361975,25682.0230769393,3706.88073420127,0.932144969041798,-0.101373751753052
"DG",29,324879.028258472,11202.7251123611,24640.0935853644,4575.55051104845,346997.809621168,11965.4417110748,24266.7356261402,4506.21967854922,1.06808313076183,0.0950239388517209
"lysoPC",14,138365.265549479,9883.23325353423,14781.4408655599,3950.50624298461,132068.282380137,9433.44874143835,14336.410141661,3831.56677902619,0.954490145020605,-0.067197792809013
"lysoPE",11,501512.347572109,45592.0315974644,91049.9426404509,27452.5906292506,484801.470805681,44072.8609823346,90174.0279181604,27188.4924035973,0.96667903223654,-0.0488911456889826
"MG",6,32252.5783856828,5375.42973094714,9989.22120016438,4078.08247803249,30956.0454214453,5159.34090357422,9881.06064084346,4033.9261145941,0.959800641401959,-0.0591933177291552
"PA",20,560420.093857937,28021.0046928968,38123.0542867406,8524.57408950668,679020.315392676,33951.0157696338,49762.2584053472,11127.1792508267,1.21162735389856,0.276946054134284
"PC",53,16909920.9746286,319055.112728841,1141289.43840651,156768.1608882,16547853.8430896,312223.657416785,1133720.11531118,155728.434399116,0.978588478794063,-0.0312257972834995
"PE",23,2170201.04659642,94356.5672433225,172410.106543136,35949.9923433599,2149724.2771767,93466.2729207261,169293.661889356,35300.1687124357,0.990564574903403,-0.0136770674190138
"PG",21,533156.9551944,25388.4264378286,45887.2609738945,10013.4212784316,543187.155431379,25866.0550205419,46953.126558097,10246.0122174915,1.01881284702236,0.0268890569298802
"PI",5,7336595.6536339,1467319.13072678,2902258.95339008,1297929.66161752,7434420.27959124,1486884.05591825,2891375.34668906,1293062.36473275,1.01333379002683,0.0191094731476715
"plasmenyl-PC",3,143874.491007574,47958.1636691915,81081.5094971914,46812.4313345047,122603.564391746,40867.8547972485,67927.2540498751,39217.8184110075,0.852156372774178,-0.230809902082191
"plasmenyl-PE",15,1084794.20115119,72319.6134100793,122567.760014908,31646.8595546458,1135240.38745288,75682.6924968583,119972.759583024,30976.8333242399,1.04650300144318,0.0655764493489775
"PS",5,4928841.54407959,985768.308815918,1623782.37217245,726177.552968693,5333224.5922739,1066644.91845478,1803953.06787722,806752.337598552,1.08204423789603,0.113759482980415
"SM",16,1665684.36584209,104105.272865131,230995.643413156,57748.9108532889,1619018.552031,101188.659501938,228028.398589091,57007.0996472727,0.971983999629186,-0.0409955298686734
"TG",54,13633217.2319235,252466.985776362,648909.029896772,88305.3340406403,13727877.5769785,254219.955129232,645620.131095721,87857.771602961,1.00694336072291,0.00998253587471576
