"Class","N","Ctrl.Sum","Ctrl.Mean","Ctrl.SD","Ctrl.SE","Case.Sum","Case.Mean","Case.SD","Case.SE","FC","log2FC"
"CE",5,84442.7498273774,16888.5499654755,22330.6565870303,9986.57322216062,126237.568973394,25247.5137946787,41921.3383754706,18747.7924630646,1.49494858032757,0.58009586289683
"CerP",2,18108.712038368,9054.35601918402,9834.74408131779,6954.21423113407,14181.0295915658,7090.51479578291,6954.64426376462,4917.67611964809,0.783105367268506,-0.352721658879884
"CL",48,928210.046858513,19337.7093095524,26058.9746813487,3761.28901177058,860096.653460628,17918.6802804297,23768.6130943116,3430.70379206622,0.926618556189504,-0.109952521242144
"DG",29,246227.909968509,8490.617585121,12231.3268007607,2271.3003666213,215520.091263905,7431.72728496225,10218.8745013383,1897.59735631487,0.875287010686437,-0.192171933943512
"lysoPC",14,119115.975305307,8508.2839503791,15794.2851225435,4221.2002569699,128636.59285325,9188.32806094646,16215.4852791241,4333.77073391135,1.07992729374495,0.110934186014211
"lysoPE",11,316803.164386926,28800.2876715387,56561.3053531339,17053.8752280969,305735.675547132,27794.1523224665,53380.0058431323,16094.6773353317,0.965065093774516,-0.0513018392439725
"MG",6,38544.6712024572,6424.11186707619,12574.0482361397,5133.3336966142,44548.6703158183,7424.77838596971,14411.2424093309,5883.36507706965,1.15576729353391,0.20885094951649
"PA",20,496229.999253903,24811.4999626952,29897.5331622357,6685.29165103132,523013.79005653,26150.6895028265,34263.6326514109,7661.58117646362,1.05397454979122,0.0758400307955344
"PC",53,15618563.2599835,294689.872829878,1109212.08755701,152361.997885534,15313411.2206581,288932.287182228,1091024.70472676,149863.768723219,0.980462220868466,-0.0284660532672537
"PE",23,2012750.29270311,87510.8822914397,154771.027257147,32271.9900615356,1881675.31046393,81811.9700201711,143565.306952035,29935.4358580277,0.934877673244232,-0.0971504911164359
"PG",21,473927.970845999,22567.9986117142,37422.4994716303,8166.25888205671,521541.165277672,24835.293584651,42455.261020151,9264.49748923573,1.10046504397426,0.13811331907232
"PI",5,5907386.95939884,1181477.39187977,2340053.75203837,1046503.85211225,8010889.81758907,1602177.96351781,3251231.76889694,1453995.04917209,1.35608008627969,0.439442382505778
"plasmenyl-PC",3,84446.7651608353,28148.9217202784,46659.2306069513,26938.7193511042,102550.932630915,34183.6442103049,57403.5144908974,33141.9345437502,1.21438556510245,0.280226547250336
"plasmenyl-PE",15,830249.681091758,55349.9787394505,93861.9900435082,24235.0616186929,833515.446655283,55567.6964436855,87710.733707247,22646.8140621201,1.00393347403546,0.00566367181954074
"PS",5,5149347.56036259,1029869.51207252,1816486.80503547,812357.595258143,6029954.94837318,1205990.98967464,1970114.89611164,881062.166238115,1.17101339105349,0.227757573786176
"SM",16,1376640.55565353,86040.0347283458,188896.456865903,47224.1142164756,1430910.40629792,89431.90039362,182143.573558594,45535.8933896485,1.03942194672496,0.0557814260166531
"TG",54,15355637.7255102,284363.661583523,692592.244044612,94249.8665399145,15033569.4243966,278399.433785122,703914.12520863,95790.5794165963,0.979026054998771,-0.0305808398415123
