"Class","N","Ctrl.Sum","Ctrl.Mean","Ctrl.SD","Ctrl.SE","Case.Sum","Case.Mean","Case.SD","Case.SE","FC","log2FC"
"CE",5,65256.3582448214,13051.2716489643,17572.1133138395,7858.48797561483,72913.3626961323,14582.6725392265,18479.090053348,8264.10030432527,1.1173372933651,0.160064761479659
"CerP",2,26034.13507527,13017.067537635,13148.4194726469,9297.33657099388,21319.7120820437,10659.8560410218,11232.1223724987,7942.30989671097,0.818913784552626,-0.288216522319809
"CL",48,849222.132563393,17692.1277617374,22889.0358387153,3303.74775074331,928547.878918515,19344.7474774691,27417.484655716,3957.37303662001,1.09340989043194,0.128834330597611
"DG",29,411409.003857367,14186.517374392,26279.0741607614,4879.90156326242,322721.496554476,11128.3274673957,18891.1433275673,3507.99724876376,0.78442983388463,-0.350283688909936
"lysoPC",14,79107.115487075,5650.50824907679,8113.60498432504,2168.45214449755,108856.110254873,7775.43644677667,12193.5491448101,3258.86308776213,1.37605965765063,0.46054301795498
"lysoPE",11,324505.93802342,29500.5398203109,60124.5896617822,18128.2458711103,320942.483946822,29176.5894497111,58621.3281565374,17674.9954734119,0.989018832449407,-0.0159301024947954
"MG",6,36105.5438003276,6017.59063338794,10914.3756180274,4455.77518754017,30721.6733298146,5120.27888830244,9131.69981587285,3728.00083885926,0.850885213077329,-0.232963573662056
"PA",20,624516.320073744,31225.8160036872,43754.2004082792,9783.73664140613,538441.332579297,26922.0666289648,38213.8414994301,8544.87472741281,0.862173357640544,-0.213950112971437
"PC",53,14304302.5008931,269892.500016851,1099743.74307585,151061.420747941,14247642.4367226,268823.442202313,1075948.57128805,147792.902531913,0.996038949528159,-0.00572593573414431
"PE",23,2134845.86042744,92819.3852359758,199007.756675374,41495.9857759785,2225094.68731449,96743.2472745428,195087.332671283,40678.5208619101,1.04227416534371,0.0597348217192174
"PG",21,434133.0545663,20673.0025983952,37312.8100395645,8142.32268561012,565682.124800033,26937.2440380968,52682.0727818039,11496.1707757043,1.30301555905516,0.381854310949568
"PI",5,7243421.95418793,1448684.39083759,2911774.84070763,1302185.29579918,7304311.95532105,1460862.39106421,2905597.54784005,1299422.72644541,1.00840624797481,0.0120769621174554
"plasmenyl-PC",3,70632.4601639971,23544.153387999,39065.727617414,22554.6083560026,70425.6487378646,23475.2162459549,38582.3476287214,22275.52878941,0.997072005907025,-0.00423039887589946
"plasmenyl-PE",15,1191292.71528266,79419.5143521772,155759.940281157,40217.0436476788,1060954.95202673,70730.3301351151,145624.670968479,37600.1283638569,0.890591320181953,-0.167164543730253
"PS",5,5225719.28348866,1045143.85669773,1814280.05315193,811370.705813929,5255358.58035851,1051071.7160717,1810882.07868254,809851.085434055,1.00567181190989,0.00815957693472047
"SM",16,2339920.83233555,146245.052020972,324214.738420043,81053.6846050107,1692952.18897805,105809.511811128,232726.16840072,58181.5421001801,0.723508319419617,-0.466918488888596
"TG",54,17141845.3382395,317441.580337768,709302.694314213,96523.8707917298,17081763.101547,316328.946324944,748562.971542812,101866.517812301,0.996494995987483,-0.00506553446143221
