"Class","N","Ctrl.Sum","Ctrl.Mean","Ctrl.SD","Ctrl.SE","Case.Sum","Case.Mean","Case.SD","Case.SE","FC","log2FC"
"CE",5,70230.6918286884,14046.1383657377,21676.826828465,9694.17166498779,67162.5027342691,13432.5005468538,19523.4163089463,8731.13720396639,0.956312702971751,-0.0644456552789738
"CerP",2,14665.5725617506,7332.78628087531,8543.64491158054,6041.26925302854,10377.3766286358,5188.68831431789,5203.68893456272,3679.5637328147,0.707601192175823,-0.498991616185306
"CL",48,889954.210827036,18540.7127255633,26714.8199165371,3855.95211754127,909750.040754366,18953.1258490493,26097.6351020918,3766.86916285133,1.02224364993895,0.0317391010349395
"DG",29,378382.975303615,13047.6888035729,22918.664327195,4255.88912280482,308532.473332132,10639.0508045563,20292.1415815276,3768.15609331838,0.815397344673251,-0.294424836163637
"lysoPC",14,157084.378327611,11220.3127376865,20250.8045977146,5412.25518651105,124615.671951931,8901.11942513791,15013.5989160085,4012.55309186747,0.793304040023863,-0.334054198733179
"lysoPE",11,493123.166600337,44829.3787818488,91867.6461569369,27699.1375159723,386507.041285492,35137.0037532265,71055.3795555168,21424.0030292672,0.783794125816736,-0.351453334254998
"MG",6,48506.7320998182,8084.4553499697,16382.9893169338,6688.32738132594,44317.557853952,7386.25964232533,14784.5485197772,6035.76665847908,0.913637260963166,-0.130306605405312
"PA",20,673985.190649563,33699.2595324781,47392.2091307471,10597.2201220237,506402.374900901,25320.1187450451,31584.0431216108,7062.40674242063,0.751355344192131,-0.412432721025086
"PC",53,16440182.8186352,310192.128653494,1137756.26473367,156282.842159971,16238647.9078983,306389.583167893,1147246.61364396,157586.441838359,0.987741321799148,-0.0177948290094805
"PE",23,1849837.49182291,80427.7170357787,136858.211796853,28536.9098417198,1876648.040156,81593.3930502611,143941.433457527,30013.8636559317,1.01449346142654,0.0207595667230479
"PG",21,423796.98116637,20180.80862697,30901.3247302701,6743.22188813684,542222.511122037,25820.1195772398,42064.4454524232,9179.21454057478,1.27943929574424,0.355511698915998
"PI",5,7346511.99294053,1469302.39858811,2900440.91962846,1297116.61220225,7332199.27963897,1466439.85592779,2902770.36338179,1298158.37111869,0.998051767516977,-0.00281344685679723
"plasmenyl-PC",3,194732.696243528,64910.8987478427,110415.392622902,63748.3566535106,137226.58439626,45742.1947987533,77208.5320039365,44576.3667362086,0.704692057591847,-0.504935140979893
"plasmenyl-PE",15,894201.651546166,59613.4434364111,87038.11218233,22473.1439311665,1013070.18032776,67538.012021851,110971.855972865,28652.8100053756,1.13293257575186,0.180062004562784
"PS",5,5252738.9312708,1050547.78625416,1808076.37776062,808596.337836869,4520982.88892839,904196.577785677,1432917.90584904,640820.368731021,0.860690574590315,-0.216433424905064
"SM",16,1460872.30789651,91304.5192435318,208065.150137824,52016.287534456,1365341.71351223,85333.8570945145,190499.148291536,47624.7870728841,0.934607156376432,-0.0975680107883715
"TG",54,15284120.3240811,283039.265260761,659720.691917353,89776.6148862988,15024907.2784645,278239.023675269,619476.858630689,84300.1228393009,0.983040368688531,-0.0246774326338939
