"Class","N","Ctrl.Sum","Ctrl.Mean","Ctrl.SD","Ctrl.SE","Case.Sum","Case.Mean","Case.SD","Case.SE","FC","log2FC"
"CE",5,78318.1600588082,15663.6320117616,16798.9580541146,7512.72243203358,74083.4101852193,14816.6820370439,17167.182482638,7677.39740266445,0.945928889667364,-0.0801963620418056
"CerP",2,11716.2321280808,5858.11606404041,3776.6391368447,2670.4871437574,26237.7234311278,13118.8617155639,14772.2225972323,10445.5387717001,2.23943356057641,1.16313386501086
"CL",48,908833.155598021,18934.0240749588,28350.9183041223,4092.10257866452,986320.717819347,20548.3482879031,29751.655605164,4294.28159311962,1.08526049225211,0.118041370572286
"DG",29,307982.949097186,10620.1016930064,23719.0983314345,4404.52598591047,334416.006145138,11531.5864187979,26269.6297376168,4878.14777791268,1.08582636514598,0.118793419743849
"lysoPC",14,133614.727040679,9543.90907433418,15020.354300874,4014.35854441622,84921.3240461122,6065.80886043659,9377.80573380778,2506.32400683092,0.635568592826285,-0.653880260467276
"lysoPE",11,313725.756711259,28520.5233373872,56316.5689206873,16980.0844172827,373210.958815718,33928.2689832471,68308.1823591242,20595.6919087626,1.18960892063194,0.250487371016085
"MG",6,57048.5182491139,9508.08637485232,19396.9583827627,7918.77509996156,24378.6215313827,4063.10358856378,6913.22213603876,2822.31111863476,0.427331371253649,-1.22657286284203
"PA",20,687052.37188947,34352.6185944735,48554.9012039916,10857.2059732912,498722.978340997,24936.1489170499,37959.9825309439,8488.11013638952,0.725887863496423,-0.462181399659329
"PC",53,14634581.395175,276124.177267453,1079024.96956095,148215.478333609,15289502.1651198,288481.172926789,1122659.27622756,154209.111304845,1.04475158887433,0.0631599527348654
"PE",23,1958320.64144638,85144.3757150602,162278.727227265,33837.453721721,2161856.4480256,93993.7586098088,193712.688485216,40391.8877349156,1.10393385141919,0.142653727289425
"PG",21,551461.792525622,26260.085358363,47123.329237788,10283.1534871662,485289.107284255,23109.0051087741,45406.1243337936,9908.42865591359,0.880004950228184,-0.184416455626558
"PI",5,6596380.28497032,1319276.05699406,2624440.64973755,1173685.53914537,7288680.01168247,1457736.00233649,2907611.86793661,1300323.55777828,1.10495145773956,0.143982991140071
"plasmenyl-PC",3,107935.97948099,35978.6598269967,59504.5335212272,34354.9584464836,98098.1949904702,32699.3983301567,54691.0495040627,31575.8921534337,0.908855373918642,-0.137877358147642
"plasmenyl-PE",15,1708227.30669755,113881.820446503,231111.96674841,59672.8532217222,1192282.29440315,79485.4862935431,146464.768687021,37817.0406620635,0.697964661803785,-0.518774100760508
"PS",5,5741638.14700876,1148327.62940175,1984103.54775279,887318.081434749,4991344.33253607,998268.866507214,1626235.15143412,727274.469201271,0.869324085694329,-0.202033978077656
"SM",16,2635915.77743068,164744.736089417,374936.945736037,93734.2364340091,3143844.08721581,196490.255450988,458863.87111558,114715.967778895,1.19269519691567,0.254225397532096
"TG",54,13617013.6574793,252166.91958295,666757.626290791,90734.2203623196,15470770.3704362,286495.747600671,679572.055019182,92478.0432361984,1.13613533477942,0.184134696802024
