"Class","N","Ctrl.Sum","Ctrl.Mean","Ctrl.SD","Ctrl.SE","Case.Sum","Case.Mean","Case.SD","Case.SE","FC","log2FC"
"CE",5,70004.5260424212,14000.9052084842,16092.1721610768,7196.63817155947,97608.0133585955,19521.6026717191,23873.8364066006,10676.7042177737,1.3943100378888,0.479551393624839
"CerP",2,23510.3936127392,11755.1968063696,12830.251905655,9072.3581268203,14776.3811312642,7388.1905656321,6065.75655277594,4289.1375914946,0.628504200085257,-0.670005709156575
"CL",48,987707.996579422,20577.249928738,30874.4094190616,4456.33714729148,866280.308370062,18047.5064243763,23985.2270265274,3461.96932008497,0.877061146988906,-0.189250666832578
"DG",29,225525.933052888,7776.75631216854,13052.778372602,2423.84009405044,274736.959811365,9473.68826935742,13649.6958827381,2534.68489295897,1.21820562315083,0.284757668927669
"lysoPC",14,75522.5306908988,5394.46647792134,7923.72050902193,2117.70338380815,107478.352275823,7677.02516255881,11726.0115152124,3133.90840023507,1.42312964479057,0.509067095017413
"lysoPE",11,282620.088804248,25692.7353458408,49867.3739510875,15035.5789705545,405223.725980171,36838.5205436519,73094.3674732087,22038.7810179083,1.43381076587532,0.519854629933705
"MG",6,26971.0365075306,4495.1727512551,7443.64900709989,3038.85698196156,43740.5925703643,7290.09876172738,13796.3016930063,5632.31658089351,1.6217616463554,0.697561799278015
"PA",20,565839.644562296,28291.9822281148,40308.0132349067,9013.14576312126,688317.002799399,34415.8501399699,47551.0565954058,10632.7394949267,1.21645241618205,0.282679887657494
"PC",53,14303685.4989368,269880.858470505,1090859.42282773,149841.065508359,13493328.8824826,254591.110990238,1059431.86053814,145524.157828727,0.943346306340809,-0.0841406074185671
"PE",23,2512293.93937851,109230.171277327,227541.180293138,47445.6158826788,2557130.07373091,111179.568423083,218214.103827704,45500.7859986233,1.01784669128466,0.0255202781331752
"PG",21,687046.989328237,32716.5233013446,65680.1835535402,14332.5910853663,592029.000067614,28191.8571460768,56947.5057879205,12426.964567242,0.861700886931289,-0.214740926069806
"PI",5,7263464.03084153,1452692.8061683,2910278.56586632,1301516.14134754,7212648.98426547,1442529.79685309,2915892.10567612,1304026.59266936,0.993004020346175,-0.0101285361249037
"plasmenyl-PC",3,45219.0774076324,15073.0258025441,23302.9402552368,13453.9588292707,101306.679322369,33768.8931074565,55664.2773623292,32137.7855193867,2.24035263720949,1.16372583402938
"plasmenyl-PE",15,1181007.57584258,78733.8383895054,160745.793361852,41504.3853775567,1182627.75352451,78841.8502349674,158023.637840121,40801.5278441266,1.00137186053254,0.00197782005042981
"PS",5,4956314.90730515,991262.981461029,1629161.09883435,728582.992658371,4847931.08731024,969586.217462049,1632146.00216942,729917.882011068,0.978132176421003,-0.0318986630611856
"SM",16,2252520.313221,140782.519576312,300584.088633996,75146.022158499,1919605.6033454,119975.350209088,250980.518915445,62745.1297288612,0.852203459422062,-0.230730186904528
"TG",54,17014589.1518553,315084.984293617,723327.564403319,98432.413871015,16792899.2427278,310979.61560607,738496.367851736,100496.626563081,0.986970598752108,-0.0189209865646681
