"Class","N","Ctrl.Sum","Ctrl.Mean","Ctrl.SD","Ctrl.SE","Case.Sum","Case.Mean","Case.SD","Case.SE","FC","log2FC"
"CE",9,4310443.40168928,478938.155743254,774513.306394543,258171.102131514,6305760.88303214,700640.098114682,1145674.54993378,381891.516644595,1.46290306945241,0.548834181060071
"CerP",3,73776.4251718182,24592.1417239394,18634.8360616234,10758.8276164828,60691.6482818182,20230.5494272727,16657.840917187,9617.40893765589,0.822642844790503,-0.281661882814304
"CL",25,1289672.90379909,51586.9161519636,129142.92914375,25828.5858287501,1257495.79045727,50299.8316182909,111816.268319518,22363.2536639035,0.975050174934256,-0.0364516347263267
"DG",12,306496.801254911,25541.4001045759,25348.4961284621,7317.48053165988,206079.723129821,17173.3102608185,16471.3760826616,4754.87670762412,0.672371529771453,-0.572669457057958
"lysoPC",17,14190846.5879936,834755.681646683,2529804.92462164,613567.818613104,14435991.2987107,849175.958747686,2537065.46960493,615328.759428729,1.01727484750096,0.0247095194665346
"lysoPE",8,114985.682004821,14373.2102506027,13087.9302867866,4627.2821287418,92495.4930327679,11561.936629096,10741.4022233918,3797.65917580631,0.804408787425286,-0.313999253043157
"MG",2,42844.9312580357,21422.4656290179,10374.2541211805,7335.70543883925,18492.02307375,9246.011536875,5216.0866263268,3688.33022473214,0.43160351833408,-1.21222146949044
"PA",9,303806.132264545,33756.2369182828,23818.6989228221,7939.56630760736,311750.996473636,34638.9996081818,21290.9384901031,7096.97949670105,1.02615109889281,0.0372431808214365
"PC",43,48386024.769411,1125256.3899863,5503733.15689193,839311.437918173,52314963.4982707,1216627.05809932,5580093.92316129,850956.345603751,1.08119986602709,0.112633238219
"PE",11,433528.114639553,39411.6467854139,42071.0443709156,12684.8971560655,514670.925806339,46788.2659823945,50642.1752082853,15269.1903393928,1.18716850978454,0.247524729399341
"PG",11,340139.50387,30921.7730790909,57288.8927898588,17273.2510944417,384625.625630909,34965.9659664463,72121.8817046994,21745.5655262623,1.13078787160785,0.177328314577235
"PI",7,9504264.53344727,1357752.07620675,2688595.4812216,1016193.57419491,9038869.18400364,1291267.02628623,2705777.51448468,1022687.77234242,0.951032997050343,-0.0724326971716204
"plasmenyl-PC",7,209102.699158036,29871.8141654337,41964.8515085798,15861.2229853509,176162.550717321,25166.078673903,33854.3509692313,12795.7419231549,0.842469042373198,-0.247304421334996
"plasmenyl-PE",12,1187394.51996652,98949.5433305432,109866.656598467,31715.7718810446,1446325.30232973,120527.108527478,131935.101781493,38086.383264553,1.21806634442823,0.284592714665349
"PS",3,11108.0339790909,3702.6779930303,4109.85587287538,2372.82639453517,16080.4908318182,5360.16361060605,6951.79850633917,4013.62273898696,1.44764508841863,0.53370794776709
"SM",15,1529790.23310973,101986.015540649,156304.575172049,40357.6677718248,1410320.14210402,94021.3428069345,153896.258083081,39735.842973294,0.921904266075188,-0.117311151206176
"TG",55,24899304.1847168,452714.621540305,925109.123563462,124741.688773995,20198354.701194,367242.812748982,661956.520764807,89258.1990512559,0.811201572194607,-0.301867646447533
