"Class","N","Ctrl.Sum","Ctrl.Mean","Ctrl.SD","Ctrl.SE","Case.Sum","Case.Mean","Case.SD","Case.SE","FC","log2FC"
"CE",9,7817664.52258929,868629.39139881,1421019.95657878,473673.318859595,6637820.79392768,737535.643769742,1107807.37113151,369269.123710503,0.849079769891324,-0.236027995501886
"CerP",3,68410.14631,22803.3821033333,12683.7791247747,7322.98329203043,56471.6533390909,18823.8844463636,10955.2585457819,6325.02147044916,0.825486516037988,-0.27668344535029
"CL",25,1108976.90462364,44359.0761849454,97323.3621859314,19464.6724371863,1109188.85570455,44367.5542281818,89450.1027706625,17890.0205541325,1.00019112307932,0.000275705972689696
"DG",12,153815.571259911,12817.9642716592,13717.4003509633,3959.87239260527,181228.796497143,15102.3997080952,21312.3100629763,6152.33397595606,1.17822139210412,0.236610652309713
"lysoPC",17,13413172.7879112,789010.163994779,2036853.12823145,494009.446562824,14618537.3694997,859913.962911749,2126957.9619706,515863.078732543,1.08986424022472,0.124148435779476
"lysoPE",8,117588.195538482,14698.5244423103,13387.2753010731,4733.11657349997,96720.928919375,12090.1161149219,9732.86015421593,3441.08570769322,0.822539443491349,-0.281843232373888
"MG",2,24339.9593355357,12169.9796677679,11080.3723678447,7835.006439375,24843.7800094643,12421.8900047321,13637.6819447073,9643.29738276786,1.02069932274673,0.0295579401940406
"PA",9,370907.928945455,41211.9921050505,28292.277013967,9430.75900465568,372330.974377273,41370.1082641414,28535.7324842087,9511.91082806958,1.00383665411485,0.00552453077198741
"PC",43,54897017.0346942,1276674.81476033,5651309.79086412,861816.663613429,56134349.3798227,1305449.98557727,5657545.12962231,862767.543859593,1.02253915443796,0.0321560870124663
"PE",11,271847.701540625,24713.4274127841,24363.3618639838,7345.82999404437,276635.238263304,25148.6580239367,27015.1918785905,8145.38682734011,1.01761109877165,0.0251863108523413
"PG",11,392096.238712727,35645.1126102479,75261.4403436276,22692.1780728663,448045.860168182,40731.4418334711,96048.680112341,28959.7666855914,1.1426935938971,0.192438605804016
"PI",7,8971061.37302273,1281580.1961461,2710019.13259798,1024290.95329732,8735895.50928455,1247985.07275494,2720961.95850902,1028426.95272602,0.973786171562112,-0.0383230814033626
"plasmenyl-PC",7,164177.525304107,23453.932186301,27996.7599625487,10581.7806252105,177656.893277857,25379.556182551,33109.1284181812,12514.0742743727,1.0821023946413,0.11383702157854
"plasmenyl-PE",12,1514089.11805536,126174.09317128,164336.25506289,47439.7905490873,1626822.40602223,135568.533835186,154139.589614621,44496.2667783899,1.07445617739573,0.103606642427738
"PS",3,11604.9671427273,3868.32238090909,3850.11711836591,2222.86615470014,9566.52119636363,3188.84039878788,3353.06353605542,1935.89213515152,0.824347116084588,-0.278676139512526
"SM",15,1782960.45816964,118864.030544643,182223.258334223,47049.8429880065,1458995.10316009,97266.3402106726,156459.155217279,40397.5801678803,0.81829919248903,-0.289299666634449
"TG",55,18568868.9171352,337615.798493367,621472.75844383,83799.3696534964,19086589.2714962,347028.895845385,713333.860616268,96185.9181435723,1.02788109263258,0.0396733802989423
