"Class","N","Ctrl.Sum","Ctrl.Mean","Ctrl.SD","Ctrl.SE","Case.Sum","Case.Mean","Case.SD","Case.SE","FC","log2FC"
"CE",9,9785076.1482125,1087230.68313472,1813473.50416547,604491.168055157,8497445.97739107,944160.664154564,1596793.77393939,532264.591313129,0.868408773593791,-0.203553793213079
"CerP",3,91920.7791163637,30640.2597054546,20256.0527954431,11694.8375341683,72929.40255,24309.80085,16223.4016814452,9366.5853279538,0.793394086201964,-0.333890450919289
"CL",25,1151177.13703546,46047.0854814182,102846.609237653,20569.3218475306,1179982.87532273,47199.3150129091,93896.2297283674,18779.2459456735,1.02502285474628,0.035656077595619
"DG",12,169640.564087232,14136.713673936,11854.2888656868,3422.03843382792,221255.074481339,18437.9228734449,14903.3717289093,4302.23283975943,1.30425806865135,0.383229358469957
"lysoPC",17,13344730.9454699,784984.173262936,2092063.86034808,507400.015985445,9805246.37165902,576779.198332883,1395128.0332506,338368.249550145,0.734765385059155,-0.444644432482456
"lysoPE",8,105278.788387411,13159.8485484263,12609.6992856712,4458.20193681062,82834.2003170535,10354.2750396317,8375.01459372454,2961.01480587946,0.786808070133137,-0.34591633976031
"MG",2,16939.5556991964,8469.77784959819,5314.11846942474,3757.64920575891,16281.9474621428,8140.97373107142,2240.43004739303,1584.22327928571,0.961179133105319,-0.057122766532206
"PA",9,291882.508335455,32431.3898150505,19946.1315126967,6648.71050423223,350861.847993636,38984.6497770707,23920.7617018994,7973.58723396647,1.20206534469821,0.265515323594578
"PC",43,54666716.9167314,1271318.99806352,5641182.78550073,860272.309773761,53277034.8108225,1239000.80955401,5640082.89675626,860104.578312706,0.974579009234711,-0.037148945206621
"PE",11,430448.410499643,39131.6736817857,45792.8062552069,13807.0505859965,469417.515904196,42674.3196276542,52361.025075076,15787.4430738562,1.09053141899007,0.125031335653302
"PG",11,397650.909005455,36150.0826368595,77778.7365056712,23451.1714233845,382494.146143636,34772.1951039669,76315.2988456618,23009.9283668093,0.961884249429415,-0.0560648004985851
"PI",7,9367711.96265727,1338244.5660939,2690708.47127128,1016992.20936551,8610319.56890364,1230045.65270052,2722267.42312622,1028920.37197209,0.919148624896576,-0.121629932976331
"plasmenyl-PC",7,210998.860071696,30142.6942959566,47243.5570153203,17856.3861303769,184867.963972054,26409.7091388648,38881.6250691059,14695.872928987,0.876156221456535,-0.190739964985059
"plasmenyl-PE",12,1445795.75476286,120482.979563571,138679.940089143,40033.450370834,1533332.81298982,127777.734415818,125317.276191378,36175.9815716015,1.06054593668476,0.084807111384265
"PS",3,13256.7882163637,4418.92940545455,5178.67697029928,2989.9105428484,10376.8180127273,3458.93933757576,4111.69553496772,2373.88852393939,0.782755056757905,-0.353367171388012
"SM",15,3376081.19513447,225072.079675631,501453.320869936,129474.690708644,2195202.67945223,146346.845296816,285990.697344831,73842.4805324516,0.650222122209594,-0.620995453871178
"TG",55,13883865.9898943,252433.927088987,414768.306978985,55927.3471038687,17133716.6615054,311522.121118279,553311.481943815,74608.5050051705,1.23407390088442,0.303428790959869
