"Class","N","Ctrl.Sum","Ctrl.Mean","Ctrl.SD","Ctrl.SE","Case.Sum","Case.Mean","Case.SD","Case.SE","FC","log2FC"
"CE",9,7880094.77482589,875566.086091766,1420212.30416615,473404.101388717,5536214.808375,615134.978708334,946343.439144223,315447.813048074,0.702556881176258,-0.509313059776129
"CerP",3,69929.6430118182,23309.8810039394,17103.7537875422,9874.85685339059,52801.7462745454,17600.5820915151,9277.02404484901,5356.09232957221,0.755069581373694,-0.405318496704897
"CL",25,1034728.48194818,41389.1392779273,85591.2980632145,17118.2596126429,1193126.86246636,47725.0744986545,106770.184706452,21354.0369412904,1.15308207252588,0.205495202852752
"DG",12,178629.250828839,14885.7709024033,14493.9884276928,4184.05406017987,252231.128091964,21019.2606743304,21141.8430457338,6103.12438680962,1.41203709315027,0.497777987618334
"lysoPC",17,15551139.5937475,914772.917279262,2557916.20938633,620385.806634082,12764164.1364374,750833.184496318,1999686.23952302,484995.15197927,0.820786416293853,-0.284921239804551
"lysoPE",8,134676.44285375,16834.5553567188,15972.1950710547,5647.02372258858,94381.1563403572,11797.6445425447,10693.8615538588,3780.85101090185,0.700799296004938,-0.512926769221529
"MG",2,22727.8673944643,11363.9336972321,7359.19203507218,5203.73459205356,34233.2087323214,17116.6043661607,14080.7187150762,9956.57168741073,1.50622177339258,0.590934205479955
"PA",9,302655.923600909,33628.4359556566,22953.9622370981,7651.32074569936,380112.474160909,42234.7193512121,25287.0784686899,8429.02615622998,1.2559227972096,0.328747783094108
"PC",43,55100585.3893486,1281408.96254299,5579445.62767598,850857.481469089,56158990.3633856,1306023.03170664,5662219.50724213,863480.37976381,1.0192085976321,0.0274493527508787
"PE",11,483949.802689642,43995.4366081493,47549.4658398431,14336.7033793255,362049.521439285,32913.5928581169,33358.9291135982,10058.0955707153,0.748113790783935,-0.418670369007102
"PG",11,361875.283476364,32897.7530433058,65045.8844407633,19612.0720769844,339808.061597273,30891.6419633884,63864.0936551327,19255.7487481993,0.939019814597168,-0.0907724938565949
"PI",7,9264456.91310364,1323493.84472909,2697356.06789051,1019504.76471848,9299493.43718909,1328499.06245558,2700265.99327737,1020604.61313382,1.00378182168843,0.0054457244941489
"plasmenyl-PC",7,217380.445531697,31054.3493616709,41514.8145616285,15691.1250078617,179500.275293929,25642.8964705612,36829.5395107412,13920.2574923498,0.825742512648202,-0.276236111834972
"plasmenyl-PE",12,1790619.24630321,149218.270525268,179658.458105154,51862.9295746018,1453391.9481817,121115.995681808,132251.035817071,38177.5855647965,0.811670013701833,-0.301034779245883
"PS",3,12031.9242727273,4010.64142424242,5070.05234847882,2927.19608819974,11289.2890772727,3763.09635909091,4491.84968861969,2593.37062688391,0.93827793637815,-0.091912754193753
"SM",15,2287126.42506857,152475.095004572,295488.849600087,76294.8928994083,1226444.1568417,81762.9437894464,132898.577684137,34314.2652070209,0.536238024885277,-0.899054569769874
"TG",55,11843620.8765972,215338.561392677,339728.978362565,45809.0460973638,20839435.738562,378898.831610217,765981.460429701,103284.91905422,1.75954937731419,0.815206000252264
