"Class","N","Ctrl.Sum","Ctrl.Mean","Ctrl.SD","Ctrl.SE","Case.Sum","Case.Mean","Case.SD","Case.SE","FC","log2FC"
"CE",9,7049720.39748572,783302.266387302,1428212.54542366,476070.848474552,8644103.11625893,960455.901806548,1641483.33448268,547161.111494227,1.22616254672197,0.294150243144005
"CerP",3,85382.2426809091,28460.747560303,18447.1583312698,10650.4718283423,93046.6568800001,31015.5522933334,23169.0715216994,13376.6696799268,1.08976590399171,0.124018258468269
"CL",25,1079262.25321,43170.4901284,91153.6134374916,18230.7226874983,989227.372132728,39569.0948853091,68434.7770933428,13686.9554186686,0.916577383477013,-0.125671407198384
"DG",12,234639.434050804,19553.2861709003,15466.7917200984,4464.87818154935,214409.311274732,17867.4426062277,14311.0111423166,4131.23306769612,0.913782085019472,-0.130077936546431
"lysoPC",17,10740896.8251629,631817.460303697,1663927.96048955,403561.807912763,8383686.4968158,493158.029224459,1244330.74853136,301794.535846982,0.780538779329415,-0.35745778381625
"lysoPE",8,87244.3027274106,10905.5378409263,9125.20991929332,3226.24890684153,80698.7224774106,10087.3403096763,7993.73457173771,2826.21196134054,0.924974123863982,-0.112515088064119
"MG",2,27359.2370294642,13679.6185147321,2615.9256012119,1849.73873169643,19198.1527347321,9599.07636736607,3607.69410313967,2551.02496477678,0.701706436990801,-0.51106049808494
"PA",9,303080.579845455,33675.6199828283,21304.5655867589,7101.52186225297,275244.270002727,30582.6966669697,18450.1520337583,6150.05067791942,0.908155415774506,-0.138988882855205
"PC",43,51266400.986712,1192241.88341191,5643156.7922172,860573.342975851,50112267.9267767,1165401.57969248,5597224.30857536,853568.704888644,0.97748753496009,-0.0328497897726663
"PE",11,532481.447072767,48407.4042793425,61707.5609971571,18605.5296868672,594592.974591339,54053.9067810308,73937.5132874304,22292.9990460294,1.11664543029625,0.159171157926011
"PG",11,498051.858842727,45277.4417129752,99384.8849679639,29965.6702973972,429257.872649091,39023.4429680992,83891.7772301573,25294.322551683,0.861873849133931,-0.214451374700052
"PI",7,9972604.41891727,1424657.77413104,2668393.77742528,1008558.04786565,9779825.41314091,1397117.91616299,2672714.62476798,1010191.17465448,0.980669141411979,-0.0281616134435546
"plasmenyl-PC",7,246709.074167411,35244.1534524873,54591.2195791821,20633.5415391766,253305.153391875,36186.4504845536,61317.2598266315,23175.7457967426,1.02673626516059,0.0380656482497809
"plasmenyl-PE",12,1893352.71891875,157779.393243229,166993.574546654,48206.8926087243,1631975.45145661,135997.954288051,141105.600574889,40733.6782380381,0.861950039815397,-0.21432384436579
"PS",3,17073.8553145455,5691.28510484848,6222.37007843778,3592.48703978353,14663.7090881818,4887.90302939393,5437.8068521698,3139.51924990143,0.858839952549533,-0.219538789107079
"SM",15,2341945.39074545,156129.692716363,328137.077832619,84724.6291812601,2638033.32899482,175868.888599655,365393.826075351,94344.280213123,1.12642819914564,0.17175535614958
"TG",55,18416860.2326319,334852.004229671,592217.936817727,79854.6503101554,17292188.3377571,314403.424322857,555612.554834203,74918.7816104141,0.938932484654361,-0.0909066724249748
