"Class","N","Ctrl.Sum","Ctrl.Mean","Ctrl.SD","Ctrl.SE","Case.Sum","Case.Mean","Case.SD","Case.SE","FC","log2FC"
"CE",9,8426721.06053215,936302.340059127,1654062.71247409,551354.237491362,8037024.12907143,893002.681007937,1543413.07105706,514471.023685687,0.953754618354947,-0.0683099569777857
"CerP",3,98821.6540554545,32940.5513518182,21755.2597576132,12560.4050773482,82381.7443609091,27460.5814536364,16358.3392154563,9444.49154953892,0.833640613975961,-0.262502529177873
"CL",25,1149013.88908455,45960.5555633818,94077.180577091,18815.4361154182,1016011.51492727,40640.4605970909,75993.2029085677,15198.6405817135,0.884246504397575,-0.177479484210533
"DG",12,173535.410060982,14461.2841717485,10718.4489448194,3094.14969179337,179746.506048482,14978.8755040402,11287.5112141476,3258.42381898452,1.03579151935226,0.0507336514183119
"lysoPC",17,12226731.9691335,719219.527596087,1856896.13474702,450363.464668419,10471117.9240266,615948.113178036,1487429.26880674,360754.587407378,0.856411831915598,-0.223623367206863
"lysoPE",8,99131.4962110714,12391.4370263839,10454.3280863585,3696.16314130654,101080.313988571,12635.0392485714,10210.5153529878,3609.9623227535,1.01965891620712,0.0280866402461799
"MG",2,17393.0319079465,8696.51595397323,4728.88613703339,3343.82745495537,22011.3603109821,11005.6801554911,4100.6525745059,2899.5992427232,1.26552750707745,0.339738865720385
"PA",9,327119.472364546,36346.6080405051,24773.4088817289,8257.80296057631,353310.852741818,39256.7614157576,25403.315366452,8467.77178881734,1.08006671136986,0.111120424601798
"PC",43,51458686.2875609,1196713.63459444,5641510.6998973,860322.31625043,51017470.4384629,1186452.80089449,5641747.46397262,860358.422433422,0.991425823686358,-0.0124232576858993
"PE",11,396110.164257232,36010.0149324756,44460.9781776399,13405.4893115828,352408.59406,32037.1449145454,38334.4420911639,11558.2691785452,0.889673191600172,-0.168652614363019
"PG",11,484377.980756364,44034.3618869422,84620.4629710024,25514.0295691798,434905.611247272,39536.873749752,83108.6500176258,25058.2008128571,0.897864123732793,-0.155430960443053
"PI",7,9152061.33845728,1307437.33406533,2699151.25099487,1020183.28015447,9440622.60723909,1348660.37246273,2688231.59116568,1016056.03668169,1.03152964759636,0.0447852868817565
"plasmenyl-PC",7,156465.000521161,22352.1429315944,31754.9068268151,12002.2266242543,166429.763116161,23775.6804451658,30938.8364867626,11693.7810282379,1.0636868472937,0.0890734794545378
"plasmenyl-PE",12,1529162.04720071,127430.17060006,151529.529803824,43742.8074112075,1415509.25618732,117959.104682277,127151.580657803,36705.4996603345,0.925676424404172,-0.111420115751673
"PS",3,9559.18264909091,3186.39421636364,3495.23836749314,2017.97681235407,9926.66533818182,3308.88844606061,2854.06395859561,1647.79459477958,1.03844289858044,0.0544218881134996
"SM",15,2502139.65245991,166809.310163994,329678.377801121,85122.5911218945,2062339.54966777,137489.303311185,265949.792411271,68667.9411290782,0.824230393231742,-0.278880431370554
"TG",55,18008645.7860686,327429.923383065,478631.049305173,64538.597522437,19286780.894073,350668.743528601,536292.068992443,72313.6078309665,1.07097341594631,0.0989226694827363
