"Class","N","Ctrl.Sum","Ctrl.Mean","Ctrl.SD","Ctrl.SE","Case.Sum","Case.Mean","Case.SD","Case.SE","FC","log2FC"
"CE",1,1,1,NA,NA,1,1,NA,NA,1,0
"CerP",1,1,1,NA,NA,1,1,NA,NA,1,0
"CL",22,661808.206054786,30082.1911843084,43065.5698733754,9181.61034726622,740597.948559089,33663.5431163222,47939.5183666138,10220.739657505,1.11905222960892,0.162277372899929
"DG",28,5749237.99836548,205329.928513053,693295.581494753,131020.549549645,6939190.62863533,247828.236736976,863884.691615461,163258.861103588,1.20697571236539,0.271396645436301
"lysoPC",13,1971445.53808036,151649.656775412,234092.585466538,64925.6015465798,1972418.04141855,151724.464724504,223930.170457068,62107.0547466422,1.00049329454931,0.000711498125336233
"lysoPE",10,811247.371556283,81124.7371556283,211895.848789415,67007.3508909185,813539.407487777,81353.9407487777,212278.66057209,67128.4066057587,1.00282532309115,0.00407033231436048
"MG",5,704926.348710529,140985.269742106,296718.235115273,132696.428776303,708630.029595683,141726.005919137,296295.640743024,132507.438827651,1.00525399694866,0.0075600723894984
"PA",12,305739.684250839,25478.3070209032,33090.5840274911,9552.42879795696,339017.667583222,28251.4722986018,37064.672126665,10699.6492148776,1.10884417380729,0.149056637392308
"PC",35,5821099.40378787,166317.125822511,506223.355265593,85567.3645091323,6257882.05464516,178796.630132719,558028.860922143,94324.0932139314,1.07503439136825,0.104382813733597
"PE",23,2142998.97486741,93173.8684724961,131554.89829361,27431.0925340301,2335721.15221355,101553.093574502,137746.758248254,28722.1845843963,1.08993106371321,0.124236889879102
"PG",10,139815.163507919,13981.5163507919,12018.7420889221,3800.65996111238,150978.562092217,15097.8562092217,17481.009751719,5527.98066150466,1.07984397617692,0.11082287622512
"PI",10,483366.922395299,48336.6922395299,65455.2799679751,20698.7769582794,256999.362870567,25699.9362870567,29800.3537214443,9423.69928384389,0.531685870429488,-0.911353967628103
"plasmenyl-PC",2,2213.85929876169,1106.92964938085,579.336741312802,409.652938372799,2213.67499355385,1106.83749677693,753.788683292207,533.009089537598,0.999916749358036,-0.000120110288010654
"plasmenyl-PE",13,2309931.13408447,177687.01031419,458230.24177093,127090.202513335,2478373.83659148,190644.141276267,488850.61762009,135582.766759344,1.07292109276399,0.101543977991842
"PS",20,765013.085674547,38250.6542837273,40422.2005290637,9038.67881831143,614033.620925675,30701.6810462838,26736.6261802711,5978.49136280868,0.802644598404815,-0.317166774167076
"SM",11,2858148.40964997,259831.673604542,542441.366469269,163552.225758749,3373186.31230238,306653.301118398,626914.878035574,189021.947812311,1.180199845786,0.239031174936601
"TG",35,17196054.3066662,491315.837333319,1216880.38351699,205690.326725011,16277617.1057875,465074.774451072,1197684.38340515,202445.610491353,0.946590236079761,-0.0791880538928076
