"Class","N","Ctrl.Sum","Ctrl.Mean","Ctrl.SD","Ctrl.SE","Case.Sum","Case.Mean","Case.SD","Case.SE","FC","log2FC"
"CE",1,1,1,NA,NA,1,1,NA,NA,1,0
"CerP",1,1,1,NA,NA,1,1,NA,NA,1,0
"CL",22,897064.127317086,40775.6421507766,68118.7517242693,14522.9666648642,670346.454502188,30470.2933864631,42587.0456215181,9079.58863397673,0.747267039321973,-0.420304206008362
"DG",28,5655449.90052772,201980.353590276,664655.252466265,125608.036115613,7658897.30354467,273532.046555167,989099.473730983,186922.230671217,1.35425075604153,0.437494896226772
"lysoPC",13,1918886.82614938,147606.678934568,236757.718448702,65664.7764406663,982437.154504661,75572.0888080508,110031.084701061,30517.1321372767,0.511982854390695,-0.965832597747436
"lysoPE",10,625811.362711401,62581.1362711401,159536.055713132,50449.7304973016,357753.453422522,35775.3453422522,89841.6539120427,28410.4255118632,0.571663403285797,-0.806762160025989
"MG",5,797809.73091393,159561.946182786,338153.509776323,151226.846938,926443.100249482,185288.620049896,391631.805010375,175143.067630828,1.16123314162663,0.215657652221966
"PA",12,231684.481246295,19307.0401038579,24221.3557904889,6992.10314288822,221600.785487775,18466.7321239813,19102.2347434629,5514.34018563087,0.956476602557598,-0.0641984172589794
"PC",35,5926206.80721298,169320.194491799,437240.074006441,73907.061776871,4978048.2914569,142229.951184483,340394.890854541,57537.2380587128,0.840005833984388,-0.251528747197014
"PE",23,2515408.05519534,109365.567617189,149050.477802074,31079.1730438264,2101523.81239519,91370.6005389214,128624.238457713,26820.0077155476,0.835460396993916,-0.259356652495138
"PG",10,139008.439580533,13900.8439580533,15144.2699331683,4789.03864892179,133716.195679174,13371.6195679174,16153.7013897359,5108.24890337928,0.961928614425653,-0.055998260596211
"PI",10,286867.25250049,28686.725250049,32070.7263246237,10141.6541401731,281764.665740582,28176.4665740582,28205.2937507561,8919.29703265028,0.982212724821565,-0.0258925817432142
"plasmenyl-PC",2,1552.9899015516,776.494950775799,425.868385906282,301.134423567301,981.769345320038,490.884672660019,198.437483565689,140.316490270893,0.632180121930702,-0.661592422572609
"plasmenyl-PE",13,3512491.45090909,270191.65006993,748651.866813978,207638.668713049,2671553.44435079,205504.111103907,575171.708536167,159523.929794106,0.760586461686435,-0.39481583542408
"PS",20,543866.426101378,27193.3213050689,24434.6588491516,5463.75581937199,632936.842350033,31646.8421175017,24713.6097700146,5526.13114151556,1.16377259557488,0.218809179133033
"SM",11,2891681.41187136,262880.128351942,548299.597637221,165318.548915045,3328451.69757329,302586.517961208,641621.547982236,193456.17564219,1.15104370900225,0.202942618494907
"TG",35,17173376.188792,490667.891108343,1312475.90002683,221848.918227263,18156620.7042646,518760.591550417,1197974.41708832,202494.635131622,1.05725400204733,0.0803220214430008
