"Class","N","Ctrl.Sum","Ctrl.Mean","Ctrl.SD","Ctrl.SE","Case.Sum","Case.Mean","Case.SD","Case.SE","FC","log2FC"
"CE",1,1,1,NA,NA,1,1,NA,NA,1,0
"CerP",1,1,1,NA,NA,1,1,NA,NA,1,0
"CL",22,713504.349183383,32432.015871972,45840.9790885958,9773.32958013119,646623.904819417,29391.9956736099,38736.6932592907,8258.69075212832,0.906264839954357,-0.141995380758477
"DG",28,8755690.64243127,312703.237229688,1085817.21027665,205200.164833281,8239701.16612442,294275.041647301,1077954.15962872,203714.187936087,0.941068101035195,-0.0876289665448784
"lysoPC",13,1461083.43632734,112391.033563641,170668.054045886,47334.8015343156,1245337.68349301,95795.2064225389,139101.935459443,38579.935447331,0.852338513003308,-0.230501572842243
"lysoPE",10,365021.020519512,36502.1020519512,86904.3050014553,27481.5542278561,298839.21798127,29883.921798127,67739.0265644562,21420.9610426332,0.818690434747977,-0.288610055328274
"MG",5,965306.017033015,193061.203406603,413148.058222052,184765.42859131,1017335.67498113,203467.134996225,434813.779190191,194454.63356457,1.05389965154059,0.0757375053841629
"PA",12,406112.233807829,33842.6861506524,52289.2577532083,15094.6085197703,360310.696761344,30025.8913967786,43688.0841722863,12611.6635786243,0.88721950920553,-0.172637005396963
"PC",35,6333954.13446842,180970.118127669,525919.623012632,88896.6414068687,4963917.8774012,141826.225068606,361877.827242492,61168.5170771806,0.783699687749287,-0.351627172684938
"PE",23,2259260.35757817,98228.7111990509,140665.162667146,29330.7139717831,2034201.39539964,88443.5389304192,140916.039126225,29383.0253296487,0.900383786479668,-0.151388016966889
"PG",10,129687.807135734,12968.7807135734,14656.5881283548,4634.82012125855,141076.859207414,14107.6859207414,14063.410301237,4447.24082213836,1.08781898871773,0.121438514488032
"PI",10,286647.214421481,28664.7214421481,32345.798047622,10228.6394566313,552810.186484177,55281.0186484177,79276.2200276368,25069.3419575989,1.92853849146894,0.947507940831689
"plasmenyl-PC",2,1130.01323527516,565.006617637581,303.261743422428,214.438435248454,868.722943354346,434.361471677173,230.625223080783,163.076659153082,0.768772361451864,-0.379371624947774
"plasmenyl-PE",13,2845094.39177053,218853.414751579,571825.093358543,158595.745746247,2606843.19405956,200526.399543043,542408.779876729,150437.128315954,0.916258947892867,-0.126172712672147
"PS",20,611827.981208157,30591.3990604079,26000.0857651383,5813.79591916739,746103.579864848,37305.1789932424,40114.0107568555,8969.76549024867,1.21946625976723,0.286249842152232
"SM",11,2583615.32773494,234874.120703176,496533.844235869,149710.587003923,3167129.57136795,287920.870124359,591003.330593461,178194.208857171,1.22585182761885,0.293784606697273
"TG",35,15830851.8291424,452310.052261212,1167534.84480382,197349.40832595,17213264.4937401,491807.556964002,1197004.49845141,202330.688959076,1.08732395953911,0.120781843942312
