"Class","N","Ctrl.Sum","Ctrl.Mean","Ctrl.SD","Ctrl.SE","Case.Sum","Case.Mean","Case.SD","Case.SE","FC","log2FC"
"CE",1,1,1,NA,NA,1,1,NA,NA,1,0
"CerP",1,1,1,NA,NA,1,1,NA,NA,1,0
"CL",22,871765.497065916,39625.7044120871,56678.9351423756,12083.9895746277,744855.00621395,33857.0457369977,48601.7476397906,10361.927412938,0.854421296462058,-0.226980488220868
"DG",28,6093150.11760298,217612.504200107,702955.354773887,132846.075108063,6083662.82078469,217273.672170882,793249.34657473,149910.035621516,0.998442956986915,-0.00224808887350419
"lysoPC",13,1915351.19594111,147334.707380086,223978.057685371,62120.3362741106,2124881.43458209,163452.418044776,236970.075628252,65723.6737252495,1.10939520599929,0.149773396308743
"lysoPE",10,696090.192829313,69609.0192829313,181868.248973951,57511.7900824267,785316.85449255,78531.6854492549,199567.147406414,63108.6731946833,1.12818261567595,0.174000611536597
"MG",5,511758.68765606,102351.737531212,211627.881990622,94642.8660130668,473830.781602128,94766.1563204256,192754.18715469,86202.2930851206,0.925887128115699,-0.111091764936368
"PA",12,308830.696295433,25735.8913579528,34811.7529165362,10049.2874586624,179748.065353295,14979.0054461079,19791.0705713463,5713.18996095884,0.582027847326887,-0.780839913851245
"PC",35,7315262.44950917,209007.498557405,656051.616199103,110892.962950438,4743333.48465376,135523.81384725,349698.700748958,59109.8689622033,0.648416036662092,-0.625008322775323
"PE",23,2351231.32218064,102227.448790463,132200.061669251,27565.6183972731,2138827.02944614,92992.4795411366,126209.782136938,26316.5587705547,0.909662528424679,-0.136596669210723
"PG",10,163676.312830988,16367.6312830988,17507.8429639492,5536.46606826327,168109.851118892,16810.9851118892,16897.1622957652,5343.35188481378,1.02708723217929,0.0385587172822253
"PI",10,312727.039295379,31272.7039295379,40718.3152361342,12876.2618630921,320426.975006951,32042.6975006951,34864.9606061725,11025.268604755,1.02462190582855,0.0350916412271739
"plasmenyl-PC",2,2003.94308172774,1001.97154086387,755.178183787273,533.991614760121,2225.99974998454,1112.99987499227,795.892793446984,562.781191343867,1.11080986794563,0.151611898593651
"plasmenyl-PE",13,2834479.07434505,218036.851872696,538563.545970016,149370.652314662,2534602.38568295,194969.414283304,510160.570922448,141493.084398528,0.894203950427331,-0.161324175433412
"PS",20,557078.991091628,27853.9495545814,24702.1619039566,5523.57132084525,613125.30875303,30656.2654376515,25625.2096308032,5729.97106721583,1.10060748755141,0.138300048623215
"SM",11,2606885.17975583,236989.561795984,494274.689036294,149029.426082089,3654854.13168331,332259.466516665,748756.313260156,225758.522772159,1.40200042566725,0.487486787371314
"TG",35,16294452.1935637,465555.776958963,1193317.26078252,201707.432038265,17487025.615559,499629.303301687,1258506.48153369,212726.421494322,1.07318892392506,0.101904070146367
