"Class","N","Ctrl.Sum","Ctrl.Mean","Ctrl.SD","Ctrl.SE","Case.Sum","Case.Mean","Case.SD","Case.SE","FC","log2FC"
"CE",1,1,1,NA,NA,1,1,NA,NA,1,0
"CerP",1,1,1,NA,NA,1,1,NA,NA,1,0
"CL",22,742719.574269362,33759.9806486074,49178.5228984298,10484.896311256,800378.374441828,36380.8352019013,54703.1117721129,11662.7426166955,1.07763199216769,0.1078645865147
"DG",28,8282851.59047438,295816.128231228,1082814.97336742,204632.795387659,7692870.5368966,274745.376317736,972931.428471257,183866.757318127,0.928770780553852,-0.106605509648946
"lysoPC",13,1094968.5408507,84228.3492962077,129542.34463511,35928.581994286,1361787.99511223,104752.922700941,143300.939848228,39744.529726536,1.24367773530208,0.314612699364682
"lysoPE",10,385160.849993504,38516.0849993504,98577.971126473,31173.0915877969,460776.941840295,46077.6941840295,113470.775636008,35882.6098875725,1.19632341098029,0.258607456713499
"MG",5,966528.790117464,193305.758023493,412992.011899628,184695.642554394,798847.641627875,159769.528325575,338038.399766356,151175.368176564,0.826511998189717,-0.274892332111257
"PA",12,231468.078009376,19289.0065007813,20767.3912377924,5995.02946075286,223224.014689084,18602.0012240903,22954.4815129464,6626.38804030395,0.964383584159031,-0.0523210014478824
"PC",35,5760170.7022408,164576.305778309,409207.818472717,69168.7457700782,5317086.0033515,151916.7429529,357529.634476607,60433.5383538872,0.923077852759306,-0.115475764401824
"PE",23,2307391.23739257,100321.358147503,145256.204587308,30288.0123876771,2335060.14740869,101524.354235161,133947.242130284,27929.9307073573,1.01199142545388,0.017197066210508
"PG",10,132434.016219692,13243.4016219692,15019.8867196526,4749.70522318172,153827.071979083,15382.7071979083,18240.9851815115,5768.30599389563,1.16153746877164,0.216035693224772
"PI",10,335754.276693507,33575.4276693507,43551.3571978154,13772.1483936665,282688.961405097,28268.8961405097,29898.2419608628,9454.65426311453,0.841951930408765,-0.248190227083279
"plasmenyl-PC",2,1021.38068392456,510.690341962279,380.076557140036,268.754710923756,1495.58069069983,747.790345349915,246.019332212701,173.961938110587,1.46427352136052,0.550185069368126
"plasmenyl-PE",13,2566369.94207863,197413.072467587,543007.642999831,150603.223061903,2697109.13332432,207469.93333264,541483.897312843,150180.612046118,1.05094323663244,0.071684748804925
"PS",20,657163.291096244,32858.1645548122,31906.2493547069,7134.45424641834,578132.711279663,28906.6355639832,24220.6791448317,5415.90850290552,0.879739813700265,-0.184851190441199
"SM",11,3618971.06711419,328997.369737654,741015.212533439,223424.493083535,3136179.36906852,285107.215369866,624746.315882338,188368.101721688,0.866594208936118,-0.206571499135023
"TG",35,17329533.2394089,495129.521125969,1256100.16984735,212319.68058234,17037309.1457475,486780.261307072,1203403.81012738,203412.370057133,0.983137220741938,-0.0245353010400689
