"Class","N","Ctrl.Sum","Ctrl.Mean","Ctrl.SD","Ctrl.SE","Case.Sum","Case.Mean","Case.SD","Case.SE","FC","log2FC"
"CE",1,1,1,NA,NA,1,1,NA,NA,1,0
"CerP",1,1,1,NA,NA,1,1,NA,NA,1,0
"CL",22,755120.406380931,34323.6548354968,44967.6902203096,9587.14376782719,788018.001907721,35819.0000867146,48213.1955759016,10279.0878345754,1.04356602635659,0.0615218826096207
"DG",28,9471919.96678015,338282.855956434,1111061.00140338,209970.792938267,8168411.11064841,291728.968237443,979581.633183278,185123.527877818,0.862381770464342,-0.21360141301524
"lysoPC",13,1149993.98560244,88461.0758155722,138771.918840927,38488.405305807,1258036.83306303,96772.0640817715,143217.489640549,39721.3848032487,1.09395079349393,0.12954784637649
"lysoPE",10,299549.58771205,29954.958771205,71426.3548701406,22586.9966353105,282925.123203838,28292.5123203838,65800.1423502996,20807.8320190252,0.944501794727246,-0.0823745568850061
"MG",5,1086447.70071251,217289.540142502,463856.86834868,207443.097891564,1018539.76709968,203707.953419936,434679.205918859,194394.45056804,0.937495441733372,-0.093116419009771
"PA",12,230064.489691797,19172.0408076497,21430.9481171645,6186.58183221692,332728.199798346,27727.3499831955,38000.1380091195,10969.694954404,1.44623883609366,0.532305822824917
"PC",35,4939050.16917421,141115.719119263,368047.621559377,62211.4026607236,4594701.10583771,131277.174452506,324510.598589864,54852.3026205443,0.930280306629469,-0.104262608717366
"PE",23,1795323.32647591,78057.5359337351,120114.733912973,25045.653361485,1852096.83038517,80525.9491471813,115046.192522279,23988.7894232804,1.03162299685634,0.0449158390393007
"PG",10,108679.605243411,10867.9605243411,11837.1846199386,3743.24644829207,133594.538480498,13359.4538480498,13736.1043582914,4343.73759499663,1.22925123054399,0.29777979937152
"PI",10,346645.184076166,34664.5184076166,46069.5399783933,14568.4677087907,300147.449369921,30014.7449369921,40024.3719687914,12656.8177339179,0.865863606816967,-0.207788309272693
"plasmenyl-PC",2,1227.68823244868,613.844116224339,610.328590362779,431.567484997547,717.296158247021,358.648079123511,165.056326979555,116.712448084987,0.58426572747736,-0.775303430366721
"plasmenyl-PE",13,2547952.29688149,195996.330529346,543051.431026472,150615.367675388,2653087.23231789,204083.633255223,541698.357127995,150240.092496892,1.04126252110963,0.0583338440029791
"PS",20,747534.557946192,37376.7278973096,41868.7251068823,9362.1315470241,658997.424142958,32949.8712071479,32646.198841405,7299.91198163566,0.881561149431694,-0.18186744942347
"SM",11,2446434.13067571,222403.102788701,423835.414841318,127791.18580848,3028597.8906241,275327.080965828,587492.579048812,177135.677438465,1.23796420784385,0.307969603798829
"TG",35,17364838.3170239,496138.237629254,1221850.58375895,206530.443901279,18047442.0656761,515641.201876461,1227260.87261606,207444.949630659,1.03930953667349,0.0556253948743422
