Lipid,Ctrl_BL6_2249,Ctrl_BL6_2250,Ctrl_BL6_2251,Ctrl_BL6_2252,HF_BL6_2260,HF_BL6_2261,HF_BL6_2262,HF_BL6_2266
Group,CT,CT,CT,CT,HF,HF,HF,HF
DG 36_2,262934.409,227051.026,227051.026,212232.6605,418549.4071,460567.2656,643967.8308,281192.8637
DG 38_4,1112769.861,882924.4359,981235.4188,882924.4359,501264.1349,334764.9053,738451.1646,882924.4359
DG 40_2,7650.319198,6214.748972,9146.558259,8755.323972,2781.2465,3368.024326,6476.050393,6853.65228
DG 36_0,2113876.572,3852004.529,3459568.701,3459568.701,5699105.41,5699105.41,4749237.54,2113876.572
DG 36_4,67729.54475,62677.13218,46717.12354,62677.13218,36296.68322,78694.4984,115070.9684,30567.06583
DG 34_0,212232.6605,334764.9053,738451.1646,281192.8637,1506748.415,738451.1646,501264.1349,790483.8253
DG 32_1,25827.35626,15027.14066,12036.3041,19318.27177,12602.75941,18524.63203,24364.84816,10165.66943
DG 42_2,32362.28566,30998.79069,18524.63203,30098.79678,12191.61022,10871.10869,17574.26147,13622.67439
DG 40_5,13764.09083,13122.49019,13433.74836,11220.69036,8755.323972,8755.323972,10165.66943,9899.935808
DG 40_1,47712.35308,35687.5316,27642.63234,34456.8532,12953.4282,17160.29163,20499.23043,22917.92497
DG 36_1,227051.026,249349.9543,281192.8637,249349.9543,281192.8637,145887.1573,199472.742,199472.742
DG 38_7,1821.377099,1012.874861,946.7158051,1588.420506,1588.420506,1644.531549,2781.2465,2156.379423
DG 32_0,11901.90029,18524.63203,25827.35626,16278.44099,67729.54475,43848.29695,37070.38329,27642.63234
DG 38_3,150964.9424,111807.1464,115070.9684,115070.9684,48946.97356,37829.22982,78694.4984,81449.0277
DG 38_2,17392.41641,12191.61022,17574.26147,15976.44171,10401.96372,10165.66943,21701.6136,14779.9017
DG 40_6,16541.65039,14273.03956,17160.29163,13622.67439,9899.935808,9146.558259,18761.98727,12036.3041
DG 38_0,31845.30297,47712.35308,39693.21583,28171.24571,100400.4884,66207.68426,55093.00725,29070.87162
DG 40_0,21429.93605,23633.12817,24364.84816,23633.12817,53213.45525,42890.11673,30998.79069,17957.40786
DG 38_6,13122.49019,11400.68924,10708.36052,10584.64273,8414.575843,13764.09083,12424.58905,7909.700702
DG 40_4,33357.69173,31845.30297,42890.11673,32759.55666,19107.0743,12424.58905,22426.46911,37829.22982
DG 30_1,2868.676796,3083.062183,2156.379423,2320.537705,1644.531549,2781.2465,1870.099428,1418.918221
DG 42_3,2117.411344,1870.099428,4626.671667,4277.331284,3768.934242,4681.733872,7255.069869,3896.550844
DG 44_2,7992.422483,5881.885408,5241.136316,5328.577504,2007.005973,1963.468545,2931.00125,6394.597406
DG 42_4,9761.450013,6476.050393,9539.551201,8306.272888,6932.733728,5170.137098,7336.89094,5642.889613
DG 42_0,5470.574297,9416.595104,7521.44196,10025.09987,7761.560731,3896.550844,4100.148136,7650.319198
DG 44_1,3368.024326,2931.00125,5060.742727,5170.137098,3547.056307,729.589227,1705.52549,4567.159006
DG 30_2,4100.148136,3768.934242,2067.905096,2374.241514,4176.998377,2490.809389,3236.332334,1366.400821
DG 44_6,3547.056307,7014.06656,12424.58905,7014.06656,6767.311283,8501.97188,5709.268158,9539.551201
lysoPC 16_0,790483.8253,738451.1646,334764.9053,790483.8253,334764.9053,418549.4071,301137.9149,317548.7605
lysoPC 18_2,39693.21583,37070.38329,19318.27177,30567.06583,21429.93605,53213.45525,41438.22343,27140.0555
lysoPC 18_1,738451.1646,501264.1349,262934.409,399352.741,177378.4562,190622.3243,212232.6605,249349.9543
lysoPC 20_3,69576.76012,44618.42807,35058.15822,50349.966,23964.20187,48946.97356,29070.87162,22426.46911
lysoPC 18_0,382729.0053,317548.7605,190622.3243,301137.9149,184029.6069,317548.7605,281192.8637,177378.4562
lysoPC 22_1,7909.700702,6932.733728,4749.891369,6031.352485,2490.809389,2557.861543,3896.550844,5060.742727
lysoPC 20_1,16278.44099,12602.75941,6129.894914,11073.83025,3674.559993,4812.19204,5060.742727,4626.671667
lysoPC 22_5,6129.894914,3674.559993,4879.910507,6692.018433,2227.838475,10584.64273,3187.403498,3312.085301
lysoPC 20_2,4681.733872,5709.268158,4176.998377,4227.677136,4980.30066,6031.352485,5956.970283,4934.038003
lysoPC 26_0,15976.44171,14779.9017,12953.4282,13764.09083,11073.83025,11511.72843,12765.01492,12765.01492
lysoPC 20_5,3236.332334,1418.918221,1821.377099,1963.468545,1012.874861,2868.676796,1366.400821,1763.141627
lysoPC 24_0,281192.8637,262934.409,111807.1464,262934.409,121471.5197,134306.796,177378.4562,121471.5197
lysoPC 26_1,6214.748972,7255.069869,4277.331284,5956.970283,2433.269059,2931.00125,3424.196779,3424.196779
lysoPE 18_1,643967.8308,527378.3208,418549.4071,501264.1349,317548.7605,262934.409,262934.409,399352.741
lysoPE 22_6,41438.22343,29551.34341,18265.90489,26249.1556,15776.9599,24808.78128,21429.93605,18265.90489
lysoPE 20_1,10708.36052,8153.909398,5398.785201,7992.422483,2374.241514,3129.699718,4176.998377,5328.577504
lysoPE 16_0,64255.02427,51683.30407,22917.92497,53213.45525,22426.46911,27140.0555,27140.0555,30098.79678
lysoPE 18_0,6031.352485,4749.891369,3129.699718,4879.910507,3465.962577,4484.22061,4425.884071,2675.375384
lysoPE 24_4,6476.050393,5398.785201,3611.624707,5881.885408,3817.601948,3424.196779,4038.995515,5398.785201
lysoPE 22_5,9656.420265,6579.473308,3424.196779,5398.785201,2726.153518,7014.06656,4567.159006,4227.677136
lysoPE 20_3,4425.884071,2824.905694,3768.934242,3674.559993,1821.377099,1916.829743,2227.838475,2557.861543
lysoPE 20_2,1705.52549,1588.420506,2007.005973,1479.879161,1211.788076,1541.089108,2117.411344,2067.905096
lysoPE 14_0,1366.400821,781.6885698,1144.107397,2279.235322,893.9259107,893.9259107,550.2186836,550.2186836
MG 18_0,527378.3208,790483.8253,790483.8253,738451.1646,1234820.677,981235.4188,790483.8253,738451.1646
MG 22_0,10269.00357,10025.09987,6853.65228,8153.909398,12036.3041,10401.96372,9025.338514,6031.352485
MG 20_4,13433.74836,10708.36052,5470.574297,7521.44196,10025.09987,11901.90029,11220.69036,7147.950405
MG 18_2,7443.453835,7521.44196,6767.311283,5804.772853,10584.64273,12036.3041,7761.560731,5241.136316
MG 16_0,6394.597406,9899.935808,8414.575843,7650.319198,11669.96808,11073.83025,8892.258257,11073.83025
PC 32_0,1234820.677,1234820.677,1506748.415,1234820.677,1112769.861,1234820.677,1506748.415,1506748.415
PC 42_1,117866.9777,165366.9413,349336.5058,177378.4562,301137.9149,159510.9215,184029.6069,262934.409
PC 48_4,8501.97188,7443.453835,5642.889613,6579.473308,5642.889613,5328.577504,4812.19204,8501.97188
PC 40_6,75897.80025,100400.4884,145887.1573,96361.57209,93786.88021,100400.4884,69576.76012,108936.0956
PC 38_1,501264.1349,643967.8308,643967.8308,418549.4071,483347.4559,281192.8637,418549.4071,527378.3208
PC 32_1,3459568.701,2113876.572,2113876.572,2113876.572,981235.4188,882924.4359,1234820.677,1885919.299
PC 38_6,981235.4188,981235.4188,1112769.861,1112769.861,790483.8253,1506748.415,981235.4188,1234820.677
PC 38_3,71534.9288,69576.76012,73860.6129,69576.76012,55093.00725,50349.966,66207.68426,59352.67114
PC 44_4,111807.1464,150964.9424,301137.9149,165366.9413,227051.026,139440.3745,165366.9413,212232.6605
PC 40_8,78694.4984,57697.36004,59352.67114,64255.02427,29070.87162,108936.0956,42125.34832,32759.55666
PC 38_2,56627.36932,55093.00725,81449.0277,67729.54475,51683.30407,35058.15822,46717.12354,93786.88021
PC 40_1,31442.24884,67729.54475,96361.57209,57697.36004,75897.80025,39693.21583,48946.97356,100400.4884
PC 36_4,3989.048396,4812.19204,13122.49019,7443.453835,23252.05071,7909.700702,6303.511027,25566.34182
