"","Ctrl-BL6-2249","Ctrl-BL6-2250","Ctrl-BL6-2251","Ctrl-BL6-2252","HF-BL6-2260","HF-BL6-2261","HF-BL6-2262","HF-BL6-2266"
"Label","CT","CT","CT","CT","HF","HF","HF","HF"
"DG-36-2","-0.4562056","-0.8178805","-0.8178805","-0.9842410"," 0.6897044"," 0.9255069"," 1.7517177","-0.2907214"
"DG-38-4"," 1.00877192"," 0.43044790"," 0.69433615"," 0.43044790","-0.98458378","-1.99367826","-0.01618973"," 0.43044790"
"DG-40-2"," 0.57476368"," 0.09771665"," 0.98480305"," 0.88445520","-1.74786927","-1.30846723"," 0.19225615"," 0.32234178"
"DG-36-0","-1.3987231"," 0.1348836","-0.1397271","-0.1397271"," 1.1359958"," 1.1359958"," 0.6700252","-1.3987231"
"DG-36-4"," 0.3707000"," 0.1890647","-0.4994808"," 0.1890647","-1.0907923"," 0.7222541"," 1.6124997","-1.4933102"
"DG-34-0","-1.42429706","-0.71924159"," 0.50466119","-0.98902605"," 1.60793802"," 0.50466119","-0.09469508"," 0.60999936"
"DG-32-1"," 1.3393754","-0.2565949","-0.9106010"," 0.4836464","-0.7750781"," 0.3600239"," 1.1675924","-1.4083641"
"DG-42-2"," 1.19543954"," 1.09780472","-0.06995812"," 1.03097748","-1.01885582","-1.27887746","-0.18941354","-0.76711680"
"DG-40-5"," 1.2163737"," 0.9602618"," 1.0860362"," 0.1202387","-1.2108583","-1.2108583","-0.4095399","-0.5516540"
"DG-40-1"," 1.4827062"," 0.8028093"," 0.2047345"," 0.7206438","-1.5699908","-0.9115210","-0.4952576","-0.2341243"
"DG-36-1"," 0.04910761"," 0.47587983"," 1.02337708"," 0.47587983"," 1.02337708","-1.96598436","-0.54081854","-0.54081854"
"DG-38-7"," 0.35788113","-1.28149594","-1.47018553","-0.02447753","-0.02447753"," 0.07251439"," 1.54062433"," 0.82961667"
"DG-32-0","-1.44363353","-0.66381061","-0.07800784","-0.89165643"," 1.62138975"," 0.85499166"," 0.55900357"," 0.04172344"
"DG-38-3"," 1.22534237"," 0.58851143"," 0.64953575"," 0.64953575","-1.16338756","-1.70983498","-0.15633433","-0.08336843"
"DG-38-2"," 0.65942803","-0.65838013"," 0.69800739"," 0.34445093","-1.24721904","-1.33244879"," 1.48045646"," 0.05570516"
"DG-40-6"," 0.77218473"," 0.20365738"," 0.91369745"," 0.02391062","-1.20637280","-1.51143338"," 1.25762502","-0.45326902"
"DG-38-0","-0.7986089"," 0.1111734","-0.3028976","-1.0744643"," 1.7853169"," 0.8483736"," 0.4348343","-1.0037275"
"DG-40-0","-0.7192337","-0.4536090","-0.3708441","-0.4536090"," 1.7494988"," 1.1641023"," 0.2827818","-1.1990871"
"DG-38-6"," 0.94965522"," 0.24496961","-0.06890643","-0.12712666","-1.27662995"," 1.18881375"," 0.67585432","-1.58662987"
"DG-40-4"," 0.4932690"," 0.3808875"," 1.1020697"," 0.4494445","-0.8563934","-1.8988158","-0.4684146"," 0.7979531"
"DG-30-1"," 0.9599544"," 1.2180524","-0.0621463"," 0.2005856","-1.0324837"," 0.8491141","-0.5722131","-1.5608633"
"DG-42-3","-1.29730685","-1.57923203"," 0.47700296"," 0.29878760"," 0.01154770"," 0.50385904"," 1.49820394"," 0.08713765"
"DG-44-2"," 1.1849517"," 0.6200951"," 0.4076154"," 0.4380967","-1.3606797","-1.4010797","-0.6630603"," 0.7740609"
"DG-42-4"," 1.30079724","-0.47391470"," 1.20134389"," 0.60259847","-0.17918938","-1.44796969"," 0.06587375","-1.06953959"
"DG-42-0","-0.5298427"," 0.9799865"," 0.3552596"," 1.1540706"," 0.4426250","-1.4730909","-1.3314998"," 0.4024917"
"DG-44-1"," 0.217298702"," 0.008418915"," 0.829277290"," 0.861419352"," 0.295138166","-2.081249117","-0.805344997"," 0.675041690"
"DG-30-2"," 1.0048719"," 0.7885545","-0.7529612","-0.3982064"," 1.0525620","-0.2751196"," 0.3972948","-1.8169961"
"DG-44-6","-1.8869295","-0.0499252"," 1.4906081","-0.0499252","-0.1464206"," 0.4684185","-0.6044969"," 0.7786708"
"lysoPC-16-0"," 1.2293028"," 1.0735560","-0.7360350"," 1.2293028","-0.7360350","-0.2251155","-0.9781752","-0.8568010"
"lysoPC-18-2"," 0.6177685"," 0.4202104","-1.4633204","-0.1372344","-1.1635313"," 1.4648833"," 0.7421013","-0.4808776"
"lysoPC-18-1"," 1.7573455"," 0.9953475","-0.2737161"," 0.5483074","-1.0479030","-0.9062735","-0.6950562","-0.3780517"
"lysoPC-20-3"," 1.5349009"," 0.4159679","-0.1913421"," 0.7203324","-1.1495021"," 0.6491583","-0.6629876","-1.3165277"
"lysoPC-18-0"," 1.3113087"," 0.6835239","-1.0325403"," 0.5050937","-1.1508956"," 0.6835239"," 0.2746624","-1.2746766"
"lysoPC-22-1"," 1.26530667"," 0.95865615"," 0.07912156"," 0.63468393","-1.42231536","-1.36053021","-0.38149224"," 0.22656950"
"lysoPC-20-1"," 1.5340376"," 1.0688205","-0.2413201"," 0.8337251","-1.1715477","-0.6812646","-0.5897211","-0.7527297"
"lysoPC-22-5"," 0.5988575","-0.4280185"," 0.1412447"," 0.7749153","-1.4321103"," 1.6949361","-0.7134102","-0.6364146"
"lysoPC-20-2","-0.50805194"," 0.85690679","-1.29278174","-1.20982210","-0.08277726"," 1.23443344"," 1.14906911","-0.14697631"
"lysoPC-26-0"," 1.6294484"," 0.9870790","-0.1013833"," 0.3995158","-1.3950480","-1.0750337","-0.2222892","-0.2222892"
"lysoPC-20-5"," 1.51383829","-0.63321320"," 0.01695253"," 0.21255614","-1.51088038"," 1.19981964","-0.73141122","-0.06766180"
"lysoPC-24-0"," 1.2456312"," 1.0756115","-1.0899687"," 1.0756115","-0.8800168","-0.6256391"," 0.0787872","-0.8800168"
