"","Ctrl-BL6-2249","Ctrl-BL6-2250","Ctrl-BL6-2251","Ctrl-BL6-2252","HF-BL6-2260","HF-BL6-2261","HF-BL6-2262","HF-BL6-2266"
"Label","CT","CT","CT","CT","HF","HF","HF","HF"
"DG-36-2","262934.4","227051.0","227051.0","212232.7","418549.4","460567.3","643967.8","281192.9"
"DG-38-4","1112769.9"," 882924.4"," 981235.4"," 882924.4"," 501264.1"," 334764.9"," 738451.2"," 882924.4"
"DG-40-2","7650.319","6214.749","9146.558","8755.324","2781.247","3368.024","6476.050","6853.652"
"DG-36-0","2113877","3852005","3459569","3459569","5699105","5699105","4749238","2113877"
"DG-36-4"," 67729.54"," 62677.13"," 46717.12"," 62677.13"," 36296.68"," 78694.50","115070.97"," 30567.07"
"DG-34-0"," 212232.7"," 334764.9"," 738451.2"," 281192.9","1506748.4"," 738451.2"," 501264.1"," 790483.8"
"DG-32-1","25827.36","15027.14","12036.30","19318.27","12602.76","18524.63","24364.85","10165.67"
"DG-42-2","32362.29","30998.79","18524.63","30098.80","12191.61","10871.11","17574.26","13622.67"
"DG-40-5","13764.091","13122.490","13433.748","11220.690"," 8755.324"," 8755.324","10165.669"," 9899.936"
"DG-40-1","47712.35","35687.53","27642.63","34456.85","12953.43","17160.29","20499.23","22917.92"
"DG-36-1","227051.0","249350.0","281192.9","249350.0","281192.9","145887.2","199472.7","199472.7"
"DG-38-7","1821.3771","1012.8749"," 946.7158","1588.4205","1588.4205","1644.5315","2781.2465","2156.3794"
"DG-32-0","11901.90","18524.63","25827.36","16278.44","67729.54","43848.30","37070.38","27642.63"
"DG-38-3","150964.94","111807.15","115070.97","115070.97"," 48946.97"," 37829.23"," 78694.50"," 81449.03"
"DG-38-2","17392.42","12191.61","17574.26","15976.44","10401.96","10165.67","21701.61","14779.90"
"DG-40-6","16541.650","14273.040","17160.292","13622.674"," 9899.936"," 9146.558","18761.987","12036.304"
"DG-38-0"," 31845.30"," 47712.35"," 39693.22"," 28171.25","100400.49"," 66207.68"," 55093.01"," 29070.87"
"DG-40-0","21429.94","23633.13","24364.85","23633.13","53213.46","42890.12","30998.79","17957.41"
"DG-38-6","13122.490","11400.689","10708.361","10584.643"," 8414.576","13764.091","12424.589"," 7909.701"
"DG-40-4","33357.69","31845.30","42890.12","32759.56","19107.07","12424.59","22426.47","37829.23"
"DG-30-1","2868.677","3083.062","2156.379","2320.538","1644.532","2781.247","1870.099","1418.918"
"DG-42-3","2117.411","1870.099","4626.672","4277.331","3768.934","4681.734","7255.070","3896.551"
"DG-44-2","7992.422","5881.885","5241.136","5328.578","2007.006","1963.469","2931.001","6394.597"
"DG-42-4","9761.450","6476.050","9539.551","8306.273","6932.734","5170.137","7336.891","5642.890"
"DG-42-0"," 5470.574"," 9416.595"," 7521.442","10025.100"," 7761.561"," 3896.551"," 4100.148"," 7650.319"
"DG-44-1","3368.0243","2931.0012","5060.7427","5170.1371","3547.0563"," 729.5892","1705.5255","4567.1590"
"DG-30-2","4100.148","3768.934","2067.905","2374.242","4176.998","2490.809","3236.332","1366.401"
"DG-44-6"," 3547.056"," 7014.067","12424.589"," 7014.067"," 6767.311"," 8501.972"," 5709.268"," 9539.551"
"lysoPC-16-0","790483.8","738451.2","334764.9","790483.8","334764.9","418549.4","301137.9","317548.8"
"lysoPC-18-2","39693.22","37070.38","19318.27","30567.07","21429.94","53213.46","41438.22","27140.06"
"lysoPC-18-1","738451.2","501264.1","262934.4","399352.7","177378.5","190622.3","212232.7","249350.0"
"lysoPC-20-3","69576.76","44618.43","35058.16","50349.97","23964.20","48946.97","29070.87","22426.47"
"lysoPC-18-0","382729.0","317548.8","190622.3","301137.9","184029.6","317548.8","281192.9","177378.5"
"lysoPC-22-1","7909.701","6932.734","4749.891","6031.352","2490.809","2557.862","3896.551","5060.743"
"lysoPC-20-1","16278.441","12602.759"," 6129.895","11073.830"," 3674.560"," 4812.192"," 5060.743"," 4626.672"
"lysoPC-22-5"," 6129.895"," 3674.560"," 4879.911"," 6692.018"," 2227.838","10584.643"," 3187.403"," 3312.085"
"lysoPC-20-2","4681.734","5709.268","4176.998","4227.677","4980.301","6031.352","5956.970","4934.038"
"lysoPC-26-0","15976.44","14779.90","12953.43","13764.09","11073.83","11511.73","12765.01","12765.01"
"lysoPC-20-5","3236.332","1418.918","1821.377","1963.469","1012.875","2868.677","1366.401","1763.142"
"lysoPC-24-0","281192.9","262934.4","111807.1","262934.4","121471.5","134306.8","177378.5","121471.5"
"lysoPC-26-1","6214.749","7255.070","4277.331","5956.970","2433.269","2931.001","3424.197","3424.197"
"lysoPE-18-1","643967.8","527378.3","418549.4","501264.1","317548.8","262934.4","262934.4","399352.7"
"lysoPE-22-6","41438.22","29551.34","18265.90","26249.16","15776.96","24808.78","21429.94","18265.90"
"lysoPE-20-1","10708.361"," 8153.909"," 5398.785"," 7992.422"," 2374.242"," 3129.700"," 4176.998"," 5328.578"
"lysoPE-16-0","64255.02","51683.30","22917.92","53213.46","22426.47","27140.06","27140.06","30098.80"
