"","Overall"
"TG-54-5",100
"TG-54-1",97.949
"TG-54-7",96.936
"TG-58-9",95.798
"TG-50-3",94.142
"PS-44-3",94.06
"CL-78-3",93.379
"TG-56-9",93.11
"PS-36-3",92.598
"CL-78-9",92.479
"DG-40-5",92.439
"lysoPC-26-1",90.898
"plasmenyl-PE-32-1",90.494
"lysoPE-20-3",89.715
"DG-42-2",88.905
"PS-36-4",88.682
"DG-40-1",87.713
"PS-36-1",87.439
"lysoPC-20-1",87.284
"lysoPE-18-1",86.777
"PE-34-2",86.326
"PE-36-5",85.403
"PS-42-2",85.258
"PA-34-0",85.141
"DG-38-3",85.022
"plasmenyl-PE-40-1",84.674
"PC-38-3",84.273
"DG-32-0",84.038
"DG-36-2",84.013
"PC-44-12",83.996
"CL-74-9",83.778
"lysoPE-20-1",83.518
"PE-38-5",82.722
"lysoPC-18-1",82.669
"PC-32-1",82.385
"TG-62-4",81.112
"PC-46-4",81.003
"lysoPC-22-1",80.21
"PS-42-1",80.088
"lysoPC-26-0",79.575
"PS-38-6",79.216
"PI-40-6",79.004
"TG-58-5",78.768
"plasmenyl-PE-40-2",77.217
"lysoPC-16-0",76.319
"PC-38-8",76.229
"PE-34-3",74.498
"MG-16-0",74.299
"PE-32-2",73.533
"SM-30-1",73.163
"plasmenyl-PC-24-0",72.698
"PE-44-3",72.518
"CL-68-2",72.329
"DG-44-2",72.326
"DG-42-4",71.778
"DG-34-0",71.698
"TG-52-4",70.929
"PA-40-6",70.729
"lysoPE-14-0",70.273
"PC-28-0",70.233
"PC-30-1",70.199
"PC-42-7",70.023
"PC-34-1",69.953
"DG-38-4",69.943
"PC-40-3",69.938
"DG-40-2",69.331
"lysoPE-16-0",68.389
"SM-32-1",68.296
"lysoPC-20-3",67.631
"PC-46-6",67.274
"TG-58-6",66.283
"plasmenyl-PE-40-4",66.257
"DG-40-4",66.142
"DG-38-7",65.939
"PC-42-5",65.683
"PC-46-1",64.685
"CL-68-3",64.489
"PE-32-1",64.132
"DG-30-1",63.142
"PC-34-4",62.988
"lysoPC-24-0",62.879
"CL-82-9",62.492
"SM-34-2",62.241
"PS-38-2",60.281
"MG-18-0",59.556
"TG-58-8",59.251
"SM-42-1",59.156
"lysoPC-20-2",58.672
"lysoPE-22-6",58.56
"plasmenyl-PE-38-1",58.515
"PG-36-1",58.18
"plasmenyl-PE-22-0",57.957
"PE-40-2",57.912
"TG-40-0",57.789
"DG-42-3",57.216
"TG-50-0",56.464
"DG-38-0",56.229
"CL-66-3",56.129
"TG-50-2",55.75
"PS-42-4",55.391
"DG-36-1",55.115
"DG-40-0",54.374
"PC-36-4",54.246
"TG-42-0",54.006
"PC-38-1",53.888
"PE-40-5",53.602
"DG-42-0",53.335
"TG-58-3",52.883
"lysoPE-24-4",52.849
"PC-34-2",52.839
"CL-70-5",52.177
"DG-44-1",52.152
"DG-40-6",52.071
"PC-32-3",51.943
"TG-58-1",51.511
"TG-48-0",51.299
"CL-74-5",50.679
"plasmenyl-PC-22-0",49.905
"CL-72-4",49.195
"PE-44-1",48.994
"PC-36-1",48.043
"TG-52-3",47.769
"PG-38-3",47.421
"PS-44-2",47.152
"PE-40-3",47.043
"SM-36-0",46.365
"plasmenyl-PE-34-2",46.363
"CL-70-4",45.873
"CL-78-4",45.546
"PI-34-2",45.132
"PA-44-1",44.183
"PC-30-3",44.148
"lysoPE-18-0",44.095
"SM-32-0",42.91
"PC-42-4",42.826
"PC-40-8",42.214
"TG-60-2",41.905
"DG-36-0",41.902
"MG-18-2",41.655
"plasmenyl-PE-36-1",40.531
"PS-34-2",40.358
"PC-48-4",40.354
"PE-38-1",40.195
"PG-38-6",39.908
"lysoPC-18-0",39.817
"PS-40-4",39.622
"PG-34-1",39.245
"PS-38-5",39.206
"SM-42-2",39.094
"SM-40-1",38.674
"PE-38-6",38.376
"lysoPE-22-5",38.301
"PS-40-5",37.836
"plasmenyl-PE-42-4",37.422
"PS-44-11",37.368
"PI-40-5",37.038
"PI-38-5",36.913
"plasmenyl-PE-38-6",36.673
"CL-78-2",36.241
"plasmenyl-PE-38-2",35.88
"PA-42-4",35.874
"PA-36-1",35.87
"PI-40-4",35.431
"PA-20-2",35.305
"PS-34-1",34.692
"PG-32-0",34.381
"PE-30-1",33.944
"TG-42-2",33.897
"PC-38-2",33.442
"TG-44-1",33.327
"PE-42-2",33.174
"PS-40-7",32.718
"TG-56-3",32.269
"PC-32-4",31.78
"TG-58-2",30.53
"PA-38-3",30.23
