
 Univariate Analysis Result for each variable/metabolite

[NOTE]
    p-value is calculated with t-test as a default.
    p-value with (W) is calculated by the Wilcoxon Mann Whitney test


"Name","Mean (SD) of CT","Mean (SD) of HF","p-value","q-value (FDR)","Fold Change","CT/HF","p.value.origin"
"DG-36-2","-0.769 (0.223)","0.769 (0.841)","0.0123 ","0.1373","1","Down","0.01225"
"DG-38-4","0.641 (0.275)","-0.641 (1.078)","0.0607 ","0.2439","1","Up","0.06071"
"DG-40-2","0.635 (0.399)","-0.635 (1.048)","0.0639 ","0.2525","1","Up","0.06389"
"DG-36-0","-0.386 (0.688)","0.386 (1.210)","0.2396 (W)","0.4916","1","Down","0.23964"
"DG-36-4","0.062 (0.384)","-0.062 (1.475)","0.8754 ","0.9345","1","Up","0.87542"
"DG-34-0","-0.657 (0.827)","0.657 (0.706)","0.0521 ","0.2358","1","Down","0.05209"
"DG-32-1","0.164 (0.969)","-0.164 (1.150)","0.6780 ","0.8212","1","Up","0.67802"
"DG-42-2","0.814 (0.593)","-0.814 (0.466)","0.0286 (W)","0.1697","1","Up","0.02857"
"DG-40-5","0.846 (0.495)","-0.846 (0.426)","0.0020 ","0.0638","1","Up","0.00205"
"DG-40-1","0.803 (0.525)","-0.803 (0.583)","0.0064 ","0.1238","1","Up","0.00640"
"DG-36-1","0.506 (0.399)","-0.506 (1.221)","0.1662 ","0.4402","1","Up","0.16617"
"DG-38-7","-0.605 (0.907)","0.605 (0.732)","0.0833 ","0.2965","1","Down","0.08335"
"DG-32-0","-0.769 (0.565)","0.769 (0.660)","0.0122 ","0.1373","1","Down","0.01221"
"DG-38-3","0.778 (0.299)","-0.778 (0.793)","0.0294 (W)","0.1697","1","Up","0.02940"
"DG-38-2","0.261 (0.633)","-0.261 (1.323)","0.5036 ","0.6852","1","Up","0.50357"
"DG-40-6","0.478 (0.431)","-0.478 (1.240)","0.1952 ","0.4425","1","Up","0.19520"
"DG-38-0","-0.516 (0.526)","0.516 (1.160)","0.1562 ","0.4251","1","Down","0.15617"
"DG-40-0","-0.499 (0.152)","0.499 (1.283)","0.2173 ","0.4706","1","Down","0.21734"
"DG-38-6","0.250 (0.494)","-0.250 (1.387)","0.5228 ","0.7014","1","Up","0.52285"
"DG-40-4","0.606 (0.334)","-0.606 (1.114)","0.2000 (W)","0.4425","1","Up","0.20000"
"DG-30-1","0.579 (0.608)","-0.579 (1.034)","0.1017 ","0.3323","1","Up","0.10170"
"DG-42-3","-0.525 (1.063)","0.525 (0.684)","0.1476 ","0.4129","1","Down","0.14759"
"DG-44-2","0.663 (0.361)","-0.663 (1.016)","0.0492 ","0.2311","1","Up","0.04920"
"DG-42-4","0.658 (0.815)","-0.658 (0.718)","0.0517 ","0.2358","1","Up","0.05172"
"DG-42-0","0.490 (0.761)","-0.490 (1.055)","0.1828 ","0.4425","1","Up","0.18284"
"DG-44-1","0.479 (0.432)","-0.479 (1.239)","0.1944 ","0.4425","1","Up","0.19439"
"DG-30-2","0.161 (0.867)","-0.161 (1.230)","0.6844 ","0.8212","1","Up","0.68442"
"DG-44-6","-0.124 (1.382)","0.124 (0.619)","0.7543 ","0.8695","1","Down","0.75426"
"lysoPC-16-0","0.699 (0.960)","-0.699 (0.331)","0.0796 (W)","0.2914","1","Up","0.07959"
"lysoPC-18-2","-0.141 (0.938)","0.141 (1.184)","0.7223 ","0.8428","1","Down","0.72230"
"lysoPC-18-1","0.757 (0.849)","-0.757 (0.291)","0.0150 ","0.1437","1","Up","0.01500"
"lysoPC-20-3","0.620 (0.718)","-0.620 (0.890)","0.0733 ","0.2764","1","Up","0.07326"
"lysoPC-18-0","0.367 (0.995)","-0.367 (0.992)","0.3366 ","0.5754","1","Up","0.33659"
"lysoPC-22-1","0.734 (0.507)","-0.734 (0.799)","0.0210 ","0.1697","1","Up","0.02097"
"lysoPC-20-1","0.799 (0.752)","-0.799 (0.257)","0.0070 ","0.1238","1","Up","0.00696"
"lysoPC-22-5","0.272 (0.538)","-0.272 (1.359)","0.4852 ","0.6720","1","Up","0.48516"
"lysoPC-20-2","-0.538 (0.995)","0.538 (0.756)","0.1354 ","0.3994","1","Down","0.13543"
"lysoPC-26-0","0.729 (0.747)","-0.729 (0.599)","0.0227 ","0.1697","1","Up","0.02272"
"lysoPC-20-5","0.278 (0.900)","-0.278 (1.148)","0.4755 ","0.6720","1","Up","0.47548"
"lysoPC-24-0","0.577 (1.114)","-0.577 (0.453)","0.3065 (W)","0.5550","1","Up","0.30649"
"lysoPC-26-1","0.832 (0.565)","-0.832 (0.412)","0.0031 ","0.0866","1","Up","0.00313"
"lysoPE-18-1","0.794 (0.537)","-0.794 (0.602)","0.0077 ","0.1272","1","Up","0.00766"
"lysoPE-22-6","0.537 (1.082)","-0.537 (0.627)","0.1363 ","0.3994","1","Up","0.13635"
"lysoPE-20-1","0.765 (0.551)","-0.765 (0.686)","0.0132 ","0.1373","1","Up","0.01323"
"lysoPE-16-0","0.627 (1.095)","-0.627 (0.293)","0.0690 ","0.2663","1","Up","0.06899"
"lysoPE-18-0","0.406 (1.029)","-0.406 (0.914)","0.2829 ","0.5295","1","Up","0.28291"
"lysoPE-24-4","0.485 (1.041)","-0.485 (0.789)","0.1875 ","0.4425","1","Up","0.18754"
"lysoPE-22-5","0.353 (1.053)","-0.353 (0.945)","0.3567 ","0.5881","1","Up","0.35666"
"lysoPE-20-3","0.821 (0.564)","-0.821 (0.466)","0.0042 ","0.1038","1","Up","0.00417"
"lysoPE-20-2","-0.010 (0.675)","0.010 (1.370)","0.9791 ","0.9870","1","Down","0.97912"
"lysoPE-14-0","0.644 (0.937)","-0.644 (0.591)","0.1081 (W)","0.3363","1","Up","0.10806"
"MG-18-0","-0.546 (0.794)","0.546 (0.952)","0.2338 (W)","0.4916","1","Down","0.23378"
"MG-22-0","-0.091 (0.820)","0.091 (1.280)","0.8184 ","0.9120","1","Down","0.81837"
"MG-20-4","-0.197 (1.293)","0.197 (0.746)","0.6173 ","0.7842","1","Down","0.61726"
"MG-18-2","-0.384 (0.430)","0.384 (1.325)","0.3130 ","0.5567","1","Down","0.31298"
"MG-16-0","-0.681 (0.874)","0.681 (0.579)","0.0408 ","0.2114","1","Down","0.04075"
"PC-32-0","-0.100 (0.836)","0.100 (1.268)","1.0000 (W)","1.0000","1","Down","1.00000"
"PC-42-1","-0.223 (1.242)","0.223 (0.812)","0.5692 ","0.7344","1","Down","0.56923"
"PC-48-4","0.372 (0.804)","-0.372 (1.148)","0.3296 ","0.5754","1","Up","0.32960"
"PC-40-6","0.226 (1.201)","-0.226 (0.869)","0.5648 ","0.7344","1","Up","0.56484"
"PC-38-1","0.495 (0.781)","-0.495 (1.035)","0.1776 ","0.4425","1","Up","0.17757"
"PC-32-1","0.754 (0.534)","-0.754 (0.729)","0.0265 (W)","0.1697","1","Up","0.02652"
"PC-38-6","-0.125 (0.381)","0.125 (1.465)","0.8817 (W)","0.9345","1","Down","0.88168"
"PC-38-3","0.771 (0.206)","-0.771 (0.839)","0.0312 ","0.1726","1","Up","0.03120"
"PC-44-4","-0.112 (1.333)","0.112 (0.724)","0.7777 ","0.8765","1","Down","0.77772"
"PC-40-8","0.389 (0.316)","-0.389 (1.353)","0.3374 ","0.5754","1","Up","0.33739"
"PC-38-2","0.309 (0.579)","-0.309 (1.321)","0.4245 ","0.6329","1","Up","0.42447"
"PC-40-1","-0.068 (1.134)","0.068 (1.017)","0.8647 ","0.9345","1","Down","0.86469"
"PC-36-4","-0.498 (0.764)","0.498 (1.043)","0.1742 ","0.4425","1","Down","0.17420"
"PC-46-6","0.617 (0.925)","-0.617 (0.681)","0.0753 ","0.2800","1","Up","0.07533"
"PC-42-5","0.602 (0.667)","-0.602 (0.960)","0.0849 ","0.2979","1","Up","0.08494"
"PC-34-4","0.578 (1.021)","-0.578 (0.634)","0.1028 ","0.3323","1","Up","0.10277"
"PC-44-12","0.769 (0.780)","-0.769 (0.385)","0.0123 ","0.1373","1","Up","0.01229"
"PC-42-9","0.042 (1.040)","-0.042 (1.117)","0.9150 ","0.9533","1","Up","0.91501"
"PC-40-3","0.641 (0.672)","-0.641 (0.887)","0.0607 ","0.2439","1","Up","0.06073"
"PC-40-4","0.061 (1.278)","-0.061 (0.831)","0.8776 ","0.9345","1","Up","0.87758"
"PC-36-1","-0.442 (1.146)","0.442 (0.706)","0.2374 ","0.4916","1","Down","0.23743"
"PC-30-1","0.643 (0.731)","-0.643 (0.834)","0.0594 ","0.2439","1","Up","0.05940"
"PC-42-2","-0.166 (1.465)","0.166 (0.337)","0.6860 ","0.8212","1","Down","0.68598"
"PC-38-8","-0.698 (0.694)","0.698 (0.743)","0.0334 ","0.1808","1","Down","0.03340"
"PC-34-2","-0.485 (0.942)","0.485 (0.904)","0.1876 ","0.4425","1","Down","0.18764"
"PC-46-4","0.742 (0.545)","-0.742 (0.754)","0.0189 ","0.1682","1","Up","0.01891"
"PC-30-3","0.406 (0.409)","-0.406 (1.314)","0.2823 ","0.5295","1","Up","0.28228"
"PC-28-0","0.644 (0.369)","-0.644 (1.045)","0.0592 ","0.2439","1","Up","0.05923"
"PC-34-1","0.641 (0.751)","-0.641 (0.821)","0.0606 ","0.2439","1","Up","0.06065"
"PC-42-4","0.394 (0.639)","-0.394 (1.229)","0.2984 ","0.5463","1","Up","0.29836"
"PC-32-4","0.294 (0.993)","-0.294 (1.057)","0.1913 (W)","0.4425","1","Up","0.19127"
"PC-46-1","-0.593 (1.113)","0.593 (0.396)","0.0913 ","0.3158","1","Down","0.09131"
"PC-38-7","0.119 (1.173)","-0.119 (0.958)","0.7633 ","0.8758","1","Up","0.76328"
"PC-32-3","0.477 (0.573)","-0.477 (1.182)","0.1965 ","0.4425","1","Up","0.19647"
"PC-42-7","0.642 (0.740)","-0.642 (0.830)","0.0603 ","0.2439","1","Up","0.06029"
"plasmenyl-PC-22-0","0.459 (1.157)","-0.459 (0.659)","0.2849 (W)","0.5295","1","Up","0.28495"
"plasmenyl-PC-24-0","0.666 (1.013)","-0.666 (0.353)","0.0475 ","0.2311","1","Up","0.04753"
"PE-44-1","0.450 (1.268)","-0.450 (0.430)","0.2271 ","0.4833","1","Up","0.22707"
"PE-36-1","0.265 (0.961)","-0.265 (1.106)","0.4968 ","0.6797","1","Up","0.49679"
"PE-42-2","0.306 (0.588)","-0.306 (1.318)","0.4284 ","0.6344","1","Up","0.42837"
"PE-36-4","0.192 (0.439)","-0.192 (1.429)","0.6266 ","0.7877","1","Up","0.62658"
"PE-38-5","0.757 (0.343)","-0.757 (0.828)","0.0149 ","0.1437","1","Up","0.01489"
"PE-42-1","0.141 (1.342)","-0.141 (0.692)","0.7226 ","0.8428","1","Up","0.72255"
"PE-36-5","0.782 (0.798)","-0.782 (0.258)","0.0098 ","0.1373","1","Up","0.00977"
"PE-34-2","0.790 (0.493)","-0.790 (0.652)","0.0083 ","0.1293","1","Up","0.00831"
"PE-38-4","-0.259 (0.309)","0.259 (1.435)","0.5267 ","0.7014","1","Down","0.52674"
"PE-38-1","0.370 (0.604)","-0.370 (1.266)","0.3317 ","0.5754","1","Up","0.33166"
"PE-36-3","0.223 (1.091)","-0.223 (1.005)","0.5692 ","0.7344","1","Up","0.56921"
"PE-34-3","0.682 (0.821)","-0.682 (0.647)","0.0400 ","0.2114","1","Up","0.03995"
"PE-40-2","0.532 (0.110)","-0.532 (1.252)","0.1879 ","0.4425","1","Up","0.18795"
"PE-40-4","-0.211 (0.204)","0.211 (1.474)","0.6091 ","0.7778","1","Down","0.60912"
"PE-42-5","0.104 (0.935)","-0.104 (1.196)","0.7715 (W)","0.8765","1","Up","0.77150"
"PE-42-3","0.242 (1.165)","-0.242 (0.906)","0.5356 ","0.7093","1","Up","0.53557"
"PE-38-6","0.354 (1.065)","-0.354 (0.931)","0.3557 ","0.5881","1","Up","0.35565"
"PE-44-3","-0.664 (0.516)","0.664 (0.943)","0.0294 (W)","0.1697","1","Down","0.02940"
"PE-32-1","0.588 (0.746)","-0.588 (0.925)","0.0950 ","0.3195","1","Up","0.09496"
"PE-40-5","0.492 (0.807)","-0.492 (1.018)","0.1803 ","0.4425","1","Up","0.18028"
"PE-30-1","0.313 (0.953)","-0.313 (1.078)","0.4172 ","0.6269","1","Up","0.41723"
