"","FC","log2(FC)","p.value","-log10(p)"
"TG-54-1",3.1275,1.645,0.0002161,3.6653
"TG-54-5",2.2129,1.146,0.00033714,3.4722
"TG-58-9",2.8733,1.5227,0.00074612,3.1272
"TG-54-7",2.3305,1.2206,0.00076636,3.1156
"TG-50-3",0.60044,-0.73592,0.0012172,2.9146
"PS-44-3",1.6368,0.71084,0.001326,2.8774
"TG-56-9",1.9697,0.97801,0.0016739,2.7763
"CL-78-3",0.60744,-0.7192,0.0027658,2.5582
"PS-36-3",1.6564,0.72803,0.0028666,2.5426
"lysoPC-26-1",0.51521,-0.95676,0.0039616,2.4021
"lysoPE-20-3",0.58008,-0.78567,0.0045439,2.3426
"CL-78-9",0.52652,-0.92544,0.0055435,2.2562
"DG-42-2",0.48453,-1.0453,0.0056722,2.2463
"PS-36-4",2.2486,1.1691,0.0063493,2.1973
"DG-40-1",0.50537,-0.98459,0.006546,2.184
"lysoPE-18-1",0.5943,-0.75074,0.0078537,2.1049
"PE-34-2",0.65479,-0.61089,0.0095488,2.0201
"PS-36-1",3.3834,1.7585,0.010229,1.9902
"DG-32-0",2.4305,1.2813,0.012691,1.8965
"plasmenyl-PE-32-1",0.43639,-1.1963,0.013369,1.8739
"lysoPE-20-1",0.46536,-1.1036,0.014225,1.847
"CL-74-9",0.52837,-0.92038,0.015023,1.8233
"PC-32-1",0.5086,-0.97539,0.017823,1.749
"lysoPC-20-1",0.39436,-1.3424,0.018566,1.7313
"plasmenyl-PE-40-1",0.52404,-0.93226,0.020526,1.6877
"PC-44-12",0.39049,-1.3566,0.020743,1.6831
"PC-46-4",0.61963,-0.69052,0.021518,1.6672
"PS-42-2",1.532,0.61541,0.0225,1.6478
"DG-38-3",0.50094,-0.99729,0.022919,1.6398
"PS-38-6",2.1474,1.1026,0.023773,1.6239
"PE-36-5",0.57806,-0.79071,0.024286,1.6146
"PA-34-0",4.3018,2.1049,0.025237,1.598
"lysoPC-22-1",0.5466,-0.87144,0.026121,1.583
"PE-38-5",0.63355,-0.65846,0.02781,1.5558
"DG-36-2",1.9416,0.95725,0.031123,1.5069
"lysoPC-18-1",0.43616,-1.1971,0.031599,1.5003
"PC-38-8",1.6213,0.69719,0.033564,1.4741
"TG-62-4",2.9163,1.5442,0.040287,1.3948
"PS-42-1",2.0268,1.0192,0.04325,1.364
"PE-32-2",0.59428,-0.75079,0.044703,1.3497
"plasmenyl-PE-40-2",0.56296,-0.82889,0.046591,1.3317
"SM-30-1",0.63617,-0.65252,0.046906,1.3288
"PI-40-6",1.6215,0.69736,0.047834,1.3203
