"","FC","log2(FC)","p.value","-log10(p)"
"TG-54-5",2.2129,1.146,0.024653,1.6081
"PA-34-0",4.3018,2.1049,0.026519,1.5764
"PC-32-1",0.5086,-0.97539,0.026519,1.5764
"TG-50-3",0.60044,-0.73592,0.027469,1.5612
"TG-52-4",7.7779,2.9594,0.028571,1.5441
"PS-36-1",3.3834,1.7585,0.028571,1.5441
"TG-54-1",3.1275,1.645,0.028571,1.5441
"TG-58-9",2.8733,1.5227,0.028571,1.5441
"PC-44-12",0.39049,-1.3566,0.028571,1.5441
"lysoPC-20-1",0.39436,-1.3424,0.028571,1.5441
"DG-32-0",2.4305,1.2813,0.028571,1.5441
"lysoPC-18-1",0.43616,-1.1971,0.028571,1.5441
"plasmenyl-PE-32-1",0.43639,-1.1963,0.028571,1.5441
"PS-36-4",2.2486,1.1691,0.028571,1.5441
"lysoPE-20-1",0.46536,-1.1036,0.028571,1.5441
"DG-42-2",0.48453,-1.0453,0.028571,1.5441
"PS-42-1",2.0268,1.0192,0.028571,1.5441
"DG-40-1",0.50537,-0.98459,0.028571,1.5441
"TG-56-9",1.9697,0.97801,0.028571,1.5441
"plasmenyl-PE-40-1",0.52404,-0.93226,0.028571,1.5441
"CL-78-9",0.52652,-0.92544,0.028571,1.5441
"PE-36-5",0.57806,-0.79071,0.028571,1.5441
"lysoPE-20-3",0.58008,-0.78567,0.028571,1.5441
"PS-36-3",1.6564,0.72803,0.028571,1.5441
"PS-44-3",1.6368,0.71084,0.028571,1.5441
"PI-40-6",1.6215,0.69736,0.028571,1.5441
"PS-42-2",1.532,0.61541,0.028571,1.5441
"TG-62-4",2.9163,1.5442,0.029401,1.5316
"TG-54-7",2.3305,1.2206,0.029401,1.5316
"DG-38-3",0.50094,-0.99729,0.029401,1.5316
"DG-36-2",1.9416,0.95725,0.029401,1.5316
"lysoPC-26-1",0.51521,-0.95676,0.029401,1.5316
"lysoPE-18-1",0.5943,-0.75074,0.029401,1.5316
"CL-78-3",0.60744,-0.7192,0.029401,1.5316
"PE-38-5",0.63355,-0.65846,0.029401,1.5316
"PE-44-3",1.5694,0.65024,0.029401,1.5316
"PE-34-2",0.65479,-0.61089,0.029401,1.5316
"SM-30-1",0.63617,-0.65252,0.040833,1.389
