"Sample","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334","Test.Pool_Negatve_01","Test.Pool_Negatve_02","Test.Pool_Negatve_03","Test.Pool_Negatve_04","Test.Pool_Negatve_05","Test.Pool_Negatve_06","Test.Pool_Negatve_07"
"CerP 33:1; [M-H]-@5.49",4588.24,3448.64,2975.402,2169.035,2301.845,2174.608,3593.383,3451.619,5650.752,1650.154,2563.311,7500.501,3185.24,3304.901,1193.169,3907.838,3097.192,4007.111,4200.114,3573.385,3799.662,3985.543,4791.631,3922.491,7042.691,3550.01,6436.776,3629.114,2949.116,5400.057,5023.891,6094.288,4824.477,5581.931,4815.787,4497.811,4616.056,2665.374,2854.614,2936.437,5296.173,6613.447,2499.337,4537.309,2299.534,2082.045,3692.284,4851.448,3129.115,3347.748,3727.045,3527.622,4415.479,4439.501,3079.946
"CerP 34:1; [M-H]-@5.85",27078.14,17602.81,16012.67,15571.47,14103.16,15270.55,20907.55,22041.62,18129.15,20148.26,26797.22,25788.62,17641.3,13102.18,14136.71,20429.39,20207.86,28171.94,26174.43,28462.87,19386.2,24206.79,25889.85,20544.37,27963.98,27459.25,27461.18,31056.38,11482.9,23127.48,29328.04,32729.82,33858.13,41037.62,26625.61,34184.53,16224.21,15793.17,21245.97,28548.94,28106.2,33482.58,25972.46,30476.16,12094.3,25559.66,20646.4,26301.09,24778.04,28891.9,29369.31,26386.93,26489.55,26510.59,16243.33
"CerP 34:2; [M-H]-@5.29",13423.728,9130.117,6719.112,6882.977,4728.815,6752.784,8999.609,12152.639,6943.792,9626.957,10185.277,13014.986,11758.379,7615.448,5961.734,7043.548,8442.001,11026.888,6387.337,10227.853,8452.585,9763.934,11691.458,7635.678,6447.196,6324.793,11930.701,11049.788,3400.68,8432.776,14173.516,12309.315,12999.349,11652.853,8621.162,8956.53,7894.238,6336.235,9496.341,10996.5,10569.496,13290.223,6525.504,14313.286,5482.239,4686.461,5916.656,9100.612,6946.979,8140.883,7938.516,10344.235,9851.87,11892.191,6161.884
"CerP 35:1; [M-H]-@6.16",13208.795,13106.315,13121.213,11009.987,15103.383,10975.076,15661.521,8280.367,16517.387,16949.66,15605.228,15123.917,10225.395,11335.864,16084.528,14515.611,13593.813,11288.855,17457.943,14152.432,14372.403,14354.844,8798.502,8816.216,16403.867,18339.776,5997.702,10754.931,15991.968,18200.854,16190.252,16704.592,7243.492,15733.754,7384.309,12493.155,18967.221,14492.029,15186.977,9468.002,10247.73,12668.235,16938.682,13838.598,6950.488,19217.486,11764.588,19066.237,16170.883,11969.608,9313.325,16324.92,14484.767,16917.749,10631.492
"CerP 42:2; [M-H]-@7.70",63111.58,43545.33,45194.22,25096.23,21729.58,35135.33,42703.7,59049.79,38576.84,44221.69,56713.93,59891.61,33202.33,30941.71,26786.25,15795.94,45263.89,34355.4,26634.71,42380.68,34240.59,33119.2,42694.69,38084.8,51227.31,28917.38,53817.07,53809.06,15453.94,53589.98,60895.05,47468.26,71048.87,58666.12,47664.53,56948.9,34259.69,34201.86,37664.8,48947.74,46622.85,55101.95,46132.96,58406.84,12432.71,32188.59,29268.39,33654.52,42935.43,51247.9,41619.45,33061.03,54045.49,46291.75,23079.7
"CL 70:1; [M-2H](2-)@6.07",45624.17,19157.917,16778.346,7963.733,33048.345,21899.129,51268.48,51301.565,20895.173,32130.639,31660.117,35073.14,32413.461,39548.69,20819.926,36251.348,21292.42,26506.234,30503.569,19762.536,24743.665,30390.912,45330.547,36489.783,22748.412,23994.435,53325.436,47324.367,5577.89,20885.618,45561.683,30383.315,12777.576,18665.998,17526.727,18519.206,12670.317,23710.534,31662.563,34386.952,21719.246,26380.76,18252.442,27400.827,2610.369,17517.883,18641.141,21828.992,22768.54,32847.189,21099.73,40054.347,30001.659,34275.6,19596.27
"CL 70:5; [M-2H](2-)@5.90",114164.499,46291.077,48876.245,26734.61,23596.93,47440.214,99895.682,144146.506,33843.068,60875.437,41051.351,25393.284,44371.253,51746.189,22078.043,25420.947,10701.493,9637.556,22079.378,12322.373,18341.685,9678.652,19987.593,8323.035,15998.758,29888.42,51499.986,65206.853,6602.797,28431.086,41138.486,22985.427,24966.205,24291.121,29402.141,17149.557,15523.827,27385.135,48734.048,52487.995,13924.239,15263.934,16567.593,15698.752,8913.486,4861.564,7535.389,6237.645,22957.033,15848.048,25618.787,24569.497,32073.046,24135.087,28633.054
"CL 74:3; [M-2H](2-)@6.17",250881.37,157934.23,143590.65,78919.26,168535.15,173967.04,236807.74,280509.88,135022.46,152689.21,156305.94,176906.2,182568.71,207989.23,73333.79,227715.65,143729.04,134515.03,110628.58,132828.82,115320.23,150747.55,183507.66,155281.06,158750.07,179664.12,257095.21,249177.11,73817.83,168425.09,228099.02,207385.71,183098.91,221014.36,116171.88,215386.12,163270.49,136325.85,228875.17,275048.24,229832.48,269850.14,215947.34,187045.41,105426.66,166064.13,145150.7,146447.42,146501.74,167426.06,149920.36,130524.7,164679.88,206185.33,91610.41
"CL 74:5; [M-2H](2-)@5.17",10473.591,3711.83,4340.237,2989.989,4498.89,5585.968,4383.438,14141.058,9124.148,2474.068,7930.854,7936.597,4829.987,5521.358,1758.85,3431.938,2910.006,4338.574,3252.382,2000.518,5716.822,5581.136,8568.422,5731.869,5695.851,3368.791,12626.293,5207.676,3961.958,6720.163,6354.402,5343.122,4857.227,5457.148,3765.862,8876.48,3040.725,2058.194,4725.92,10353.932,7287.716,9158.187,3259.13,6402.527,4568.552,3455.344,4178.981,5326.29,5894.307,3696.323,4676.194,3298.14,6569.578,5587.959,3172.762
"CL 74:5; [M-2H](2-)@5.85",35973.984,32269.989,49757.964,18364.616,24676.893,46210.291,42476.308,41775.317,31604.751,63713.65,21106.944,46577.678,35561.27,33520.133,10460.856,24225.209,16716.018,11092.343,21554.857,21137.525,31767.847,12393.976,43550.893,34786.672,18824.785,21239.596,36969.014,31731.776,7236.457,17321.024,20936.906,53309.28,49641.367,43380.607,18069.508,17975.988,14090.46,13788.32,55014.789,23395.119,20849.945,12086.868,36366.717,11709.016,7294.933,9201.826,9020.89,31777.189,16122.883,14073.029,18086.116,10798.693,17205.094,15727.572,13062.275
