"Lipid","Adduct","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334","QC","QC.1","QC.2","QC.3","QC.4","QC.5","QC.6","CV"
"PC 38:6"," [M-Ac-H]-@5.98",2369980.75090909,2369980.75090909,2369980.75090909,2369980.75090909,2369980.75090909,2369980.75090909,2369980.75090909,2369980.75090909,2369980.75090909,2369980.75090909,2369980.75090909,2369980.75090909,2369980.75090909,2369980.75090909,1100042.73454545,2369980.75090909,2369980.75090909,2369980.75090909,2369980.75090909,2369980.75090909,2369980.75090909,2369980.75090909,2369980.75090909,2369980.75090909,2369980.75090909,2369980.75090909,2369980.75090909,2369980.75090909,2369980.75090909,2369980.75090909,2369980.75090909,2369980.75090909,2369980.75090909,2369980.75090909,2369980.75090909,2369980.75090909,2369980.75090909,2369980.75090909,2369980.75090909,2369980.75090909,2369980.75090909,2369980.75090909,2369980.75090909,2369980.75090909,2369980.75090909,2369980.75090909,2369980.75090909,2369980.75090909,2369980.75090909,2369980.75090909,2369980.75090909,2369980.75090909,2369980.75090909,2369980.75090909,2369980.75090909,0
"PG 36:0"," [M-H]-@6.98",185239.947636364,171690.330545455,284468.479454545,213830.862909091,230947.316363636,202708.778909091,268555.343818182,284468.479454545,202708.778909091,202708.778909091,250216.77756,284468.479454545,250216.77756,193204.622363636,131304.184345455,250216.77756,230947.316363636,284468.479454545,230947.316363636,328565.308,328565.308,354420.446909091,310263.776181818,328565.308,473383.558363636,328565.308,354420.446909091,328565.308,354420.446909091,230947.316363636,268555.343818182,310263.776181818,268555.343818182,268555.343818182,250216.77756,268555.343818182,213830.862909091,193204.622363636,310263.776181818,328565.308,310263.776181818,250216.77756,328565.308,268555.343818182,268555.343818182,284468.479454545,310263.776181818,284468.479454545,310263.776181818,310263.776181818,310263.776181818,310263.776181818,310263.776181818,310263.776181818,310263.776181818,0
"PI 38:4"," [M-H]-@5.92",7383095.43636364,7383095.43636364,7383095.43636364,7383095.43636364,7383095.43636364,7383095.43636364,7383095.43636364,7383095.43636364,7383095.43636364,7383095.43636364,7383095.43636364,7383095.43636364,7383095.43636364,7383095.43636364,7383095.43636364,7383095.43636364,7383095.43636364,7383095.43636364,7383095.43636364,7383095.43636364,7383095.43636364,7383095.43636364,7383095.43636364,7383095.43636364,7383095.43636364,7383095.43636364,7383095.43636364,7383095.43636364,7383095.43636364,7383095.43636364,7383095.43636364,7383095.43636364,7383095.43636364,7383095.43636364,7383095.43636364,7383095.43636364,7383095.43636364,7383095.43636364,7383095.43636364,7383095.43636364,7383095.43636364,7383095.43636364,7383095.43636364,7383095.43636364,7383095.43636364,7383095.43636364,7383095.43636364,7383095.43636364,7383095.43636364,7383095.43636364,7383095.43636364,7383095.43636364,7383095.43636364,7383095.43636364,7383095.43636364,0
"PE 40:7"," [M-H]-@6.40",629691.586558182,590911.908843636,440421.132867273,310263.776181818,354420.446909091,383149.240909091,516913.026936364,473383.558363636,473383.558363636,629691.586558182,629691.586558182,310263.776181818,440421.132867273,516913.026936364,354420.446909091,284468.479454545,383149.240909091,383149.240909091,516913.026936364,383149.240909091,440421.132867273,328565.308,354420.446909091,268555.343818182,383149.240909091,284468.479454545,284468.479454545,473383.558363636,213830.862909091,411582.838727273,473383.558363636,516913.026936364,516913.026936364,383149.240909091,440421.132867273,354420.446909091,193204.622363636,383149.240909091,354420.446909091,383149.240909091,284468.479454545,310263.776181818,354420.446909091,440421.132867273,213830.862909091,185239.947636364,284468.479454545,250216.77756,354420.446909091,354420.446909091,354420.446909091,328565.308,354420.446909091,354420.446909091,354420.446909091,2.78630615115683
"plasmenyl-PE 36:3"," [M-H]-@6.84",202708.778909091,310263.776181818,354420.446909091,284468.479454545,328565.308,310263.776181818,328565.308,310263.776181818,284468.479454545,284468.479454545,310263.776181818,328565.308,383149.240909091,310263.776181818,310263.776181818,354420.446909091,328565.308,473383.558363636,383149.240909091,411582.838727273,383149.240909091,383149.240909091,411582.838727273,411582.838727273,516913.026936364,354420.446909091,328565.308,250216.77756,268555.343818182,328565.308,310263.776181818,354420.446909091,250216.77756,250216.77756,202708.778909091,284468.479454545,440421.132867273,328565.308,328565.308,354420.446909091,328565.308,328565.308,411582.838727273,354420.446909091,383149.240909091,473383.558363636,383149.240909091,411582.838727273,328565.308,328565.308,328565.308,354420.446909091,328565.308,328565.308,328565.308,2.94117748952559
"PC 40:8"," [M-Ac-H]-@5.76",193204.622363636,161839.592363636,61438.6468545455,473383.558363636,411582.838727273,328565.308,284468.479454545,230947.316363636,383149.240909091,119022.995709091,383149.240909091,147995.489781818,328565.308,127503.355363636,38998.2246727273,328565.308,213830.862909091,213830.862909091,354420.446909091,354420.446909091,354420.446909091,473383.558363636,383149.240909091,383149.240909091,250216.77756,185239.947636364,250216.77756,310263.776181818,473383.558363636,354420.446909091,284468.479454545,268555.343818182,328565.308,354420.446909091,411582.838727273,310263.776181818,284468.479454545,354420.446909091,268555.343818182,250216.77756,268555.343818182,473383.558363636,310263.776181818,328565.308,354420.446909091,111330.7374,202708.778909091,114791.737963636,284468.479454545,268555.343818182,284468.479454545,284468.479454545,250216.77756,268555.343818182,284468.479454545,4.82339805581472
"PE 36:2"," [M-H]-@6.98",354420.446909091,284468.479454545,670808.027972727,250216.77756,440421.132867273,411582.838727273,473383.558363636,516913.026936364,268555.343818182,383149.240909091,284468.479454545,268555.343818182,411582.838727273,411582.838727273,670808.027972727,473383.558363636,310263.776181818,354420.446909091,328565.308,268555.343818182,310263.776181818,284468.479454545,284468.479454545,354420.446909091,328565.308,670808.027972727,722091.372203636,590911.908843636,516913.026936364,551858.800470909,590911.908843636,629691.586558182,383149.240909091,328565.308,354420.446909091,383149.240909091,857569.489090909,776168.315881818,961347.904418182,590911.908843636,551858.800470909,516913.026936364,722091.372203636,383149.240909091,670808.027972727,516913.026936364,670808.027972727,670808.027972727,473383.558363636,440421.132867273,411582.838727273,440421.132867273,440421.132867273,440421.132867273,473383.558363636,4.85374822010258
"plasmenyl-PE 40:5"," [M-H]-@7.27",516913.026936364,516913.026936364,590911.908843636,629691.586558182,670808.027972727,516913.026936364,722091.372203636,857569.489090909,551858.800470909,473383.558363636,722091.372203636,776168.315881818,629691.586558182,551858.800470909,473383.558363636,670808.027972727,551858.800470909,629691.586558182,473383.558363636,629691.586558182,590911.908843636,722091.372203636,629691.586558182,670808.027972727,857569.489090909,857569.489090909,857569.489090909,776168.315881818,670808.027972727,857569.489090909,776168.315881818,776168.315881818,670808.027972727,670808.027972727,629691.586558182,670808.027972727,722091.372203636,473383.558363636,722091.372203636,857569.489090909,670808.027972727,776168.315881818,629691.586558182,629691.586558182,722091.372203636,670808.027972727,629691.586558182,551858.800470909,629691.586558182,722091.372203636,670808.027972727,722091.372203636,670808.027972727,722091.372203636,670808.027972727,5.2371160349533
"CL 74:7"," [M-2H](2-)@6.08",670808.027972727,629691.586558182,776168.315881818,383149.240909091,473383.558363636,629691.586558182,551858.800470909,551858.800470909,440421.132867273,551858.800470909,411582.838727273,411582.838727273,473383.558363636,629691.586558182,590911.908843636,440421.132867273,516913.026936364,440421.132867273,629691.586558182,473383.558363636,516913.026936364,440421.132867273,473383.558363636,440421.132867273,284468.479454545,473383.558363636,411582.838727273,629691.586558182,328565.308,284468.479454545,411582.838727273,328565.308,551858.800470909,440421.132867273,516913.026936364,516913.026936364,310263.776181818,440421.132867273,473383.558363636,551858.800470909,440421.132867273,411582.838727273,473383.558363636,516913.026936364,284468.479454545,328565.308,411582.838727273,383149.240909091,383149.240909091,411582.838727273,383149.240909091,383149.240909091,411582.838727273,383149.240909091,440421.132867273,5.63119709653039
"PA 36:2"," [M-H]-@6.90",48505.1502109091,49665.4884236364,54069.1882545455,51870.9948327273,61438.6468545455,55718.0334690909,50620.7787945455,36820.9433381818,49665.4884236364,45005.9789818182,45005.9789818182,44049.3884363636,71287.1442545454,75820.6981636364,62931.4059709091,67698.6020363636,64782.2040363636,55718.0334690909,67698.6020363636,45005.9789818182,60206.5804727273,73825.6349636364,58705.5622836364,58705.5622836364,55718.0334690909,58705.5622836364,58705.5622836364,55718.0334690909,62931.4059709091,47387.1783254545,43117.2787272727,52953.8051636364,38998.2246727273,43117.2787272727,39698.9073981818,50620.7787945455,69659.2434909091,64782.2040363636,60206.5804727273,47387.1783254545,45005.9789818182,50620.7787945455,71287.1442545454,43117.2787272727,45005.9789818182,75820.6981636364,86490.7925272727,71287.1442545454,58705.5622836364,51870.9948327273,50620.7787945455,54069.1882545455,57269.966,57269.966,50620.7787945455,6.28769287697185
