"Sample","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334","QC","QC.1","QC.2","QC.3","QC.4","QC.5","QC.6","QC.7"
"CE 16:0; [M+NH4]+@10.99",20362.7371928571,21368.9445339286,24489.6108803571,30472.3221589286,38668.3322857143,16998.0356178571,18178.1888875,25146.6001785714,39590.5449357143,35265.7756053571,21075.5921428571,15215.9790660714,26195.5927696429,18639.4317696429,26555.1806428571,26555.1806428571,35265.7756053571,28788.7575339286,24825.9185928571,18943.2163214286,30472.3221589286,29619.9902357143,32711.4972857143,39590.5449357143,40242.4034642857,24489.6108803571,45819.6608571429,30472.3221589286,29956.5594839286,48079.1544821429,38131.7161321429,35910.3636071429,35265.7756053571,46974.5335535714,50324.3570714286,37552.3767678571,38131.7161321429,28788.7575339286,41996.9177589286,46974.5335535714,43779.5852857143,42558.8972821429,42558.8972821429,34054.3606964286,34054.3606964286,31635.0711428571,45819.6608571429,44423.4569464286,15215.9790660714,23010.0447678571,16998.0356178571,37003.3471071429,33679.5103964286,30472.3221589286,31635.0711428571,29956.5594839286
"CE 16:1; [M+NH4]+@10.69",30472.3221589286,24825.9185928571,28012.4682160714,84414.4910535714,40865.2268607143,33679.5103964286,39590.5449357143,53310.7435107143,98095.1422857143,53310.7435107143,51035.1771285714,62766.6365035714,40242.4034642857,57766.9555892857,41996.9177589286,55074.1213928571,68793.4987857143,55779.1466964286,52724.8140535714,46974.5335535714,59633.1933982143,48807.5821428571,39590.5449357143,48079.1544821429,11919.7666446429,12888.5737714286,10294.1983232143,12103.1438910714,21849.6822410714,18178.1888875,17206.6745767857,19857.4815,19427.3070232143,15453.0258392857,18178.1888875,17206.6745767857,18943.2163214286,12299.3981696429,10837.8805821429,16331.7739839286,15673.4276482143,9772.53663392857,11700.2718053571,11700.2718053571,21368.9445339286,15453.0258392857,11367.4251125,15874.1222107143,27642.1983946429,28417.0586892857,29619.9902357143,20152.4907142857,19427.3070232143,16998.0356178571,32236.8801964286,16769.8830410714
"CE 18:1; [M+NH4]+@10.94",187605.219642857,263434.931428571,254837.76625,376836.891214286,376836.891214286,424657.462660714,296685.858607143,305691.987410714,630128.590982143,424657.462660714,346000.597321429,376836.891214286,324681.287678571,356514.397125,402282.127178571,424657.462660714,466853.517017857,453906.612607143,412194.21525,389615.907053571,502953.747839286,484745.8935,438294.818267857,412194.21525,412194.21525,376836.891214286,296685.858607143,244054.326071429,356514.397125,356514.397125,484745.8935,324681.287678571,389615.907053571,424657.462660714,484745.8935,412194.21525,424657.462660714,376836.891214286,402282.127178571,389615.907053571,366483.281767857,296685.858607143,324681.287678571,389615.907053571,366483.281767857,324681.287678571,438294.818267857,366483.281767857,285735.851553571,315138.221821429,296685.858607143,336896.543375,412194.21525,305691.987410714,412194.21525,402282.127178571
"CE 18:2; [M+NH4]+@10.71",740974.119267857,1140505.35982143,1455147.53910714,2172575.53660714,1961062.5375,2801262.88214286,1565259.17232143,2172575.53660714,2172575.53660714,2172575.53660714,1768669.68571429,1961062.5375,1961062.5375,1344523.83910714,1768669.68571429,1768669.68571429,1768669.68571429,2172575.53660714,2172575.53660714,1961062.5375,1961062.5375,2172575.53660714,1768669.68571429,1768669.68571429,2801262.88214286,1344523.83910714,1961062.5375,1961062.5375,3653398.16071429,2801262.88214286,3653398.16071429,2172575.53660714,3206715.1125,3206715.1125,3653398.16071429,3206715.1125,3206715.1125,3206715.1125,2172575.53660714,3653398.16071429,2801262.88214286,2172575.53660714,2801262.88214286,3206715.1125,2172575.53660714,2502717.17142857,3206715.1125,3206715.1125,1768669.68571429,2502717.17142857,2172575.53660714,2172575.53660714,2502717.17142857,1961062.5375,2172575.53660714,2172575.53660714
"CE 18:3; [M+NH4]+@10.52",40242.4034642857,57766.9555892857,65292.6203571429,48079.1544821429,71082.6420714286,88055.5859285714,68793.4987857143,55074.1213928571,77117.3579964286,120659.397669643,95782.8210714286,68793.4987857143,73784.2439285714,91582.2723821429,52724.8140535714,124379.788517857,46409.6795535714,39125.4085535714,62766.6365035714,51795.0621428571,77117.3579964286,73784.2439285714,66389.0885178571,63853.8299321429,77117.3579964286,56709.7669107143,79935.5262642857,59633.1933982143,139107.900982143,43779.5852857143,79935.5262642857,81470.3392857143,69792.1983392857,105862.877928571,48807.5821428571,89692.7647232143,114352.266696429,95782.8210714286,124379.788517857,88055.5859285714,43244.4308214286,41435.4854071429,56709.7669107143,45819.6608571429,61688.1022857143,55779.1466964286,93647.1940357143,41996.9177589286,52724.8140535714,40865.2268607143,51795.0621428571,56709.7669107143,59633.1933982143,72376.8640464286,53310.7435107143,82903.4760714286
"CE 20:2; [M+NH4]+@11.04",22098.5183035714,27253.9484821429,23579.0024642857,22746.1475357143,16998.0356178571,36431.7635982143,26892.403625,40865.2268607143,86236.0747321428,37003.3471071429,43779.5852857143,23315.2417571429,37552.3767678571,23315.2417571429,27642.1983946429,39590.5449357143,47519.2642660714,35265.7756053571,45819.6608571429,52724.8140535714,55779.1466964286,56709.7669107143,37552.3767678571,33679.5103964286,26195.5927696429,7497.03831660714,29956.5594839286,26195.5927696429,24123.8243571429,25505.1708607143,66389.0885178571,28788.7575339286,26195.5927696429,61688.1022857143,81470.3392857143,37003.3471071429,13955.8465,26555.1806428571,24825.9185928571,36431.7635982143,33679.5103964286,19652.5736517857,30472.3221589286,36431.7635982143,17492.2355,24825.9185928571,21607.3120732143,28417.0586892857,33258.4630142857,43779.5852857143,36431.7635982143,33679.5103964286,32236.8801964286,30871.5082321429,43779.5852857143,46409.6795535714
"CE 20:3; [M+NH4]+@10.78",315138.221821429,389615.907053571,234177.565178571,691980.601357143,438294.818267857,537086.656732143,275623.213214286,557535.656428571,1455147.53910714,1140505.35982143,630128.590982143,691980.601357143,537086.656732143,466853.517017857,424657.462660714,691980.601357143,769351.43425,935039.595,740974.119267857,1060267.31625,935039.595,999381.5375,769351.43425,740974.119267857,376836.891214286,162160.035892857,376836.891214286,336896.543375,537086.656732143,453906.612607143,580827.072089286,356514.397125,769351.43425,829835.944821429,881327.144642857,829835.944821429,438294.818267857,502953.747839286,346000.597321429,691980.601357143,484745.8935,466853.517017857,424657.462660714,606468.134892857,466853.517017857,285735.851553571,502953.747839286,424657.462660714,519282.5495,424657.462660714,537086.656732143,519282.5495,580827.072089286,630128.590982143,519282.5495,935039.595
"CE 20:4; [M+NH4]+@10.62",1238585.74196429,2502717.17142857,1961062.5375,3653398.16071429,3206715.1125,3653398.16071429,1768669.68571429,3206715.1125,4212536.26607143,5078044.01785714,3653398.16071429,4212536.26607143,2801262.88214286,2172575.53660714,3206715.1125,2502717.17142857,4212536.26607143,5078044.01785714,3653398.16071429,4212536.26607143,3653398.16071429,3206715.1125,3206715.1125,3206715.1125,4212536.26607143,1565259.17232143,5078044.01785714,4212536.26607143,5078044.01785714,3206715.1125,7900753.74285714,3653398.16071429,7900753.74285714,4212536.26607143,5078044.01785714,5078044.01785714,4212536.26607143,4212536.26607143,3206715.1125,7900753.74285714,4212536.26607143,5078044.01785714,4212536.26607143,7900753.74285714,4212536.26607143,3653398.16071429,5078044.01785714,4212536.26607143,4212536.26607143,3206715.1125,4212536.26607143,4212536.26607143,3206715.1125,4212536.26607143,4212536.26607143,4212536.26607143
"CE 22:4; [M+NH4]+@10.86",38668.3322857143,43244.4308214286,29205.3635535714,69792.1983392857,37003.3471071429,42558.8972821429,31635.0711428571,65292.6203571429,109260.486,67612.5251964286,58747.1725892857,73784.2439285714,86236.0747321428,35265.7756053571,33258.4630142857,52724.8140535714,78680.0341964286,73784.2439285714,60719.3389107143,109260.486,50324.3570714286,79935.5262642857,52724.8140535714,58747.1725892857,41996.9177589286,20152.4907142857,40865.2268607143,40242.4034642857,19149.8252196429,31635.0711428571,43244.4308214286,38668.3322857143,59633.1933982143,66389.0885178571,78680.0341964286,43244.4308214286,29956.5594839286,23010.0447678571,17492.2355,47519.2642660714,25881.2709928571,37552.3767678571,29956.5594839286,22417.2371946429,25146.6001785714,18943.2163214286,22417.2371946429,16331.7739839286,50324.3570714286,23579.0024642857,43244.4308214286,38131.7161321429,35265.7756053571,37552.3767678571,50324.3570714286,54177.6545053571
"CerP 44:2; [M+H]+@7.44",16331.7739839286,13098.9696714286,12525.6698714286,19857.4815,15673.4276482143,16567.6682892857,22098.5183035714,19427.3070232143,20815.1330178571,35910.3636071429,18639.4317696429,24123.8243571429,16769.8830410714,13414.3489392857,8648.21050196429,23010.0447678571,13599.2526607143,26892.403625,15453.0258392857,17936.5455178571,25881.2709928571,16331.7739839286,15874.1222107143,18639.4317696429,22417.2371946429,14161.2389589286,15215.9790660714,24123.8243571429,21075.5921428571,20362.7371928571,15673.4276482143,30871.5082321429,20152.4907142857,13098.9696714286,25146.6001785714,26892.403625,16072.8131107143,14944.7673089286,14556.9376785714,18639.4317696429,15874.1222107143,12103.1438910714,17936.5455178571,11201.2329928571,19652.5736517857,11555.0169464286,8372.5780875,18418.6395375,18943.2163214286,25146.6001785714,18418.6395375,29619.9902357143,22098.5183035714,20362.7371928571,22746.1475357143,21607.3120732143
