"Class","N","Ctrl.Sum","Ctrl.Mean","Ctrl.SD","Ctrl.SE","Case.Sum","Case.Mean","Case.SD","Case.SE","FC","logFC"
"CE",5,64490.6036456699,12898.120729134,15134.2478066335,6768.2413767919,66469.3128441592,13293.8625688318,16166.1770395413,7229.73415934211,1.03068213176234,0.043599465937575
"CerP",2,13624.8495883917,6812.42479419585,7289.08902256785,5154.16427653015,15300.1968915927,7650.09844579637,8562.11772373763,6054.3315037724,1.12296262739138,0.167309915116697
"CL",48,956302.01873695,19922.9587236865,29327.8591269717,4233.11184042813,899721.076765199,18744.189099275,25176.4979497926,3633.91446714121,0.940833606054204,-0.0879885015266105
"DG",29,330857.826253216,11408.8905604557,22609.2561335903,4198.43346365864,350102.311976798,12072.4935164413,23521.9389088668,4367.91440026198,1.05816542392699,0.081565182861647
"lysoPC",14,137413.027211783,9815.21622941306,15248.0483968826,4075.2123512916,131366.454683355,9383.31819166825,14345.122600215,3833.89528151946,0.955997093935583,-0.0649218622159573
"lysoPE",11,501062.547723703,45551.1407021548,92504.7035913579,27891.2175595978,467309.473079509,42482.6793708644,86760.8335824892,26159.3755901439,0.932637003508779,-0.100612423391472
"MG",6,33304.9159177927,5550.81931963212,10268.7906528441,4192.2162291549,30431.7994935938,5071.96658226564,9618.14330949724,3926.59056353869,0.913732962686631,-0.130155493824104
"PA",20,628921.762067527,31446.0881033763,42708.98431806,9550.01921851546,761635.575882861,38081.778794143,54497.0709255603,12185.915516418,1.21101800226955,0.276220311433531
"PC",53,16519865.5780492,311695.576944324,1130125.97521152,155234.741288116,16682810.3552482,314770.006702796,1135150.39243454,155924.898071384,1.00986356556167,0.0141603953698794
"PE",23,2185963.09681765,95041.8737746804,173249.461949907,36125.0100441883,2210453.01788431,96106.6529514916,173810.143353475,36241.9201985259,1.01120326372495,0.0160730250281705
"PG",21,566898.320379166,26995.1581132936,49967.918827403,10903.8938259992,535219.065919118,25486.6221866247,46991.5340303143,10254.393415048,0.944118277791228,-0.0829604852009725
"PI",5,7351638.43773225,1470327.68754645,2900694.52913989,1297230.02982371,7095950.85120899,1419190.1702418,2749083.25395006,1229427.40632773,0.965220326232184,-0.0510697978111095
"plasmenyl-PC",3,149899.718374239,49966.5727914129,84587.7352216083,48836.7517003363,119363.273063364,39787.757687788,66003.7188961289,38107.2648721964,0.796287507127682,-0.328638671383172
"plasmenyl-PE",15,1105179.4878267,73678.6325217799,125648.083256656,32442.1955957273,1136818.02220382,75787.8681469215,121534.747614912,31380.1368998717,1.02862750777192,0.0407206401713651
"PS",5,5143070.45291085,1028614.09058217,1694345.99286971,757734.563492208,5250299.20122539,1050059.84024508,1789453.75250083,800268.046636786,1.02084916963442,0.0297697239091595
"SM",16,1752588.61670423,109536.788544014,237823.379401272,59455.8448503181,1608723.37032412,100545.210645257,224586.483195238,56146.6207988095,0.917912712082626,-0.123571126251456
"TG",54,14648999.9368341,271277.776608039,630369.395413285,85782.4093460708,13455227.8348893,249170.885831283,633090.832641661,86152.7500447672,0.918508286770955,-0.122635357514341
