"Class","N","Ctrl.Sum","Ctrl.Mean","Ctrl.SD","Ctrl.SE","Case.Sum","Case.Mean","Case.SD","Case.SE","FC","logFC"
"CE",5,121876.177147461,24375.2354294922,37968.9134056314,16980.214281359,147979.596988318,29595.9193976636,42992.2549521176,19226.7209157874,1.21417983769932,0.279982121545649
"CerP",2,17471.4293112119,8735.71465560595,9196.45699956698,6502.8771072843,14382.2897003027,7191.14485015136,6670.33122237064,4716.63644009863,0.82318907309279,-0.280704262679132
"CL",48,984883.929188094,20518.4151914186,26186.1755299055,3779.64887280943,895791.861076011,18662.3304390836,24701.4147711114,3565.34211686643,0.909540540289323,-0.136790151380158
"DG",29,293295.447840104,10113.6361324174,14555.6972655474,2702.92512612861,237712.641858655,8196.98765029844,10916.9143043433,2027.22009359493,0.810488685075837,-0.303136049920515
"lysoPC",14,119003.680940252,8500.26292430375,15834.7716666392,4232.02074102567,116742.32116889,8338.73722634931,13931.6509380467,3723.39033159275,0.980997564499728,-0.0276785401844659
"lysoPE",11,326529.806094658,29684.5278267871,58403.4921397514,17609.3154430933,291858.36797126,26532.5789064782,50924.7581471359,15354.3923012404,0.893818458602377,-0.161946256174652
"MG",6,49868.6396533444,8311.43994222407,16951.1684489501,6920.28554064886,39388.0773111899,6564.67955186499,12387.8604845306,5057.32286531446,0.78983661044278,-0.340373853855215
"PA",20,527653.40945454,26382.670472727,33072.3900124243,7395.21122461659,572182.511227774,28609.1255613887,37677.8069842129,8425.01376598165,1.08439081597002,0.116884799724438
"PC",53,14782665.3203129,278918.21359081,1005507.51229172,138117.078943033,15050925.4603808,283979.725667562,1092906.2675399,150122.221252338,1.01814693996347,0.0259457876008444
"PE",23,2031065.73722403,88307.2059662623,157331.41791789,32805.8684199175,2013573.40552098,87546.6698052601,160016.863033827,33365.8224347496,0.991387609281934,-0.0124788672867244
"PG",21,478370.33088827,22779.5395661081,37206.8881333344,8119.20863070282,500556.717146167,23836.0341498175,40041.1314571148,8737.69122923362,1.04637910176557,0.0654056327985479
"PI",5,5738580.7023167,1147716.14046334,2260414.4142688,1010888.05752508,7752584.61387752,1550516.9227755,3100503.80644496,1386587.45514155,1.35095854115073,0.433983401240943
"plasmenyl-PC",3,99817.6563832756,33272.5521277585,55605.5759366038,32103.8942354424,90034.0672704277,30011.3557568092,50105.9261611974,28928.6699571628,0.901985385478484,-0.148824036648975
"plasmenyl-PE",15,847327.425516036,56488.4950344024,96198.0175864304,24838.2213366942,888640.975131541,59242.7316754361,101442.682069696,26192.3878833699,1.04875747954263,0.0686810997335888
"PS",5,4524769.20204732,904953.840409465,1539595.33753025,688527.966511876,5754746.46186584,1150949.29237317,1883055.22859447,842127.899304727,1.2718320437785,0.346908163069857
"SM",16,1394782.34922996,87173.8968268723,185109.71165645,46277.4279141125,1663030.30376921,103939.393985576,211290.848027624,52822.7120069061,1.1923224470738,0.253774445436132
"TG",54,16662003.2048673,308555.614904949,776294.676352394,105640.324839021,16024981.0830038,296758.908944515,673382.936072918,91635.8108264352,0.961767975072926,-0.056239206698996
