"Class","N","Ctrl.Sum","Ctrl.Mean","Ctrl.SD","Ctrl.SE","Case.Sum","Case.Mean","Case.SD","Case.SE","FC","logFC"
"CE",5,107756.586594384,21551.3173188767,27794.8879803636,12430.251790217,72901.3679544667,14580.2735908933,18031.5183019538,8063.94013214007,0.676537465212047,-0.563758265077291
"CerP",2,25384.8423782049,12692.4211891025,12856.8031424113,9091.13268637953,20389.7812169195,10194.8906084597,10231.9939968305,7235.11234021888,0.803226622924626,-0.316121006718204
"CL",48,927085.03713407,19314.2716069598,24189.4431824585,3491.4453832349,975762.634984081,20328.388228835,28496.5132150318,4113.11739391608,1.05250607646575,0.0738285624714279
"DG",29,401665.415567244,13850.5315712843,26464.8860496936,4914.405964815,364322.171889101,12562.8335134173,22466.8510381988,4171.98950131177,0.907028979267718,-0.140779449780821
"lysoPC",14,78269.3577467317,5590.66841048084,7771.24088708396,2076.95149068267,104567.806044306,7469.1290031647,11604.0844117736,3101.32201114721,1.33599928573161,0.417919236500787
"lysoPE",11,379413.554669776,34492.141333616,73339.8071614895,22112.7838683346,332871.442445045,30261.0402222768,61392.3588129657,18510.4926524978,0.877331445722229,-0.188806115656485
"MG",6,37078.4345985414,6179.7390997569,11375.2559700484,4643.9288033611,32405.709942159,5400.9516570265,9740.40133584872,3976.50219379217,0.873977294161004,-0.19433229574139
"PA",20,607727.549374292,30386.3774687146,40943.5416920338,9155.25424629843,536443.128410397,26822.1564205199,37221.4006531117,8322.95820781128,0.882703324808479,-0.179999463068609
"PC",53,14023752.6810835,264599.107190255,1087377.89579176,149362.840991295,14090254.2831514,265853.854399083,1070697.87507597,147071.663939098,1.00474206894404,0.00682518934962616
"PE",23,2204414.05888314,95844.0895166582,205079.324563289,42761.9951965348,2214023.33725334,96261.8842284059,195882.578349979,40844.3410486349,1.00435910773272,0.00627519589630073
"PG",21,425667.297257298,20269.8712979666,35877.4748496138,7829.10686867761,586726.502105225,27939.3572431059,54242.1257390882,11836.6022406993,1.37836875392044,0.462961902761569
"PI",5,7626037.1332115,1525207.4266423,3081735.47032789,1378194.00006509,7367871.23977443,1473574.24795489,2930971.24033578,1310770.18669753,0.966146782538895,-0.0496857067020293
"plasmenyl-PC",3,88795.1994412757,29598.3998137586,49325.0231181959,28477.8153750749,67941.9299057899,22647.3099685966,36908.3208232618,21309.0289626473,0.765153187709466,-0.386179482998025
"plasmenyl-PE",15,1179716.36368361,78647.7575789075,154807.572020222,39971.1432200751,1034762.45917855,68984.1639452368,139772.098919312,36089.0007585968,0.877128173375126,-0.189140418031114
"PS",5,5389150.80672564,1077830.16134513,1893425.12117182,846765.456249193,5834567.93599254,1166913.58719851,2024082.296862,905197.121567468,1.08265070792063,0.114567866001326
"SM",16,2327672.42904043,145479.526815027,326693.036287815,81673.2590719538,1814081.87828906,113380.117393066,246451.666839627,61612.9167099068,0.779354455402002,-0.359648470392927
"TG",54,17716907.0711411,328090.871687799,719239.652849562,97876.1195698853,17273741.0110583,319884.092797376,729525.712666591,99275.875015189,0.974986262652767,-0.0365462031454715
