"Class","N","Ctrl.Sum","Ctrl.Mean","Ctrl.SD","Ctrl.SE","Case.Sum","Case.Mean","Case.SD","Case.SE","FC","logFC"
"CE",5,68282.0622918523,13656.4124583705,19863.0563391312,8883.02884304107,106929.797879765,21385.9595759531,33891.77004194,15156.8603383138,1.56600129361536,0.647085404386101
"CerP",2,14336.3949214636,7168.19746073179,8362.37200898234,5913.08995435599,10657.7804034481,5328.89020172407,5402.57020276015,3820.19402620808,0.743407283479053,-0.427775271918206
"CL",48,887605.527843589,18491.7818300748,25657.2581164097,3703.30622004421,931261.674293078,19401.2848811058,26833.3507932374,3873.06057593382,1.04918417594306,0.0692679537938461
"DG",29,412660.472753116,14229.6714742454,26222.3114649911,4869.36099527551,304809.484611033,10510.6718831391,19366.6160293435,3596.29031291405,0.738644732744715,-0.437047459266708
"lysoPC",14,157470.65883502,11247.9042025014,20105.7140282558,5373.47810072769,123178.570773272,8798.46934094801,14484.4423224952,3871.13004351895,0.782231888051761,-0.354331745474105
"lysoPE",11,529190.91139933,48108.2646726663,101559.030959547,30621.1999786276,419021.82179936,38092.8928908509,78813.4717163061,23763.155828025,0.791815983179584,-0.336762905744669
"MG",6,47753.7718386511,7958.96197310851,16041.0976701227,6548.75070099143,46090.3608337273,7681.72680562122,15428.1766860464,6298.52675705287,0.96516691894948,-0.0511496267906232
"PA",20,678122.79084924,33906.139542462,46315.635962465,10356.4910433206,533123.383655757,26656.1691827879,34978.8552177698,7821.50980420565,0.786175292808115,-0.347077070101836
"PC",53,16656391.554008,314271.538754868,1141200.06107129,156755.883967031,15420701.1582476,290956.625627313,1105532.71092072,151856.596635793,0.925812839368376,-0.111207524518693
"PE",23,1909228.01877393,83009.9138597361,142730.899919911,29761.4499646391,2236230.18600308,97227.3993914381,168663.004239696,35168.667502146,1.17127454867289,0.228079285560019
"PG",21,474098.016048537,22576.0960023113,36293.9257587357,7919.98390745305,571382.794363867,27208.7044935175,46407.3338050308,10126.9104744113,1.20519971613923,0.26927223824699
"PI",5,7323047.68381937,1464609.53676387,2902654.32597967,1298106.47761488,7948134.74749875,1589626.94949975,3152295.26661165,1409749.30025889,1.08535886842039,0.118172141367744
"plasmenyl-PC",3,174427.045717544,58142.3485725146,98711.4361836751,56991.0742527394,134538.027438155,44846.0091460517,75272.3331146465,43458.5017862723,0.771314029224674,-0.374609742961582
"plasmenyl-PE",15,942954.835825065,62863.655721671,95949.9494541678,24774.1704203624,997345.88990807,66489.7259938713,105993.443438266,27367.3894162388,1.05768150500593,0.0809052604161788
"PS",5,5215090.27310558,1043018.05462112,1810389.12727127,809630.630861014,4516388.75732995,903277.75146599,1433334.40352127,641006.632152534,0.86602312152124,-0.20752255162274
"SM",16,1458624.04260837,91164.0026630231,207184.761265841,51796.1903164602,1307358.6886924,81709.918043275,180626.952798741,45156.7381996853,0.896295858632996,-0.157953064247325
"TG",54,15258066.2796991,282556.78295739,651711.264668419,88686.6698923081,15721061.5850088,291130.770092755,647956.442849892,88175.703362838,1.03034429768638,0.0431265059178179
