"Class","N","Ctrl.Sum","Ctrl.Mean","Ctrl.SD","Ctrl.SE","Case.Sum","Case.Mean","Case.SD","Case.SE","FC","logFC"
"CE",5,97686.9386627311,19537.3877325462,23035.1307742306,10301.6236563554,72575.822759187,14515.1645518374,16802.8121873022,7514.44605279391,0.742942953814518,-0.428676655871122
"CerP",2,14013.3038300919,7006.65191504594,5133.07561032295,3629.63257240264,27786.1100197735,13893.0550098867,15516.0308915075,10971.4906604849,1.98283790579821,0.987566744102632
"CL",48,925545.83675355,19282.2049323656,26346.9370778966,3802.85280356143,1015747.02580262,21161.396370888,29179.8852397961,4211.75364952967,1.09745729003057,0.134164795195649
"DG",29,304319.478707288,10493.7751278375,21954.9928658692,4076.93982490234,344691.225728485,11885.904335465,27937.6447880809,5187.89039679303,1.13266238228552,0.179717894708171
"lysoPC",14,138051.805479346,9860.84324852475,14525.6914154689,3882.15432733486,79459.8081789206,5675.70058420861,8439.60733507752,2255.57993762603,0.575579637680352,-0.796912540226109
"lysoPE",11,462245.118994634,42022.2835449667,87297.7860134184,26321.2728395677,347287.856670561,31571.6233336874,63583.5893307395,19171.1735121916,0.751306703737401,-0.412526119727671
"MG",6,63494.4125802534,10582.4020967089,21773.9385890085,8889.17320562786,24500.0504485541,4083.34174142568,6856.43245386522,2799.12682797142,0.385861518406638,-1.37384492240533
"PA",20,698757.824602805,34937.8912301402,48750.4107440021,10900.9232354625,563390.166924776,28169.5083462388,41054.4978753917,9180.06480314965,0.806273857820517,-0.310658149169411
"PC",53,14302739.089659,269863.00169168,984553.486380213,135238.822126834,13767554.4516784,259765.178333555,990550.553799625,136062.582689603,0.962581668124844,-0.0550191467115391
"PE",23,2081696.31488974,90508.5354299889,165638.703121617,34538.0571265776,2176178.92450389,94616.4749784299,193701.417549691,40389.5375823985,1.04538731655445,0.0640375606272082
"PG",21,600421.413391575,28591.4958757893,52581.7731627548,11474.2836044439,554400.176104836,26400.0083859446,52925.3583417447,11549.2600373194,0.923351772171514,-0.11504771431515
"PI",5,6625263.70081312,1325052.74016262,2621153.81000575,1172215.61973108,6582882.98494621,1316576.59698924,2595070.62512421,1160550.86483812,0.993603165431482,-0.00925832516851352
"plasmenyl-PC",3,135703.354485089,45234.4514950297,75283.8201486476,43465.1338284451,85655.3694631617,28551.7898210539,47000.7875166107,27135.9173248396,0.631195667846026,-0.663840791308018
"plasmenyl-PE",15,1603252.97727672,106883.531818448,208025.892545504,53712.0544939113,1214546.78906706,80969.7859378042,150301.663670455,38807.7226868627,0.757551556916544,-0.400584017025625
"PS",5,5316790.57474289,1063358.11494858,1799823.10159477,804905.360528083,5498482.27701977,1099696.45540395,1837208.25436839,821624.509118287,1.03417319146253,0.0484778119013037
"SM",16,2619463.55481042,163716.472175651,366660.388146442,91665.0970366106,3116342.84893925,194771.428058703,448823.785004576,112205.946251144,1.18968742405915,0.25058257269656
"TG",54,14757417.7065721,273285.513084669,704508.596709912,95871.4767413056,16457862.0375208,304775.222917053,772124.707454493,105072.863947736,1.11522641459091,0.15733663754208
