"Class","N","Ctrl.Sum","Ctrl.Mean","Ctrl.SD","Ctrl.SE","Case.Sum","Case.Mean","Case.SD","Case.SE","FC","logFC"
"CE",5,76899.7833318297,15379.9566663659,17854.5097185759,7984.77948713326,98625.4369410155,19725.0873882031,24164.9000018662,10806.8718147315,1.28251904840145,0.358980253380261
"CerP",2,23224.1481232646,11612.0740616323,12483.9100160334,8827.4574280599,16098.686773174,8049.34338658701,6662.00395218977,4710.74817088497,0.69318739648613,-0.528682671191731
"CL",48,968212.405048669,20171.0917718473,29077.991187688,4197.0465099263,870035.914481548,18125.7482183656,23237.9341800065,3354.10688855939,0.898600255424134,-0.154248622944686
"DG",29,260402.701684234,8979.40350635288,16344.2462970533,3035.05034338033,289383.410878192,9978.73830614454,13852.6176853306,2572.36652571487,1.11129189139174,0.152237804084514
"lysoPC",14,78155.8815394591,5582.56296710422,8266.97446162301,2209.44186147166,127677.821198977,9119.84437135552,14765.3336218746,3946.20140103348,1.63363036388395,0.708081586593831
"lysoPE",11,274049.451885003,24913.5865350003,48005.0992850518,14474.082032025,403692.682653624,36699.3347866931,72424.6404542148,21836.8507239114,1.4730650978387,0.558821187504688
"MG",6,25766.9073478635,4294.48455797725,6934.84931822251,2831.14037878882,43588.6063158952,7264.76771931586,13201.4580250764,5389.47267036789,1.69165067919994,0.758431687006435
"PA",20,627298.360118147,31364.9180059074,43897.0774017997,9815.68490839939,686629.636458059,34331.4818229029,47417.5296496157,10602.8819621653,1.09458222771177,0.130380337393236
"PC",53,13882420.8660136,261932.469170068,1078915.20850943,148200.401493672,14041686.1678369,264937.474864847,1073780.93132526,147495.154284187,1.01147244442165,0.0164570170412836
"PE",23,2473819.02718204,107557.349007915,226558.03710673,47240.6163572309,2503136.17787985,108832.007733906,209071.569548095,43594.4358203141,1.01185096822996,0.016996816486163
"PG",21,669623.43973247,31886.830463451,64359.8948706491,14044.4804744833,574421.46284277,27353.4029925129,52428.5888156176,11440.8560393944,0.857827591985526,-0.221240373947132
"PI",5,7272073.20451678,1454414.64090336,2909379.21069343,1301113.93748704,6891211.58960809,1378242.31792162,2771575.95775965,1239486.44927093,0.94762681780044,-0.0776090675204513
"plasmenyl-PC",3,45184.8880655559,15061.6293551853,23396.5976640885,13508.0319594829,107848.477746821,35949.4925822737,59374.8321769107,34280.0753404283,2.38682626789626,1.25509355947953
"plasmenyl-PE",15,1166029.7459458,77735.316396387,155556.278243763,40164.45833574,1137004.49216769,75800.2994778463,144097.534072155,37205.8233127342,0.975107621500198,-0.0363666386547509
"PS",5,4957258.65882975,991451.731765949,1621331.78836546,725081.618573294,4834235.98109607,966847.196219214,1626278.28364294,727293.758511459,0.975183324857469,-0.0362546380751732
"SM",16,2278931.03596448,142433.18974778,310861.371117764,77715.3427794409,1861870.82244844,116366.926403027,244628.136426706,61157.0341066764,0.816993052034356,-0.291604285596209
"TG",54,17423521.4838814,322657.805257064,715678.478370311,97391.505105486,16747769.9008494,310143.887052767,696313.453378035,94756.2589895239,0.961216130524637,-0.0570672358155087
