"Class","N","Ctrl.Sum","Ctrl.Mean","Ctrl.SD","Ctrl.SE","Case.Sum","Case.Mean","Case.SD","Case.SE","FC","logFC"
"CE",9,4582745.2902058,509193.921133978,812508.275196755,270836.091732252,6098797.78524465,677644.198360516,1088333.50954937,362777.836516458,1.33081753382169,0.412312779291755
"CerP",3,75002.1508463636,25000.7169487879,19221.4504214034,11097.5095750123,55464.6075268182,18488.2025089394,14188.1404831171,8191.52672722789,0.739506892814759,-0.435364500391518
"CL",25,1271651.54357318,50866.0617429273,122513.530178983,24502.7060357967,1278135.20772409,51125.4083089636,111682.421301188,22336.4842602375,1.00509861697859,0.00733706085294725
"DG",12,295052.428322589,24587.7023602158,22766.4249091397,6572.10077488859,238023.73432308,19835.31119359,17689.553851976,5106.53433914137,0.806716744126715,-0.30986589422023
"lysoPC",17,13257175.4447998,779833.849694106,2233748.70081008,541763.63732507,12990056.7454699,764120.985027641,2220479.9378822,538545.489614897,0.979851009708505,-0.0293656965734676
"lysoPE",8,116736.100871473,14592.0126089342,12395.2047861253,4382.36667923258,94474.5238526786,11809.3154815848,10955.7417560676,3873.439644322,0.809299977876555,-0.305253538860354
"MG",2,45415.9976276786,22707.9988138393,12504.8236360956,8842.24559062499,20391.1472654911,10195.5736327455,5604.33311654401,3962.86195073661,0.448986003404751,-1.15525762349175
"PA",9,310061.821458636,34451.3134954041,23707.1981784669,7902.3993928223,314482.120056818,34942.4577840909,22294.8858494422,7431.62861648073,1.01425618470983,0.0204220998062042
"PC",43,45493322.121913,1057984.23539333,4995669.28001652,761832.423057032,49450777.8872416,1150018.09040097,5095368.936999,777036.478209511,1.08698981698288,0.120338425133292
"PE",11,458705.147019464,41700.4679108604,45270.6740089196,13649.621790371,519550.425948973,47231.8569044521,50695.2253560879,15285.1855607868,1.13264572966941,0.179696683777469
"PG",11,352424.245445909,32038.5677678099,61498.0586645221,18542.3623568622,383147.526933636,34831.5933576033,71086.299626525,21433.3257814513,1.08717698025814,0.120586814106994
"PI",7,9524694.80333136,1360670.68619019,2684448.91010879,1014626.31762946,8981324.55157182,1283046.36451026,2707228.63720821,1023236.24517789,0.942951426478306,-0.0847446384978499
"plasmenyl-PC",7,210345.992460402,30049.4274943431,43834.2654920532,16567.7950564504,186316.89198625,26616.6988551786,35027.6112791958,13239.1926379133,0.885763925458787,-0.175005853163689
"plasmenyl-PE",12,1206111.9112204,100509.325935033,112588.532640473,32501.509813821,1480475.09954737,123372.924962281,138978.846727356,40119.7372848515,1.22747738893429,0.295696449246431
"PS",3,12090.8967095455,4030.29890318182,3931.28305030822,2269.72732735607,19223.4642986363,6407.82143287878,7558.79482349049,4364.07222609139,1.58991220919619,0.668947105853015
"SM",15,1605171.14359674,107011.409573116,172848.162944749,44629.2037671706,1410523.58633625,94034.90575575,153276.304955387,39575.7717640283,0.878737193826984,-0.186496335495279
"TG",55,24949471.1090335,453626.747436973,888244.914308485,119770.919812091,21452447.5719025,390044.501307317,749011.769869525,100996.726445877,0.859835764780405,-0.217866974565899
