"Class","N","Ctrl.Sum","Ctrl.Mean","Ctrl.SD","Ctrl.SE","Case.Sum","Case.Mean","Case.SD","Case.SE","FC","logFC"
"CE",9,7873891.69738839,874876.855265377,1438386.3788902,479462.126296734,6815639.58133125,757293.286814584,1145372.06411937,381790.688039791,0.865599863862981,-0.208227822622146
"CerP",3,71232.5434436364,23744.1811478788,13376.8874674133,7723.14958023041,56537.4556859091,18845.8185619697,10738.1501199947,6199.67386237756,0.793702610530046,-0.333329544296976
"CL",25,1138444.82876591,45537.7931506364,101308.657024272,20261.7314048544,1117660.98508545,44706.4394034182,91705.9616802428,18341.1923360486,0.981743653135142,-0.0265817288304794
"DG",12,159259.599398393,13271.6332831994,13446.0612050156,3881.54352812797,181480.818038527,15123.4015032106,21235.4270286333,6130.13975566906,1.13952828416042,0.188436734091194
"lysoPC",17,13556394.2785827,797434.957563689,2057536.52933029,499025.908176209,14370694.8567275,845334.991572206,2099422.0431457,509184.637449398,1.06006763755988,0.0841563188064926
"lysoPE",8,120287.359271696,15035.9199089621,13547.8406330259,4789.88499102364,100140.428782768,12517.553597846,10066.7053534643,3559.11780982076,0.832509994309359,-0.264460502998958
"MG",2,23587.3048763393,11793.6524381696,10205.8399500486,7216.61863638392,25883.6102566518,12941.8051283259,13846.6456104481,9791.05700783483,1.09735344467506,0.134028275743516
"PA",9,366837.219897273,40759.691099697,27696.0012397785,9232.00041325949,372833.816871364,41425.9796523737,29210.6453557999,9736.88178526662,1.01634675177118,0.0233926971036582
"PC",43,55056646.9070159,1280387.13737246,5651484.50871765,861843.307836304,56137413.1529974,1305521.23611622,5659131.89869754,863009.523875013,1.01963007750557,0.0280458363661544
"PE",11,276265.684020625,25115.0621836932,24885.4219685365,7503.23703811845,277054.212708884,25186.7466098985,26963.5737507893,8129.82337622217,1.00285424044269,0.00411193309687758
"PG",11,404036.852665909,36730.6229696281,78503.7821985321,23669.7809251193,454752.465942727,41341.1332675207,96561.0072718134,29114.2391363077,1.12552224615697,0.170594572210251
"PI",7,9233962.09186818,1319137.44169545,2697263.4061582,1019469.74187566,8760069.17658273,1251438.45379753,2720468.23151639,1028240.34146344,0.94867935231153,-0.0760075471548236
"plasmenyl-PC",7,170594.014257946,24370.5734654209,29996.9280265752,11337.7730934602,178709.95664192,25529.9938059885,33747.2960357892,12755.2789616534,1.04757460230522,0.0670529881187563
"plasmenyl-PE",12,1519044.29857817,126587.024881514,163066.216847461,47073.1620963079,1636639.93327317,136386.661106097,157692.455575594,45521.8908378711,1.07741422340683,0.107573016050783
"PS",3,11240.8231368182,3746.94104560606,3607.7585246851,2082.94035539811,9695.26956727272,3231.75652242424,3349.99327036328,1934.11951642767,0.862505303149628,-0.21339476761163
"SM",15,1847421.86928134,123161.457952089,195128.500789967,50381.9622619976,1501194.8775617,100079.658504113,164921.236088792,42582.4800538557,0.812589101884819,-0.29940207902887
"TG",55,18342351.443015,333497.29896391,609924.600095517,82242.2162994691,19121789.8477522,347668.906322767,710996.267892207,95870.7172049609,1.04249391944968,0.0600389688925952
