"Class","N","Ctrl.Sum","Ctrl.Mean","Ctrl.SD","Ctrl.SE","Case.Sum","Case.Mean","Case.SD","Case.SE","FC","logFC"
"CE",9,10393331.8201746,1154814.64668606,1964921.89305035,654973.964350117,9050297.23307902,1005588.58145322,1750883.6565324,583627.8855108,0.870779206289886,-0.19962113768352
"CerP",3,93172.0908868182,31057.3636289394,20925.4758828239,12081.3291338694,73781.7981077272,24593.9327025757,16332.4948892746,9429.57032086086,0.791887328120118,-0.336632920549543
"CL",25,1152503.440885,46100.1376354,100767.049401604,20153.4098803209,1196025.51537955,47841.0206151818,91837.4136013098,18367.482720262,1.03776307553679,0.053477109627125
"DG",12,174789.58241808,14565.79853484,11827.2847132523,3414.24300648928,226973.672946875,18914.4727455729,14898.9897865266,4300.96788195231,1.29855377996141,0.376905764864945
"lysoPC",17,12820201.8998101,754129.523518243,1968745.86757242,477491.009529375,10727120.9799101,631007.116465302,1554532.42433443,377029.493175197,0.83673572879293,-0.257156055100742
"lysoPE",8,107070.809303571,13383.8511629464,12334.3015376859,4360.8341292487,83713.3901255357,10464.173765692,8618.86288837134,3047.22819724223,0.781850727290089,-0.355034903665544
"MG",2,16069.655369866,8034.82768493302,5255.47881296706,3716.18470703123,23665.2447520982,11832.6223760491,3212.79088379923,2271.78622046875,1.47266660095745,0.558430853600121
"PA",9,292866.623264545,32540.7359182828,20005.0875738814,6668.36252462715,353680.378209091,39297.8198010101,24486.8226441765,8162.27421472551,1.20765000212951,0.272202397249736
"PC",43,55049674.1313496,1280224.97979883,5641310.44058811,860291.776992082,53225509.0791574,1237802.53672459,5640103.99418489,860107.795640409,0.966863290637476,-0.0486161802238533
"PE",11,432458.46219808,39314.405654371,45334.0846298014,13668.7408119335,471370.797762991,42851.8907057264,51513.8558181844,15532.0119321258,1.08997935979129,0.124300815911668
"PG",11,395263.435954546,35933.0396322314,76411.1360178213,23038.8243614477,383622.767523182,34874.797047562,76094.9297858321,22943.4845952768,0.970549594593155,-0.0431261590782662
"PI",7,9418661.37788727,1345523.0539839,2690870.48358362,1017053.44426377,8619290.57145,1231327.22449286,2722216.76888582,1028901.22646881,0.915129042826192,-0.127952901961866
"plasmenyl-PC",7,215880.137247768,30840.019606824,48548.6742894839,18349.6740931214,188322.43280933,26903.2046870472,40240.5638155771,15209.5034961488,0.872347197895242,-0.197025646825362
"plasmenyl-PE",12,1430946.11851071,119245.509875893,137772.077394054,39771.3729851356,1590837.84934179,132569.820778482,131506.902180818,37962.7726871945,1.11173847062633,0.152817443181469
"PS",3,13797.2998159091,4599.09993863636,5125.72111417082,2959.33646505747,10992.2093740909,3664.06979136364,4077.04206051428,2353.88133113535,0.796692796471398,-0.327904564454669
"SM",15,3315024.30416004,221001.620277336,482056.215025633,124466.379515337,2243826.49134795,149588.43275653,294751.116194676,76104.4109532017,0.676865773964961,-0.563058326721464
"TG",55,14505325.8125601,263733.196592002,441297.979865558,59504.6074661331,16852629.602571,306411.447319473,539461.470115019,72740.9697911528,1.1618235826167,0.21639101899494
