"Class","N","Ctrl.Sum","Ctrl.Mean","Ctrl.SD","Ctrl.SE","Case.Sum","Case.Mean","Case.SD","Case.SE","FC","logFC"
"CE",9,8041307.74597188,893478.63844132,1434640.36855726,478213.456185754,5531498.08882455,614610.898758284,941898.521138626,313966.173712875,0.687885386751358,-0.539759887140043
"CerP",3,70876.1939168182,23625.3979722727,17844.4147300123,10302.4776479039,54434.9157977273,18144.9719325758,9922.25310189286,5728.61549934544,0.768028202270755,-0.380768806689467
"CL",25,1058884.55179773,42355.3820719091,90214.0141392311,18042.8028278462,1195502.91746864,47820.1166987455,107014.208053848,21402.8416107696,1.12902102069481,0.175072347200232
"DG",12,228857.129289375,19071.4274407812,16947.9030167969,4892.43818447368,264911.938387634,22075.9948656362,21159.6206317766,6108.25633385329,1.15754287056826,0.211065625892331
"lysoPC",17,15389662.0513945,905274.238317326,2446097.27674841,593265.731915847,12795793.8825896,752693.757799385,1999716.50562352,485002.492586871,0.831453857781761,-0.266291892705606
"lysoPE",8,140292.47886942,17536.5598586775,17943.2081058221,6343.8820639341,92346.4051178125,11543.3006397266,9533.62972766903,3370.64711487821,0.658242023107782,-0.60330996177983
"MG",2,33633.1720952679,16816.5860476339,12348.0573778862,8731.39510638392,55303.8253708481,27651.9126854241,19828.3228063347,14020.7415159151,1.64432380074639,0.717494422944649
"PA",9,302651.655385455,33627.961709495,22276.175035021,7425.39167834034,384920.705413636,42768.9672681818,24699.6849285148,8233.22830950492,1.27182752370346,0.346903035740777
"PC",43,55872259.1944888,1299354.86498811,5599347.88870708,853892.547822718,54629526.6612276,1270454.10840064,5614592.9785487,856217.402228158,0.977757610821941,-0.0324512340111285
"PE",11,539829.159625892,49075.3781478084,51960.0073885596,15666.5316919951,469704.266185268,42700.3878350243,43716.0833753277,13180.8950781687,0.870097988983733,-0.200750210868217
"PG",11,363882.523485454,33080.2294077686,67632.2102935174,20391.8786623645,327826.780675,29802.4346068182,59156.4250239695,17836.3332493907,0.9009137826541,-0.150539047992844
"PI",7,9349924.88323136,1335703.55474734,2695678.50090984,1018870.70399869,9342346.50107591,1334620.92872513,2693614.24536464,1018090.48873939,0.999189471332647,-0.00116981983921505
"plasmenyl-PC",7,216801.215909063,30971.6022727232,41200.9024629859,15572.477386927,178865.191698705,25552.1702426722,35796.8429423801,13529.9348781108,0.825019319881169,-0.277500190837519
"plasmenyl-PE",12,1779586.79837714,148298.899864762,178182.413408928,51436.8321732509,1473222.37483955,122768.531236629,127949.985397535,36935.9792560379,0.827845192031672,-0.272567087512247
"PS",3,11470.3956831818,3823.46522772727,4351.13201862874,2512.12724223491,13720.0648340909,4573.35494469697,5583.30146100125,3223.52060147591,1.19612829522591,0.258372139502177
"SM",15,2228120.24727161,148541.349818107,274581.989339544,70896.7647920372,1474059.77552759,98270.6517018392,180663.158985066,46647.0270681588,0.661571015896747,-0.596032064939841
"TG",55,13326391.6205572,242298.029464677,423880.707610066,57156.0629543056,21051300.4284122,382750.916880222,732130.855774161,98720.504453607,1.57966995326316,0.659623161864589
