"Class","N","Ctrl.Sum","Ctrl.Mean","Ctrl.SD","Ctrl.SE","Case.Sum","Case.Mean","Case.SD","Case.SE","FC","logFC"
"CE",9,6603379.12952737,733708.792169707,1305310.40249276,435103.467497586,9105326.04038929,1011702.89337659,1774887.22997818,591629.076659393,1.37888887822211,0.463506197752951
"CerP",3,86161.2787545454,28720.4262515151,19621.2107281777,11328.3112957398,88653.8468813637,29551.2822937879,20345.9360798551,11746.7316726193,1.02892909857941,0.0411435724631109
"CL",25,1110538.06882773,44421.5227531091,92682.1092461651,18536.421849233,1007649.91702,40305.9966808,70702.4828252961,14140.4965650592,0.907352881728463,-0.140264351510873
"DG",12,236433.642946473,19702.8035788728,15773.2678055604,4553.35020677018,214052.102267813,17837.6751889844,14039.85956247,4052.95834888831,0.905336903835942,-0.143473331370932
"lysoPC",17,10481843.7365119,616579.043324228,1598911.30139099,387792.95186052,9141040.34418612,537708.25554036,1393757.55652927,338035.860121939,0.872083249280346,-0.197462233289766
"lysoPE",8,93707.5004408482,11713.437555106,10048.1427816961,3552.554949634,79332.0785634821,9916.50982043527,8089.30792290228,2860.00224369513,0.846592622685092,-0.240260178002828
"MG",2,27081.0257921875,13540.5128960937,2022.69232784375,1430.25946127232,18697.2501304464,9348.62506522321,2955.2068522006,2089.646805,0.690418829549667,-0.534456283720019
"PA",9,302788.491931364,33643.1657701515,21557.7001627905,7185.90005426351,272401.331807273,30266.8146452525,18470.9121746558,6156.97072488528,0.89964228848242,-0.152576617019797
"PC",43,50974959.868208,1185464.18298158,5619162.62640727,856914.266993512,49635073.4814958,1154304.03445339,5573918.66014732,850014.626822694,0.973714812327928,-0.0384288062416822
"PE",11,554252.600449643,50386.6000408766,63978.7522662697,19290.3196202106,556943.672178169,50631.2429252881,64954.751138727,19584.5943525516,1.00485531637803,0.00698779058782895
"PG",11,529368.22567,48124.3841518182,108200.899095291,32623.7985707442,432207.42848,39291.5844072727,84385.3407969509,25443.1375663415,0.816458955263083,-0.292547733934194
"PI",7,9912737.96285136,1416105.42326448,2668289.02260634,1008518.45426571,9699981.556625,1385711.65094643,2675521.62802873,1011252.12216267,0.97853706947327,-0.0313015900421678
"plasmenyl-PC",7,260103.113243884,37157.5876062692,56445.1747247908,21334.2707187693,256562.210081696,36651.7442973852,62081.775622627,23464.7056066833,0.986386540637568,-0.0197749807588491
"plasmenyl-PE",12,1995130.70445813,166260.892038177,172724.170223936,49861.1730871722,1626111.21598946,135509.267999122,140716.035538822,40621.220498818,0.815039943175609,-0.295057330746968
"PS",3,16719.0214290909,5573.0071430303,6201.34046113286,3580.34558457157,15395.8687636364,5131.95625454545,5387.24720293339,3110.32862280465,0.920859443175766,-0.118947129785049
"SM",15,2658633.98861054,177242.265907369,389991.987477397,100695.498176953,2762171.64883826,184144.776589217,386865.169732298,99888.1573067263,1.03894393160972,0.0551177988318819
"TG",55,18989542.5041321,345264.409166038,598159.227363987,80655.7737639839,17001992.9520935,309127.144583519,538902.85176802,72665.6457086096,0.895334521534361,-0.159501281349778
