"Class","N","Ctrl.Sum","Ctrl.Mean","Ctrl.SD","Ctrl.SE","Case.Sum","Case.Mean","Case.SD","Case.SE","FC","logFC"
"CE",9,9095232.31402723,1010581.36822525,1848950.00786638,616316.669288792,8017417.41823839,890824.157582044,1551714.82698392,517238.275661308,0.88149671623818,-0.181972899676241
"CerP",3,97731.7005813636,32577.2335271212,21168.418630909,12221.592194874,80114.1256281818,26704.7085427273,15303.3355685829,8835.38491002051,0.81973530749611,-0.286769956143329
"CL",25,1153157.06026455,46126.2824105818,94734.6296352506,18946.9259270501,1018907.77354273,40756.3109417091,76427.2598566641,15285.4519713328,0.883581091121256,-0.178565549935107
"DG",12,181028.520696071,15085.710058006,11024.6667797221,3182.54716649923,182980.514517321,15248.3762097768,11528.1973014714,3327.90390763782,1.01078279717331,0.0154730159288132
"lysoPC",17,11915778.6158851,700928.153875593,1795779.51870206,435540.50799585,11200564.3869534,658856.72864432,1609351.37247372,390325.041025995,0.93997754976933,-0.0893017947175511
"lysoPE",8,97325.2605679017,12165.6575709877,10228.9402134116,3616.47649462757,103943.328002098,12992.9160002623,10406.7201173305,3679.33118243742,1.06799948333639,0.0949109490964281
"MG",2,18046.6132532143,9023.30662660716,5060.61913052478,3578.39810419644,22065.8740470982,11032.9370235491,3608.23769536049,2551.40934252232,1.22271551661739,0.29008877793958
"PA",9,334899.985600454,37211.1095111616,25368.1826337273,8456.06087790908,334806.048077727,37200.6720086364,22735.7595508496,7578.58651694987,0.999719505742711,-0.000404724438083145
"PC",43,51464353.9602901,1196845.44093698,5641585.68612034,860333.751542239,50499773.1867309,1174413.32992397,5618419.98321325,856801.014968157,0.981257303369561,-0.0272966081655839
"PE",11,381507.901631696,34682.5365119724,42305.8231565697,12755.6856234064,353984.373515714,32180.3975923377,38370.8476159416,11569.245857271,0.927855942175078,-0.108027263287338
"PG",11,486385.078355,44216.825305,84486.3557195854,25473.5947114874,437125.644807727,39738.6949825206,83680.2083644732,25230.5321385197,0.898723386593452,-0.154050950446001
"PI",7,9346949.12847046,1335278.44692435,2689946.92641342,1016704.37246464,9541704.55094591,1363100.65013513,2681251.40687707,1013417.77500554,1.02083625574491,0.0297514734929757
"plasmenyl-PC",7,160412.558511071,22916.0797872959,32607.3157206073,12324.4069025848,161071.687761741,23010.2411088202,28642.1008811459,10825.6965654194,1.0041089628941,0.0059158347241449
"plasmenyl-PE",12,1547527.9641279,128960.663677325,154323.92022097,44549.4784409877,1454282.43603616,121190.203003013,128941.710781293,37222.2657146753,0.939745497171491,-0.0896579973340721
"PS",3,11060.2466959091,3686.74889863637,4279.76862862494,2470.92556980593,10000.7788222727,3333.59294075757,2923.41824993239,1687.83631355233,0.904209381330686,-0.145271208939111
"SM",15,2504093.61983098,166939.574655399,324650.428876405,83824.3802918274,2137556.63959339,142503.775972893,282024.940617821,72818.5265485303,0.853624889526962,-0.228325852799977
"TG",55,18438155.4387921,335239.18979622,490506.869242673,66139.9327561371,19159936.890345,348362.488915364,525434.745727989,70849.6066606438,1.0391460769462,0.0553984739462404
